,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,47.95,47.95,47.95,47.95,0,63373,47120,0
1,2020-05-20 09:15:00,49.0,49.2,49.0,49.2,39092,155874,101060,0
2,2020-05-20 09:18:00,49.65,49.65,49.65,49.65,91037,115501,86344,0
3,2020-05-20 09:19:00,49.85,49.85,49.6,49.6,39917,407292,359800,0
4,2020-05-20 09:20:00,49.3,49.3,49.3,49.3,57988,123155,150001,0
5,2020-05-20 09:21:00,49.05,49.2,49.05,49.2,105535,255047,311836,0
6,2020-05-20 09:22:00,49.55,49.55,49.55,49.55,117095,141151,141470,0
7,2020-05-20 09:25:00,49.4,49.4,49.35,49.35,88488,299765,325974,0
8,2020-05-20 09:26:00,49.35,49.35,49.35,49.35,89635,151579,165616,0
9,2020-05-20 09:27:00,49.35,49.35,49.35,49.35,127383,155300,168578,0
10,2020-05-20 09:31:00,49.1,49.1,49.1,49.1,145437,148750,188085,0
11,2020-05-20 09:32:00,48.9,48.9,48.9,48.9,135693,135036,200242,0
12,2020-05-20 09:33:00,49.05,49.05,49.05,49.05,132775,271598,410168,0
13,2020-05-20 09:34:00,48.85,49.0,48.85,48.9,160165,401902,614526,0
14,2020-05-20 09:37:00,48.9,48.9,48.9,48.9,142912,281312,449045,0
15,2020-05-20 09:38:00,48.9,48.9,48.9,48.9,145045,139776,225744,0
16,2020-05-20 09:39:00,48.85,48.85,48.85,48.85,163622,141636,228364,0
17,2020-05-20 09:41:00,48.85,48.85,48.85,48.85,163992,143998,233771,0
18,2020-05-20 09:42:00,48.9,48.9,48.9,48.9,150711,141052,232386,0
19,2020-05-20 09:44:00,48.8,48.85,48.8,48.85,169624,433527,694514,0
20,2020-05-20 09:46:00,48.85,48.85,48.85,48.85,178111,146094,235671,0
21,2020-05-20 09:54:00,48.85,48.85,48.85,48.85,183886,140949,239907,0
22,2020-05-20 09:56:00,48.85,48.85,48.85,48.85,183527,140637,235070,0
23,2020-05-20 10:01:00,48.65,48.65,48.65,48.65,187538,136420,235009,0
24,2020-05-20 10:02:00,48.5,48.55,48.5,48.55,208660,268581,464950,0
25,2020-05-20 10:03:00,48.6,48.6,48.6,48.6,209199,135367,223864,0
26,2020-05-20 10:04:00,48.75,48.75,48.75,48.75,190425,137428,222551,0
27,2020-05-20 10:07:00,48.7,48.7,48.7,48.7,192136,137162,222911,0
28,2020-05-20 10:09:00,48.7,48.7,48.7,48.7,213449,139055,228345,0
29,2020-05-20 10:11:00,48.8,48.8,48.8,48.8,216114,140040,226738,0
30,2020-05-20 10:14:00,48.8,48.8,48.8,48.8,196124,139865,228907,0
31,2020-05-20 10:20:00,48.8,48.8,48.8,48.8,197400,142969,235633,0
32,2020-05-20 10:21:00,48.65,48.65,48.6,48.6,221317,278786,477365,0
33,2020-05-20 10:28:00,48.6,48.65,48.6,48.65,206924,270727,483411,0
34,2020-05-20 10:29:00,48.45,48.45,48.45,48.45,210562,130507,245498,0
35,2020-05-20 10:31:00,48.4,48.4,48.4,48.4,228357,125462,246120,0
36,2020-05-20 10:32:00,48.3,48.3,48.3,48.3,226089,126297,244939,0
37,2020-05-20 10:33:00,48.35,48.35,48.35,48.35,212380,125817,243494,0
38,2020-05-20 10:34:00,48.55,48.55,48.55,48.55,216342,128777,241099,0
39,2020-05-20 10:35:00,48.6,48.6,48.6,48.6,231823,131334,240499,0
40,2020-05-20 10:37:00,48.65,48.65,48.65,48.65,228228,134507,239872,0
41,2020-05-20 10:43:00,48.65,48.65,48.65,48.65,214159,136254,240700,0
42,2020-05-20 10:46:00,48.75,48.75,48.75,48.75,232663,285916,480886,0
43,2020-05-20 10:48:00,48.6,48.6,48.6,48.6,233609,144118,242384,0
