,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,39.15,39.15,39.15,39.15,0,125050,109103,0
1,2020-05-20 09:07:00,39.15,39.15,39.15,39.15,0,138062,120266,0
2,2020-05-20 09:08:00,40.05,40.05,40.05,40.05,15746,123127,105065,0
3,2020-05-20 09:11:00,40.05,40.05,40.05,40.05,15746,123127,105065,0
4,2020-05-20 09:14:00,40.05,40.05,40.05,40.05,0,123127,105065,0
5,2020-05-20 09:15:00,40.1,41.0,40.1,41.0,87046,503086,340523,0
6,2020-05-20 09:18:00,40.35,40.35,40.35,40.35,184744,367123,325665,0
7,2020-05-20 09:19:00,40.45,40.45,40.45,40.45,207046,180567,179032,0
8,2020-05-20 09:20:00,40.6,40.6,40.6,40.6,153554,207429,188694,0
9,2020-05-20 09:21:00,40.75,40.75,40.75,40.75,161546,252441,197256,0
10,2020-05-20 09:22:00,41.05,41.2,41.05,41.2,260281,507056,422907,0
11,2020-05-20 09:25:00,40.95,40.95,40.95,40.95,333893,252023,227079,0
12,2020-05-20 09:26:00,40.85,40.85,40.85,40.85,250301,244872,243642,0
13,2020-05-20 09:28:00,40.5,40.5,40.5,40.5,214024,232961,276669,0
14,2020-05-20 09:29:00,40.4,40.4,40.4,40.4,309020,235844,276654,0
15,2020-05-20 09:32:00,40.7,40.7,40.7,40.7,378732,241921,280231,0
16,2020-05-20 09:34:00,40.65,40.65,40.65,40.65,289617,243011,291589,0
17,2020-05-20 09:35:00,40.7,40.7,40.7,40.7,227941,242130,309317,0
18,2020-05-20 09:36:00,40.6,40.65,40.6,40.65,381176,482212,652048,0
19,2020-05-20 09:38:00,40.4,40.4,40.4,40.4,402109,247734,323425,0
20,2020-05-20 09:39:00,40.4,40.4,40.4,40.4,249765,250390,323683,0
21,2020-05-20 09:42:00,40.35,40.35,40.35,40.35,394605,486151,633236,0
22,2020-05-20 09:43:00,40.35,40.35,40.35,40.35,400392,239553,316577,0
23,2020-05-20 09:45:00,40.35,40.35,40.35,40.35,262937,240741,323340,0
24,2020-05-20 09:48:00,40.4,40.4,40.4,40.4,266054,328861,323829,0
25,2020-05-20 09:50:00,40.4,40.4,40.4,40.4,406921,338176,324887,0
26,2020-05-20 09:51:00,40.45,40.45,40.4,40.4,265358,678999,651587,0
27,2020-05-20 09:52:00,40.45,40.45,40.45,40.45,267088,338915,326264,0
28,2020-05-20 09:55:00,40.55,40.55,40.55,40.55,415843,246494,321412,0
29,2020-05-20 09:58:00,40.5,40.5,40.5,40.5,426853,246361,327685,0
30,2020-05-20 09:59:00,40.5,40.5,40.5,40.5,281099,246586,329960,0
31,2020-05-20 10:04:00,40.45,40.45,40.35,40.35,429915,486132,670114,0
32,2020-05-20 10:06:00,40.3,40.3,40.3,40.3,434056,240198,337003,0
33,2020-05-20 10:08:00,40.3,40.3,40.3,40.3,306943,259406,340058,0
34,2020-05-20 10:13:00,40.15,40.15,40.15,40.15,331676,236593,355659,0
35,2020-05-20 10:16:00,39.95,39.95,39.95,39.95,501196,213129,362749,0
36,2020-05-20 10:18:00,40.0,40.0,40.0,40.0,480566,219227,361284,0
37,2020-05-20 10:20:00,39.9,39.9,39.9,39.9,323642,216458,375785,0
38,2020-05-20 10:22:00,39.9,39.9,39.9,39.9,353919,224398,400874,0
39,2020-05-20 10:23:00,39.85,39.85,39.85,39.85,511863,227548,402259,0
40,2020-05-20 10:24:00,39.95,40.0,39.95,40.0,329355,456428,773657,0
41,2020-05-20 10:25:00,39.9,39.9,39.9,39.9,330599,232664,386812,0
42,2020-05-20 10:26:00,39.9,39.9,39.9,39.9,514136,239631,393584,0
43,2020-05-20 10:27:00,40.0,40.0,40.0,40.0,515082,240844,399801,0
44,2020-05-20 10:30:00,40.0,40.0,40.0,40.0,335408,277192,403419,0
45,2020-05-20 10:36:00,40.1,40.1,40.1,40.1,529422,512554,785827,0
46,2020-05-20 10:38:00,40.2,40.2,40.2,40.2,530180,251375,394018,0
47,2020-05-20 10:39:00,40.15,40.15,40.1,40.1,336927,513175,795191,0
48,2020-05-20 10:40:00,40.2,40.2,40.2,40.2,530902,514626,794458,0
49,2020-05-20 10:44:00,40.2,40.2,40.2,40.2,342856,513348,810314,0
50,2020-05-20 10:46:00,40.2,40.2,40.2,40.2,347112,258001,404571,0
