,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1506.8,1506.8,1506.8,1506.8,0,3471,7217,0
1,2020-05-20 09:07:00,1506.8,1506.8,1506.8,1506.8,0,3537,8303,0
2,2020-05-20 09:08:00,1510.0,1510.0,1510.0,1510.0,662,3114,7671,0
3,2020-05-20 09:11:00,1510.0,1510.0,1510.0,1510.0,662,3114,7671,0
4,2020-05-20 09:14:00,1510.0,1510.0,1510.0,1510.0,0,3114,7671,0
5,2020-05-20 09:15:00,1509.8,1509.8,1509.8,1509.8,142,5240,7775,0
6,2020-05-20 09:17:00,1520.1,1520.1,1520.1,1520.1,34662,46709,42385,0
7,2020-05-20 09:18:00,1508.15,1508.15,1508.15,1508.15,47070,47485,49122,0
8,2020-05-20 09:19:00,1498.2,1498.2,1498.2,1498.2,24162,46225,51813,0
9,2020-05-20 09:20:00,1499.9,1499.9,1499.9,1499.9,28714,46704,49311,0
10,2020-05-20 09:22:00,1503.5,1503.5,1503.5,1503.5,66252,49170,51055,0
11,2020-05-20 09:23:00,1503.95,1503.95,1503.95,1503.95,66290,50248,55477,0
12,2020-05-20 09:24:00,1506.45,1506.65,1506.45,1506.65,33380,106156,111720,0
13,2020-05-20 09:25:00,1510.0,1510.0,1510.0,1510.0,38289,54909,54188,0
14,2020-05-20 09:27:00,1512.0,1512.0,1512.0,1512.0,84912,56087,55307,0
15,2020-05-20 09:29:00,1509.4,1509.4,1509.4,1509.4,91582,55434,57800,0
16,2020-05-20 09:32:00,1497.0,1497.0,1497.0,1497.0,68537,50683,60040,0
17,2020-05-20 09:34:00,1494.0,1497.85,1494.0,1497.85,102691,105202,117501,0
18,2020-05-20 09:35:00,1487.0,1487.0,1487.0,1487.0,118228,52687,61578,0
19,2020-05-20 09:36:00,1490.9,1490.9,1490.9,1490.9,92619,55112,59888,0
20,2020-05-20 09:38:00,1493.75,1493.75,1493.75,1493.75,88318,58627,60614,0
21,2020-05-20 09:39:00,1498.0,1498.0,1498.0,1498.0,120961,62331,60456,0
22,2020-05-20 09:40:00,1496.9,1496.9,1496.9,1496.9,128655,62266,61097,0
23,2020-05-20 09:41:00,1507.3,1507.3,1507.3,1507.3,106526,62965,56371,0
24,2020-05-20 09:42:00,1503.6,1503.6,1499.1,1499.1,129401,124073,118454,0
25,2020-05-20 09:43:00,1497.25,1497.25,1497.25,1497.25,130394,61640,60905,0
26,2020-05-20 09:44:00,1499.65,1499.65,1499.65,1499.65,109603,62572,61284,0
27,2020-05-20 09:45:00,1501.0,1501.0,1501.0,1501.0,113056,64394,60473,0
28,2020-05-20 09:46:00,1500.7,1501.05,1500.7,1501.05,134653,130806,123479,0
29,2020-05-20 09:47:00,1502.0,1502.05,1502.0,1502.05,114089,131750,123596,0
30,2020-05-20 09:48:00,1499.65,1499.65,1499.65,1499.65,117026,64835,63247,0
31,2020-05-20 09:49:00,1501.0,1501.0,1501.0,1501.0,140060,65548,63233,0
32,2020-05-20 09:50:00,1503.0,1503.0,1503.0,1503.0,141067,65582,62538,0
33,2020-05-20 09:51:00,1502.6,1502.6,1502.6,1502.6,120540,65760,63074,0
34,2020-05-20 09:52:00,1502.0,1502.0,1502.0,1502.0,124730,65744,62132,0
35,2020-05-20 09:53:00,1503.5,1503.5,1503.5,1503.5,146278,67375,63439,0
36,2020-05-20 09:54:00,1509.2,1509.2,1508.05,1508.05,133574,138515,118987,0
37,2020-05-20 09:55:00,1509.45,1509.45,1509.45,1509.45,135494,70614,58891,0
38,2020-05-20 09:56:00,1511.0,1511.0,1508.55,1508.55,160307,137413,121452,0
39,2020-05-20 09:57:00,1505.1,1505.1,1505.1,1505.1,161787,66211,62497,0
40,2020-05-20 09:58:00,1506.9,1506.9,1506.9,1506.9,139828,67845,63726,0
41,2020-05-20 10:00:00,1504.75,1504.75,1504.75,1504.75,145691,65177,64378,0
42,2020-05-20 10:01:00,1505.95,1505.95,1505.95,1505.95,169924,66240,64302,0
43,2020-05-20 10:02:00,1504.0,1504.0,1501.7,1501.7,147858,132762,132171,0
44,2020-05-20 10:03:00,1502.0,1502.0,1502.0,1502.0,173220,131684,135682,0
45,2020-05-20 10:04:00,1501.1,1501.1,1501.1,1501.1,174667,65098,71503,0
46,2020-05-20 10:06:00,1497.9,1497.9,1497.9,1497.9,160670,62921,68647,0
47,2020-05-20 10:07:00,1501.35,1502.0,1501.35,1502.0,177027,128295,136456,0
48,2020-05-20 10:08:00,1502.0,1502.0,1500.35,1500.35,164302,192072,205213,0
49,2020-05-20 10:10:00,1501.85,1501.85,1501.85,1501.85,166279,66253,67039,0
50,2020-05-20 10:12:00,1498.1,1498.1,1498.1,1498.1,182354,134668,138591,0
51,2020-05-20 10:14:00,1498.8,1499.0,1498.8,1499.0,171451,136201,138393,0
52,2020-05-20 10:16:00,1499.0,1499.0,1499.0,1499.0,173237,71745,69853,0
53,2020-05-20 10:17:00,1498.7,1498.7,1498.7,1498.7,187961,70086,70902,0
54,2020-05-20 10:18:00,1497.2,1497.2,1497.2,1497.2,187983,67355,71129,0
55,2020-05-20 10:19:00,1494.95,1495.0,1494.95,1495.0,179916,130711,142243,0
56,2020-05-20 10:20:00,1492.6,1492.6,1492.6,1492.6,183312,66564,70766,0
57,2020-05-20 10:21:00,1495.5,1495.5,1495.0,1495.0,192225,131102,150479,0
58,2020-05-20 10:22:00,1491.65,1491.65,1491.4,1491.4,187766,125984,153479,0
59,2020-05-20 10:25:00,1496.4,1496.4,1496.05,1496.05,203458,132243,139227,0
60,2020-05-20 10:26:00,1497.25,1497.25,1495.75,1495.75,190183,133777,138432,0
61,2020-05-20 10:27:00,1501.85,1501.85,1501.85,1501.85,194579,68854,67777,0
62,2020-05-20 10:28:00,1498.45,1498.5,1498.2,1498.2,206555,204320,207883,0
63,2020-05-20 10:30:00,1497.4,1497.4,1497.4,1497.4,209000,67828,70901,0
64,2020-05-20 10:31:00,1496.75,1498.0,1496.75,1498.0,195507,136963,141761,0
65,2020-05-20 10:32:00,1499.3,1502.0,1499.3,1502.0,211643,140485,139681,0
66,2020-05-20 10:33:00,1501.6,1501.6,1501.6,1501.6,212408,69721,69714,0
67,2020-05-20 10:34:00,1503.2,1507.95,1503.2,1507.95,203146,142970,135922,0
