,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,335.25,335.25,335.25,335.25,0,17415,8311,0
1,2020-05-20 09:07:00,335.25,335.25,335.25,335.25,0,17785,8539,0
2,2020-05-20 09:18:00,337.35,337.35,337.35,337.35,1333,29968,19195,0
3,2020-05-20 09:19:00,337.0,337.0,337.0,337.0,1432,32313,20453,0
4,2020-05-20 09:22:00,336.1,336.1,336.1,336.1,1033,34871,23880,0
5,2020-05-20 09:23:00,336.4,336.4,336.4,336.4,1159,35530,23912,0
6,2020-05-20 09:29:00,335.0,335.0,335.0,335.0,5614,37705,26095,0
7,2020-05-20 09:30:00,336.0,336.0,335.7,335.7,1529,78721,51160,0
8,2020-05-20 09:33:00,336.3,336.3,335.0,335.0,6366,78437,53933,0
9,2020-05-20 09:34:00,334.6,334.6,334.6,334.6,6437,41843,30289,0
10,2020-05-20 09:36:00,334.7,334.7,334.7,334.7,1844,41936,30750,0
11,2020-05-20 09:40:00,335.45,335.45,335.45,335.45,2777,42968,31639,0
12,2020-05-20 09:41:00,335.0,335.0,335.0,335.0,7605,47323,31564,0
13,2020-05-20 09:42:00,335.45,335.45,335.45,335.45,7017,47633,31599,0
14,2020-05-20 09:43:00,335.75,335.75,335.75,335.75,2310,47858,31453,0
15,2020-05-20 09:44:00,336.5,336.5,336.5,336.5,2971,48194,31359,0
16,2020-05-20 09:46:00,335.5,335.5,335.5,335.5,7962,48840,31751,0
17,2020-05-20 09:47:00,336.05,336.05,336.05,336.05,7464,49179,31897,0
18,2020-05-20 09:49:00,336.9,336.9,336.9,336.9,3772,50325,30202,0
19,2020-05-20 09:50:00,337.0,337.0,337.0,337.0,4918,50810,30010,0
20,2020-05-20 09:53:00,338.3,338.3,338.3,338.3,9872,54576,31111,0
21,2020-05-20 09:55:00,338.05,338.45,338.05,338.45,4173,106955,64897,0
22,2020-05-20 10:00:00,338.35,338.35,338.35,338.35,5411,53734,32355,0
23,2020-05-20 10:01:00,337.95,337.95,337.95,337.95,11405,53466,32139,0
24,2020-05-20 10:05:00,340.0,340.0,340.0,340.0,13596,55663,30433,0
25,2020-05-20 10:07:00,339.05,339.05,339.05,339.05,8264,55357,31141,0
26,2020-05-20 10:12:00,338.2,338.2,338.05,338.05,12337,110165,62895,0
27,2020-05-20 10:14:00,336.95,336.95,336.95,336.95,13865,57775,35551,0
28,2020-05-20 10:20:00,336.0,336.0,336.0,336.0,12107,57363,36400,0
29,2020-05-20 10:21:00,336.0,336.0,336.0,336.0,10748,57443,36331,0
30,2020-05-20 10:22:00,336.9,336.9,336.9,336.9,12769,57762,36086,0
31,2020-05-20 10:26:00,335.95,335.95,335.95,335.95,14836,57149,36705,0
32,2020-05-20 10:27:00,336.0,336.0,336.0,336.0,13131,57336,36559,0
33,2020-05-20 10:28:00,336.0,336.0,336.0,336.0,11121,57336,36552,0
34,2020-05-20 10:31:00,335.8,335.8,335.8,335.8,13318,61674,39871,0
35,2020-05-20 10:32:00,335.45,335.45,335.45,335.45,15481,61355,40008,0
36,2020-05-20 10:35:00,335.25,335.25,335.25,335.25,13719,61346,40008,0
37,2020-05-20 10:42:00,335.7,335.7,335.7,335.7,12874,62090,40099,0
38,2020-05-20 10:43:00,335.35,335.35,335.35,335.35,14806,61885,40092,0
39,2020-05-20 10:44:00,335.35,335.45,335.35,335.45,14043,130095,82012,0
40,2020-05-20 10:47:00,335.25,335.25,335.25,335.25,14309,65029,41220,0
41,2020-05-20 10:48:00,335.0,335.0,335.0,335.0,15170,65136,41266,0
42,2020-05-20 10:49:00,335.1,335.1,335.1,335.1,15093,65513,41230,0
43,2020-05-20 10:50:00,335.3,335.3,335.3,335.3,14563,65230,41261,0
44,2020-05-20 10:55:00,337.0,337.0,337.0,337.0,15802,65891,39979,0
45,2020-05-20 10:56:00,336.35,336.35,336.35,336.35,16693,69341,44272,0
46,2020-05-20 10:59:00,336.05,336.05,336.05,336.05,15824,71049,44424,0
47,2020-05-20 11:00:00,336.05,336.05,336.05,336.05,15046,71063,44424,0
48,2020-05-20 11:01:00,336.05,336.05,336.05,336.05,16033,74248,48172,0
49,2020-05-20 11:02:00,336.05,336.05,336.05,336.05,16995,74116,48177,0
50,2020-05-20 11:03:00,336.0,336.0,336.0,336.0,16122,74171,48177,0
51,2020-05-20 11:06:00,335.75,335.75,335.75,335.75,15581,71378,45389,0
52,2020-05-20 11:11:00,337.5,337.5,337.5,337.5,17685,73174,44406,0
53,2020-05-20 11:15:00,338.0,338.35,338.0,338.35,16966,145958,88577,0
54,2020-05-20 11:16:00,337.95,337.95,337.85,337.85,17807,146741,88145,0
55,2020-05-20 11:17:00,337.75,337.75,337.75,337.75,17915,73232,44045,0
56,2020-05-20 11:21:00,336.6,336.6,336.6,336.6,17801,75276,47575,0
57,2020-05-20 11:22:00,336.5,336.5,336.5,336.5,17811,75359,47565,0
58,2020-05-20 11:23:00,336.5,336.5,336.5,336.5,18039,75471,47566,0
59,2020-05-20 11:24:00,336.45,336.45,336.45,336.45,18142,75450,47603,0
60,2020-05-20 11:28:00,337.15,337.15,337.15,337.15,18538,76068,47113,0
61,2020-05-20 11:30:00,336.95,336.95,336.95,336.95,18723,75972,47310,0
62,2020-05-20 11:34:00,336.5,336.5,336.5,336.5,18789,78156,48988,0
63,2020-05-20 11:35:00,336.5,336.5,336.5,336.5,18661,78269,49161,0
64,2020-05-20 11:41:00,336.75,336.75,336.75,336.75,19929,78291,48914,0
65,2020-05-20 11:43:00,336.5,336.5,336.5,336.5,20277,78244,49235,0
66,2020-05-20 11:44:00,336.5,336.5,336.5,336.5,19124,78254,49214,0
67,2020-05-20 11:47:00,336.6,336.6,336.6,336.6,19178,78438,49148,0
68,2020-05-20 11:50:00,337.5,337.5,337.5,337.5,20946,78895,48717,0
69,2020-05-20 11:51:00,337.35,337.35,337.35,337.35,21185,79195,48663,0
70,2020-05-20 11:54:00,336.95,336.95,336.95,336.95,19849,78741,48957,0
71,2020-05-20 11:57:00,337.15,337.15,337.15,337.15,20315,78991,48866,0
72,2020-05-20 11:58:00,337.1,337.1,337.1,337.1,21708,79023,48886,0
73,2020-05-20 12:04:00,336.7,336.7,336.7,336.7,22176,77735,49088,0
74,2020-05-20 12:10:00,336.5,336.5,336.5,336.5,21589,78028,49151,0
75,2020-05-20 12:11:00,337.3,337.3,337.3,337.3,21384,78131,49176,0
76,2020-05-20 12:13:00,336.6,336.6,336.6,336.6,22141,77968,49181,0
77,2020-05-20 12:14:00,336.5,336.5,336.5,336.5,22525,77875,49237,0
78,2020-05-20 12:20:00,336.5,336.5,336.5,336.5,22571,77640,49504,0
79,2020-05-20 12:25:00,336.7,336.7,336.7,336.7,23007,78521,49172,0
80,2020-05-20 12:26:00,336.8,336.8,336.8,336.8,23074,78559,49270,0
81,2020-05-20 12:54:00,339.75,339.75,339.75,339.75,27663,71262,40788,0
82,2020-05-20 12:57:00,339.35,339.35,339.35,339.35,28058,73317,42082,0
83,2020-05-20 12:58:00,340.8,340.8,340.8,340.8,24170,73966,41050,0
84,2020-05-20 13:08:00,338.75,338.75,338.75,338.75,28816,146704,83281,0
85,2020-05-20 13:27:00,340.35,340.35,340.35,340.35,29537,72387,40679,0
86,2020-05-20 13:31:00,339.6,339.6,339.6,339.6,24976,72383,40921,0
87,2020-05-20 13:45:00,340.4,340.4,340.4,340.4,25531,79710,44324,0
88,2020-05-20 13:46:00,340.8,340.8,340.8,340.8,30164,79712,44144,0
89,2020-05-20 13:49:00,340.2,340.2,340.2,340.2,29978,79783,44139,0
90,2020-05-20 13:55:00,340.3,340.3,340.3,340.3,25389,79775,44271,0
