,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,200.65,200.65,200.65,200.65,0,16746,18506,0
1,2020-05-20 09:07:00,204.0,204.0,204.0,204.0,0,15858,19109,0
2,2020-05-20 09:16:00,202.3,202.3,202.3,202.3,5623,51381,82894,0
3,2020-05-20 09:17:00,202.3,202.3,202.15,202.15,877,85416,135097,0
4,2020-05-20 09:18:00,201.3,201.3,201.3,201.3,2262,27290,52335,0
5,2020-05-20 09:19:00,201.5,201.5,201.5,201.5,7379,43485,72001,0
6,2020-05-20 09:21:00,201.15,201.15,201.15,201.15,7014,47734,76470,0
7,2020-05-20 09:22:00,202.15,202.15,202.15,202.15,3894,49105,75530,0
8,2020-05-20 09:23:00,202.3,202.3,202.3,202.3,4359,49402,75526,0
9,2020-05-20 09:24:00,201.6,201.6,201.6,201.6,8569,47624,79634,0
10,2020-05-20 09:25:00,201.7,201.7,201.7,201.7,8437,48458,79237,0
11,2020-05-20 09:27:00,200.0,200.0,200.0,200.0,9080,46166,84117,0
12,2020-05-20 09:31:00,200.4,200.4,200.4,200.4,13706,52295,87790,0
13,2020-05-20 09:32:00,200.8,200.8,200.8,200.8,26519,55152,89077,0
14,2020-05-20 09:33:00,200.7,200.7,200.7,200.7,26314,57139,89951,0
15,2020-05-20 09:34:00,201.0,201.0,201.0,201.0,17555,122053,180425,0
16,2020-05-20 09:36:00,200.85,200.85,200.85,200.85,20782,63342,93501,0
17,2020-05-20 09:38:00,200.3,200.3,200.3,200.3,31446,60438,95852,0
18,2020-05-20 09:39:00,200.35,200.35,200.35,200.35,29087,60537,95751,0
19,2020-05-20 09:40:00,200.6,200.6,200.1,200.1,21206,120845,192883,0
20,2020-05-20 09:42:00,200.4,200.4,200.05,200.05,31016,120002,194654,0
21,2020-05-20 09:44:00,200.25,200.25,200.25,200.25,32944,60475,96973,0
22,2020-05-20 09:46:00,200.8,200.8,200.8,200.8,23824,61087,97670,0
23,2020-05-20 09:48:00,201.0,201.0,200.95,200.95,34554,125323,193398,0
24,2020-05-20 09:50:00,201.0,201.0,201.0,201.0,35916,62963,97422,0
25,2020-05-20 09:51:00,200.8,200.8,200.8,200.8,25488,63715,97644,0
26,2020-05-20 09:53:00,200.65,200.65,200.65,200.65,25451,63165,100757,0
27,2020-05-20 09:58:00,200.9,200.9,200.9,200.9,39697,62998,101682,0
28,2020-05-20 10:02:00,201.0,201.0,201.0,201.0,45929,63495,103024,0
29,2020-05-20 10:03:00,200.8,200.8,200.8,200.8,32455,63162,103437,0
30,2020-05-20 10:04:00,200.85,200.85,200.85,200.85,27010,62517,106484,0
31,2020-05-20 10:05:00,200.9,200.9,200.9,200.9,40622,62653,107373,0
32,2020-05-20 10:06:00,200.9,200.9,200.9,200.9,46672,63506,107829,0
33,2020-05-20 10:12:00,201.0,201.0,201.0,201.0,36026,64910,106880,0
