,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,415.7,415.7,415.7,415.7,0,406,275,0
1,2020-05-20 09:15:00,423.8,423.8,423.8,423.8,0,381,275,0
2,2020-05-20 09:18:00,415.0,415.0,415.0,415.0,94,1040,600,0
3,2020-05-20 09:25:00,415.0,415.0,415.0,415.0,154,1050,853,0
4,2020-05-20 10:40:00,415.5,415.5,415.5,415.5,710,1358,1088,0
5,2020-05-20 11:22:00,416.55,416.55,416.55,416.55,710,1695,1804,0
6,2020-05-20 11:23:00,416.55,416.55,416.55,416.55,459,1739,1459,0
7,2020-05-20 13:20:00,413.5,413.5,413.5,413.5,975,1904,1604,0
8,2020-05-20 14:40:00,411.85,411.85,411.85,411.85,1485,2053,1563,0
9,2020-05-20 14:47:00,414.95,414.95,414.95,414.95,1025,2122,1543,0
10,2020-05-20 15:11:00,414.95,414.95,414.95,414.95,691,1967,862,0
11,2020-05-20 15:12:00,414.95,414.95,414.95,414.95,1151,1979,907,0
12,2020-05-20 15:16:00,421.25,421.25,421.25,421.25,1597,1552,863,0
13,2020-05-20 15:23:00,413.85,413.85,413.85,413.85,1201,1467,795,0
