,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,12.2,12.2,12.2,12.2,0,86543,40627,0
1,2020-05-20 09:22:00,12.1,12.1,12.1,12.1,0,131807,88760,0
2,2020-05-20 09:23:00,12.15,12.15,12.15,12.15,14966,137899,86460,0
3,2020-05-20 09:26:00,12.05,12.05,12.05,12.05,20271,144986,93300,0
4,2020-05-20 09:34:00,12.1,12.1,12.1,12.1,13548,148832,70662,0
5,2020-05-20 09:38:00,12.1,12.1,12.1,12.1,11456,151373,69049,0
6,2020-05-20 09:47:00,12.0,12.0,12.0,12.0,52165,143157,74180,0
7,2020-05-20 09:50:00,12.0,12.0,12.0,12.0,58457,145733,72991,0
8,2020-05-20 09:52:00,12.0,12.0,12.0,12.0,17965,147116,72773,0
9,2020-05-20 10:01:00,12.45,12.45,12.45,12.45,144876,340540,95541,0
10,2020-05-20 10:14:00,12.55,12.55,12.55,12.55,160748,218813,103112,0
11,2020-05-20 10:17:00,12.55,12.55,12.55,12.55,38927,214510,106327,0
12,2020-05-20 10:18:00,12.65,12.65,12.65,12.65,23200,214271,98592,0
13,2020-05-20 10:38:00,12.55,12.55,12.55,12.55,193261,195512,116794,0
14,2020-05-20 10:49:00,12.45,12.45,12.45,12.45,220515,194600,132966,0
15,2020-05-20 10:53:00,12.35,12.35,12.35,12.35,52054,191386,134458,0
16,2020-05-20 10:55:00,12.35,12.35,12.35,12.35,25162,193080,123096,0
17,2020-05-20 11:06:00,12.4,12.4,12.4,12.4,197070,187485,108533,0
18,2020-05-20 11:11:00,12.4,12.4,12.4,12.4,224563,188896,108632,0
19,2020-05-20 11:17:00,12.45,12.45,12.45,12.45,54874,188784,106648,0
20,2020-05-20 11:40:00,12.4,12.4,12.4,12.4,36186,189211,113056,0
21,2020-05-20 11:43:00,12.4,12.4,12.4,12.4,208392,191319,115371,0
22,2020-05-20 11:47:00,12.35,12.35,12.35,12.35,228658,192149,117030,0
23,2020-05-20 11:59:00,12.3,12.3,12.3,12.3,60620,192026,122210,0
24,2020-05-20 12:09:00,12.25,12.25,12.25,12.25,54732,212403,120465,0
25,2020-05-20 12:27:00,12.25,12.25,12.25,12.25,227791,210470,118473,0
26,2020-05-20 12:28:00,12.3,12.3,12.3,12.3,233684,210470,118576,0
27,2020-05-20 12:43:00,12.3,12.3,12.3,12.3,74584,209465,121724,0
28,2020-05-20 12:46:00,12.25,12.25,12.25,12.25,69001,201510,116991,0
29,2020-05-20 13:04:00,12.25,12.25,12.25,12.25,233239,214634,122001,0
30,2020-05-20 13:29:00,12.35,12.35,12.35,12.35,250848,210009,121608,0
31,2020-05-20 13:41:00,12.25,12.25,12.25,12.25,97623,205896,119221,0
32,2020-05-20 14:06:00,12.4,12.4,12.4,12.4,92597,227480,123113,0
33,2020-05-20 14:12:00,12.45,12.45,12.45,12.45,246298,216639,117917,0
34,2020-05-20 14:19:00,12.35,12.35,12.35,12.35,259938,211554,119945,0
35,2020-05-20 14:36:00,12.4,12.4,12.4,12.4,110393,200331,123292,0
36,2020-05-20 14:45:00,12.5,12.5,12.5,12.5,106554,201615,120382,0
37,2020-05-20 14:55:00,12.35,12.35,12.35,12.35,257031,190416,116589,0
38,2020-05-20 15:16:00,12.4,12.4,12.4,12.4,272069,186725,113358,0
39,2020-05-20 15:17:00,12.5,12.5,12.5,12.5,122602,185786,113389,0
40,2020-05-20 15:19:00,12.4,12.4,12.4,12.4,107729,185854,113358,0
41,2020-05-20 15:21:00,12.5,12.5,12.5,12.5,261835,189395,111468,0
42,2020-05-20 15:23:00,12.55,12.55,12.55,12.55,277168,188001,111929,0
43,2020-05-20 15:25:00,12.55,12.55,12.55,12.55,124977,189594,110528,0
