,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,8.6,8.6,8.6,8.6,0,156753,113963,0
1,2020-05-20 09:18:00,8.7,8.7,8.7,8.7,0,196474,141641,0
2,2020-05-20 09:19:00,8.7,8.7,8.7,8.7,7602,198289,150648,0
3,2020-05-20 09:23:00,8.7,8.7,8.7,8.7,15474,211632,160381,0
4,2020-05-20 09:29:00,8.65,8.65,8.65,8.65,16339,220599,175169,0
5,2020-05-20 09:30:00,8.65,8.65,8.65,8.65,18573,428624,374685,0
6,2020-05-20 09:33:00,8.65,8.65,8.65,8.65,19073,226728,197005,0
7,2020-05-20 09:37:00,8.6,8.6,8.6,8.6,22284,224440,194482,0
8,2020-05-20 09:38:00,8.6,8.6,8.6,8.6,21827,225607,196482,0
9,2020-05-20 09:57:00,8.7,8.7,8.7,8.7,38086,256633,214574,0
10,2020-05-20 09:59:00,8.7,8.7,8.7,8.7,38655,256873,214564,0
11,2020-05-20 10:01:00,8.65,8.65,8.65,8.65,32418,250865,216182,0
12,2020-05-20 10:06:00,8.7,8.7,8.7,8.7,32788,253306,217093,0
13,2020-05-20 10:10:00,8.65,8.65,8.65,8.65,41169,250433,222237,0
14,2020-05-20 10:14:00,8.65,8.65,8.65,8.65,44971,254357,220226,0
15,2020-05-20 10:16:00,8.7,8.7,8.7,8.7,38794,254956,235105,0
16,2020-05-20 10:21:00,8.65,8.65,8.65,8.65,39296,258234,246757,0
17,2020-05-20 10:24:00,8.65,8.65,8.65,8.65,46941,257058,252762,0
18,2020-05-20 10:27:00,8.65,8.65,8.65,8.65,47066,257214,251138,0
19,2020-05-20 10:29:00,8.65,8.65,8.65,8.65,43290,258591,250221,0
20,2020-05-20 10:31:00,8.65,8.65,8.65,8.65,52003,517386,490540,0
21,2020-05-20 10:36:00,8.65,8.65,8.65,8.65,55355,256923,245919,0
22,2020-05-20 10:38:00,8.65,8.65,8.65,8.65,47281,256903,245295,0
23,2020-05-20 11:03:00,8.6,8.6,8.6,8.6,82457,242285,264375,0
24,2020-05-20 11:14:00,8.6,8.6,8.6,8.6,100318,239632,266434,0
25,2020-05-20 11:32:00,8.65,8.65,8.65,8.65,81149,256552,255572,0
26,2020-05-20 11:35:00,8.6,8.6,8.6,8.6,63414,256555,255455,0
27,2020-05-20 11:49:00,8.6,8.6,8.6,8.6,88341,262404,255003,0
28,2020-05-20 12:06:00,8.6,8.6,8.6,8.6,109034,263302,256336,0
29,2020-05-20 12:24:00,8.55,8.55,8.55,8.55,87739,274740,259061,0
30,2020-05-20 12:35:00,8.55,8.6,8.55,8.6,90165,830148,774549,0
31,2020-05-20 12:48:00,8.65,8.65,8.65,8.65,91768,281065,263401,0
32,2020-05-20 12:55:00,8.6,8.6,8.6,8.6,90714,281360,257345,0
33,2020-05-20 12:57:00,8.6,8.6,8.6,8.6,89343,281348,257143,0
34,2020-05-20 13:18:00,8.65,8.65,8.65,8.65,94516,282623,253986,0
35,2020-05-20 13:19:00,8.65,8.65,8.65,8.65,96899,282622,252975,0
36,2020-05-20 13:42:00,8.6,8.6,8.6,8.6,99068,285941,248934,0
37,2020-05-20 14:10:00,8.65,8.65,8.65,8.65,101887,293900,246441,0
38,2020-05-20 14:15:00,8.6,8.6,8.6,8.6,100848,293121,243980,0
39,2020-05-20 14:33:00,8.65,8.65,8.65,8.65,116266,288508,249062,0
40,2020-05-20 14:45:00,8.65,8.65,8.65,8.65,138194,295979,234609,0
41,2020-05-20 14:47:00,8.65,8.65,8.65,8.65,102068,590588,467589,0
42,2020-05-20 14:57:00,8.7,8.7,8.7,8.7,133128,308026,234135,0
43,2020-05-20 15:19:00,8.7,8.7,8.7,8.7,177012,287489,268448,0
44,2020-05-20 15:22:00,8.7,8.7,8.7,8.7,148880,289835,269326,0
45,2020-05-20 15:23:00,8.7,8.7,8.7,8.7,106230,290160,268676,0
46,2020-05-20 15:29:00,8.6,8.6,8.6,8.6,173138,242841,248320,0
