,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,84.55,84.55,84.55,84.55,0,2633,916,0
1,2020-05-20 09:19:00,85.3,85.3,85.3,85.3,0,3723,926,0
2,2020-05-20 09:41:00,84.65,84.65,84.65,84.65,5680,6476,5705,0
3,2020-05-20 09:49:00,83.8,83.8,83.8,83.8,6027,8673,6454,0
4,2020-05-20 09:54:00,83.5,83.5,83.5,83.5,3390,6543,6635,0
5,2020-05-20 09:58:00,82.6,82.6,82.6,82.6,9832,4736,8537,0
6,2020-05-20 10:07:00,82.0,82.0,82.0,82.0,16064,4134,12461,0
7,2020-05-20 10:09:00,81.55,81.7,81.55,81.7,3659,9158,25091,0
8,2020-05-20 10:12:00,81.95,81.95,81.95,81.95,16316,10290,26159,0
9,2020-05-20 10:13:00,81.95,81.95,81.95,81.95,16316,5170,13295,0
10,2020-05-20 10:15:00,81.85,81.85,81.85,81.85,4314,5681,13319,0
11,2020-05-20 10:20:00,81.95,81.95,81.95,81.95,5161,5055,13989,0
12,2020-05-20 10:24:00,81.95,81.95,81.95,81.95,17689,9110,13502,0
13,2020-05-20 10:45:00,81.95,81.95,81.95,81.95,21549,13881,12451,0
14,2020-05-20 11:22:00,81.95,81.95,81.95,81.95,11383,16923,12139,0
15,2020-05-20 11:33:00,82.8,82.8,82.8,82.8,11339,18411,10626,0
16,2020-05-20 11:35:00,82.8,82.8,82.8,82.8,21505,18278,11119,0
17,2020-05-20 11:52:00,83.0,83.0,83.0,83.0,22345,18809,10638,0
18,2020-05-20 11:54:00,83.0,83.0,83.0,83.0,12210,19917,10641,0
19,2020-05-20 12:35:00,83.75,83.75,83.75,83.75,14559,17325,9840,0
20,2020-05-20 13:01:00,83.5,83.5,83.5,83.5,26747,17953,7791,0
21,2020-05-20 13:45:00,83.5,83.5,83.5,83.5,25148,19320,8670,0
22,2020-05-20 13:59:00,82.95,82.95,82.95,82.95,15657,18837,8664,0
23,2020-05-20 14:15:00,83.15,83.15,83.15,83.15,18299,18438,7834,0
24,2020-05-20 14:18:00,83.35,83.35,83.35,83.35,27809,18545,7931,0
25,2020-05-20 14:22:00,82.45,82.45,82.45,82.45,25802,18310,7924,0
26,2020-05-20 14:33:00,82.0,82.0,82.0,82.0,24361,18046,7648,0
27,2020-05-20 14:36:00,83.4,83.4,82.85,82.85,29206,35930,16064,0
28,2020-05-20 14:49:00,82.45,82.45,82.45,82.45,30145,18069,7900,0
29,2020-05-20 14:55:00,83.0,83.0,83.0,83.0,26914,18745,7283,0
30,2020-05-20 14:58:00,83.25,83.25,83.25,83.25,26531,20951,7234,0
31,2020-05-20 15:07:00,84.9,84.9,84.9,84.9,37550,22462,6853,0
32,2020-05-20 15:09:00,84.5,84.5,84.5,84.5,38723,22655,8371,0
33,2020-05-20 15:11:00,83.5,83.5,83.5,83.5,29902,22614,7958,0
34,2020-05-20 15:15:00,85.0,85.0,85.0,85.0,35868,24901,8017,0
35,2020-05-20 15:26:00,83.7,83.7,83.7,83.7,59183,21022,8061,0
