,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,180.9,180.9,180.9,180.9,0,6089,2752,0
1,2020-05-20 09:08:00,185.8,185.8,185.8,185.8,0,6069,2732,0
2,2020-05-20 09:11:00,185.8,185.8,185.8,185.8,20,6069,2732,0
3,2020-05-20 09:14:00,185.8,185.8,185.8,185.8,20,6069,2732,0
4,2020-05-20 09:16:00,182.0,182.0,182.0,182.0,1,6390,3257,0
5,2020-05-20 09:17:00,176.1,176.1,176.1,176.1,215,6387,3465,0
6,2020-05-20 09:23:00,180.0,180.0,180.0,180.0,344,9386,5426,0
7,2020-05-20 09:28:00,179.2,179.2,179.2,179.2,294,10916,5833,0
8,2020-05-20 09:40:00,180.0,180.0,180.0,180.0,251,11279,6296,0
9,2020-05-20 09:47:00,181.2,181.2,181.2,181.2,363,11629,6719,0
10,2020-05-20 09:48:00,180.3,180.3,180.3,180.3,467,11557,6741,0
11,2020-05-20 09:52:00,180.0,180.0,180.0,180.0,397,11624,7462,0
12,2020-05-20 09:55:00,180.0,180.0,180.0,180.0,305,11840,7480,0
13,2020-05-20 10:43:00,179.85,179.85,179.85,179.85,568,14378,10742,0
14,2020-05-20 10:59:00,179.85,179.85,179.85,179.85,680,16346,12528,0
15,2020-05-20 11:04:00,179.55,179.55,179.55,179.55,428,15695,12543,0
16,2020-05-20 11:21:00,179.7,179.7,179.7,179.7,1626,16788,13149,0
17,2020-05-20 11:45:00,179.2,179.2,179.2,179.2,2265,17271,13382,0
18,2020-05-20 12:01:00,177.55,177.55,177.55,177.55,1895,17301,13913,0
19,2020-05-20 12:06:00,179.3,179.3,179.3,179.3,1354,17009,13860,0
20,2020-05-20 12:23:00,178.55,178.55,178.55,178.55,1854,17218,13967,0
21,2020-05-20 13:10:00,179.35,179.35,179.35,179.35,2630,16715,15116,0
22,2020-05-20 13:20:00,178.8,178.8,178.8,178.8,2172,16655,15352,0
23,2020-05-20 14:20:00,179.05,179.05,179.05,179.05,4248,16729,13938,0
24,2020-05-20 14:34:00,179.95,179.95,179.95,179.95,5050,16770,14081,0
25,2020-05-20 14:36:00,179.0,179.0,179.0,179.0,3626,17121,13239,0
26,2020-05-20 14:39:00,179.95,179.95,179.95,179.95,2925,17259,13437,0
27,2020-05-20 14:45:00,179.5,179.5,179.5,179.5,4411,17138,13694,0
28,2020-05-20 14:59:00,180.9,180.9,180.9,180.9,5290,17798,13829,0
29,2020-05-20 15:17:00,181.0,181.0,181.0,181.0,4410,18107,10402,0
30,2020-05-20 15:26:00,180.0,180.0,180.0,180.0,3994,12670,6331,0
31,2020-05-20 15:27:00,179.0,179.0,179.0,179.0,4889,12570,5807,0
