,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1883.9,1883.9,1883.9,1883.9,0,1915,484,0
1,2020-05-20 09:15:00,1920.0,1920.0,1915.0,1915.0,114,2213,668,0
2,2020-05-20 09:17:00,1915.0,1915.0,1915.0,1915.0,147,1755,563,0
3,2020-05-20 09:18:00,1936.5,1936.5,1936.5,1936.5,238,2463,727,0
4,2020-05-20 09:20:00,1926.9,1926.9,1926.9,1926.9,380,2222,1179,0
5,2020-05-20 09:24:00,1911.35,1911.35,1911.35,1911.35,482,2200,1682,0
6,2020-05-20 09:27:00,1898.95,1898.95,1898.95,1898.95,712,2123,1856,0
7,2020-05-20 09:28:00,1898.95,1898.95,1895.0,1895.0,431,4353,3667,0
8,2020-05-20 09:29:00,1895.0,1895.0,1895.0,1895.0,431,2189,1824,0
9,2020-05-20 09:30:00,1900.0,1900.0,1900.0,1900.0,717,2252,1809,0
10,2020-05-20 09:32:00,1903.95,1903.95,1903.95,1903.95,778,2313,1845,0
11,2020-05-20 09:33:00,1903.95,1903.95,1903.95,1903.95,493,2975,2064,0
12,2020-05-20 09:34:00,1903.0,1903.0,1903.0,1903.0,434,2980,2104,0
13,2020-05-20 09:36:00,1904.0,1904.0,1904.0,1904.0,771,3038,2119,0
14,2020-05-20 09:37:00,1904.0,1904.0,1904.0,1904.0,841,3037,2122,0
15,2020-05-20 09:38:00,1904.0,1904.0,1904.0,1904.0,519,3040,2186,0
16,2020-05-20 09:42:00,1905.0,1905.0,1905.0,1905.0,597,4993,3289,0
17,2020-05-20 09:48:00,1915.05,1915.05,1915.05,1915.05,1041,5189,3078,0
18,2020-05-20 09:49:00,1918.85,1918.85,1918.85,1918.85,972,5201,3235,0
19,2020-05-20 09:51:00,1913.0,1913.0,1913.0,1913.0,580,5407,3087,0
20,2020-05-20 09:52:00,1918.1,1918.1,1918.1,1918.1,652,5466,3079,0
21,2020-05-20 09:58:00,1915.05,1915.05,1915.05,1915.05,1126,5570,3211,0
22,2020-05-20 10:01:00,1919.5,1919.7,1919.5,1919.7,638,17241,9590,0
23,2020-05-20 10:09:00,1915.95,1915.95,1915.95,1915.95,927,5654,3210,0
24,2020-05-20 10:28:00,1913.25,1913.25,1913.25,1913.25,1676,5376,3334,0
25,2020-05-20 10:35:00,1910.0,1910.0,1910.0,1910.0,1435,5513,3324,0
26,2020-05-20 10:39:00,1913.5,1913.5,1913.5,1913.5,698,5904,3332,0
27,2020-05-20 11:02:00,1910.0,1910.0,1910.0,1910.0,1188,6476,3737,0
28,2020-05-20 11:04:00,1913.5,1913.5,1913.5,1913.5,1929,6327,3752,0
29,2020-05-20 11:15:00,1913.25,1913.25,1913.25,1913.25,1511,6434,3822,0
30,2020-05-20 11:22:00,1905.0,1905.0,1905.0,1905.0,1198,6453,4114,0
31,2020-05-20 11:25:00,1900.15,1900.15,1900.15,1900.15,1662,6450,4132,0
32,2020-05-20 11:38:00,1904.35,1904.35,1904.35,1904.35,2105,6528,4178,0
33,2020-05-20 11:40:00,1902.55,1902.55,1902.55,1902.55,1739,6516,4156,0
34,2020-05-20 12:24:00,1896.05,1896.05,1896.05,1896.05,1867,6515,4439,0
35,2020-05-20 12:27:00,1899.95,1899.95,1899.95,1899.95,2241,6512,4434,0
36,2020-05-20 12:30:00,1896.15,1896.15,1896.15,1896.15,2118,6507,4434,0
37,2020-05-20 12:32:00,1899.9,1899.9,1899.9,1899.9,1745,6518,4435,0
38,2020-05-20 12:34:00,1900.0,1900.0,1900.0,1900.0,1987,6547,4419,0
39,2020-05-20 12:47:00,1900.0,1900.0,1900.0,1900.0,2623,5880,4440,0
40,2020-05-20 13:53:00,1898.95,1898.95,1898.95,1898.95,2780,6299,4299,0
41,2020-05-20 14:09:00,1898.0,1898.0,1898.0,1898.0,2330,6299,4276,0
42,2020-05-20 14:13:00,1890.05,1890.05,1890.05,1890.05,2318,6248,4288,0
43,2020-05-20 14:24:00,1900.0,1900.0,1900.0,1900.0,3436,18270,12350,0
44,2020-05-20 14:48:00,1905.0,1905.0,1905.0,1905.0,5331,6775,3846,0
45,2020-05-20 14:56:00,1902.25,1902.25,1902.25,1902.25,4303,6704,3815,0
46,2020-05-20 14:57:00,1902.25,1902.25,1902.25,1902.25,2421,6717,3827,0
47,2020-05-20 14:58:00,1907.65,1907.65,1907.65,1907.65,3456,6781,3773,0
48,2020-05-20 14:59:00,1906.9,1906.9,1906.9,1906.9,5348,6772,3764,0
49,2020-05-20 15:06:00,1904.05,1904.05,1904.05,1904.05,4498,6774,2175,0
50,2020-05-20 15:12:00,1910.0,1910.0,1910.0,1910.0,2691,6656,2072,0
51,2020-05-20 15:18:00,1906.35,1906.35,1906.35,1906.35,3821,6419,1942,0
52,2020-05-20 15:20:00,1915.0,1915.0,1915.0,1915.0,5780,6466,1812,0
