,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,116.85,116.85,116.85,116.85,0,81161,170848,0
1,2020-05-20 09:07:00,116.85,116.85,116.85,116.85,0,82843,173221,0
2,2020-05-20 09:08:00,117.1,117.1,117.1,117.1,6452,78537,169484,0
3,2020-05-20 09:11:00,117.1,117.1,117.1,117.1,6452,78537,169484,0
4,2020-05-20 09:14:00,117.1,117.1,117.1,117.1,0,78537,169484,0
5,2020-05-20 09:15:00,117.45,117.45,117.45,117.45,0,78537,169484,0
6,2020-05-20 09:18:00,118.5,118.5,118.5,118.5,329997,525491,676469,0
7,2020-05-20 09:20:00,117.85,117.85,117.85,117.85,445328,545333,751149,0
8,2020-05-20 09:23:00,118.15,118.15,118.15,118.15,315754,662059,800169,0
9,2020-05-20 09:24:00,118.15,118.15,118.15,118.15,200423,662059,800169,0
10,2020-05-20 09:25:00,117.55,117.55,117.55,117.55,404748,672435,855781,0
11,2020-05-20 09:28:00,116.9,116.9,116.9,116.9,757667,705337,910876,0
12,2020-05-20 09:29:00,116.85,116.85,116.85,116.85,554466,704088,906628,0
13,2020-05-20 09:30:00,116.05,116.05,116.05,116.05,292343,706141,952138,0
14,2020-05-20 09:31:00,115.9,115.9,115.9,115.9,555654,736382,953107,0
15,2020-05-20 09:32:00,116.55,116.55,116.55,116.55,884622,833182,916411,0
16,2020-05-20 09:34:00,116.55,116.55,116.55,116.55,676072,877849,935998,0
17,2020-05-20 09:35:00,116.5,116.5,116.1,116.1,608713,2687381,3159978,0
18,2020-05-20 09:36:00,115.85,115.85,115.85,115.85,652253,904847,1145163,0
19,2020-05-20 09:37:00,116.0,116.2,116.0,116.1,752355,2812183,3344252,0
20,2020-05-20 09:38:00,116.0,116.0,116.0,116.0,760069,941484,1119720,0
21,2020-05-20 09:39:00,116.3,116.3,116.3,116.3,698930,989183,1114914,0
22,2020-05-20 09:40:00,116.3,116.3,116.3,116.3,694781,991042,1114337,0
23,2020-05-20 09:41:00,116.2,116.2,116.2,116.2,781391,991112,1156888,0
24,2020-05-20 09:42:00,116.05,116.05,116.05,116.05,804143,1028128,1144351,0
25,2020-05-20 09:43:00,116.2,116.2,116.2,116.2,737067,1041483,1145883,0
26,2020-05-20 09:44:00,116.3,116.3,116.3,116.3,725159,1056679,1136664,0
27,2020-05-20 09:45:00,116.65,116.65,116.45,116.45,859345,2215485,2242538,0
28,2020-05-20 09:46:00,116.55,116.7,116.55,116.7,735641,3353624,3365395,0
