,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,552.75,552.75,552.75,552.75,0,382,1100,0
1,2020-05-20 09:20:00,555.95,555.95,555.95,555.95,0,559,2589,0
2,2020-05-20 09:22:00,555.95,555.95,555.95,555.95,1,594,2590,0
3,2020-05-20 09:25:00,555.95,555.95,555.95,555.95,1,500,2590,0
4,2020-05-20 09:30:00,545.5,545.5,545.5,545.5,6,1016,5168,0
5,2020-05-20 09:42:00,549.0,549.0,549.0,549.0,11,813,2856,0
6,2020-05-20 09:48:00,545.45,545.45,545.45,545.45,16,833,2963,0
7,2020-05-20 11:05:00,551.0,551.0,551.0,551.0,1259,1699,3015,0
8,2020-05-20 11:55:00,549.0,549.0,549.0,549.0,2134,1243,3129,0
9,2020-05-20 12:05:00,549.85,549.85,549.85,549.85,961,1228,3237,0
10,2020-05-20 12:08:00,545.0,545.0,545.0,545.0,90,1288,3237,0
11,2020-05-20 12:10:00,545.0,545.0,545.0,545.0,1263,1294,3310,0
12,2020-05-20 13:20:00,551.95,551.95,551.95,551.95,3014,1399,3254,0
13,2020-05-20 13:32:00,546.05,546.05,546.05,546.05,1860,1532,3213,0
14,2020-05-20 13:34:00,546.05,546.05,546.05,546.05,109,1542,3256,0
15,2020-05-20 14:12:00,553.0,553.0,553.0,553.0,1826,1500,3345,0
16,2020-05-20 14:37:00,544.0,544.0,544.0,544.0,4462,1362,3392,0
17,2020-05-20 14:38:00,552.35,552.35,552.35,552.35,2965,1233,3449,0
18,2020-05-20 14:39:00,545.05,545.05,545.05,545.05,333,1378,3494,0
19,2020-05-20 14:43:00,547.0,547.0,547.0,547.0,1975,1247,3442,0
20,2020-05-20 14:54:00,548.45,548.45,548.45,548.45,4676,1273,3329,0
21,2020-05-20 15:14:00,544.95,544.95,544.95,544.95,3408,1245,3304,0
22,2020-05-20 15:16:00,540.0,540.0,540.0,540.0,722,1310,3325,0
23,2020-05-20 15:28:00,541.95,541.95,541.95,541.95,2207,1030,3327,0
