,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,1257.55,1257.55,1257.55,1257.55,0,2134,2029,0
1,2020-05-20 09:07:00,1257.55,1257.55,1257.55,1257.55,0,2140,2025,0
2,2020-05-20 09:17:00,1265.5,1265.5,1265.5,1265.5,99,6408,11943,0
3,2020-05-20 09:21:00,1274.0,1274.0,1274.0,1274.0,366,13785,18839,0
4,2020-05-20 09:26:00,1254.05,1254.05,1254.05,1254.05,1279,15761,26063,0
5,2020-05-20 09:27:00,1257.6,1257.6,1257.6,1257.6,1177,16347,26085,0
6,2020-05-20 09:34:00,1258.35,1258.35,1258.35,1258.35,306,17624,26534,0
7,2020-05-20 09:37:00,1258.4,1258.4,1258.4,1258.4,461,17649,26999,0
8,2020-05-20 09:43:00,1262.3,1262.3,1262.3,1262.3,1261,42024,57168,0
9,2020-05-20 09:45:00,1262.6,1262.6,1262.6,1262.6,1263,21145,28609,0
10,2020-05-20 09:49:00,1262.65,1262.65,1262.65,1262.65,596,21322,28804,0
11,2020-05-20 09:55:00,1263.55,1263.55,1263.55,1263.55,1164,22047,28973,0
12,2020-05-20 10:00:00,1260.3,1260.85,1260.3,1260.85,1514,52193,64412,0
13,2020-05-20 10:01:00,1260.85,1260.85,1260.85,1260.85,1514,26382,31853,0
14,2020-05-20 10:05:00,1261.25,1261.25,1261.25,1261.25,1248,26192,32065,0
15,2020-05-20 10:08:00,1256.9,1256.9,1256.85,1256.85,1691,50801,66268,0
16,2020-05-20 10:10:00,1254.5,1254.5,1254.5,1254.5,1755,25441,33100,0
17,2020-05-20 10:16:00,1256.1,1256.1,1256.1,1256.1,1389,25256,33198,0
18,2020-05-20 10:26:00,1263.4,1263.4,1263.4,1263.4,1705,25721,32277,0
19,2020-05-20 10:28:00,1260.25,1260.25,1260.25,1260.25,2105,25912,32541,0
20,2020-05-20 10:29:00,1260.2,1260.2,1260.2,1260.2,1845,25701,32593,0
21,2020-05-20 10:31:00,1264.75,1264.75,1264.75,1264.75,1572,26524,31827,0
22,2020-05-20 10:36:00,1261.5,1261.5,1261.5,1261.5,1979,26153,33380,0
23,2020-05-20 10:41:00,1263.0,1263.0,1260.05,1260.05,2309,52472,66242,0
24,2020-05-20 10:47:00,1258.2,1258.2,1258.2,1258.2,2485,26932,35567,0
25,2020-05-20 10:48:00,1263.6,1263.6,1263.6,1263.6,2547,28049,34063,0
26,2020-05-20 10:51:00,1268.3,1268.3,1268.3,1268.3,4711,29108,33039,0
27,2020-05-20 10:52:00,1271.0,1271.0,1271.0,1271.0,6293,29851,31722,0
28,2020-05-20 10:53:00,1273.0,1274.95,1273.0,1274.95,6828,86522,91339,0
29,2020-05-20 10:54:00,1274.95,1274.95,1274.95,1274.95,7191,30435,31420,0
30,2020-05-20 10:55:00,1268.9,1268.9,1268.9,1268.9,7890,33433,33864,0
31,2020-05-20 10:56:00,1268.5,1268.5,1268.5,1268.5,7678,33151,34465,0
32,2020-05-20 10:58:00,1266.05,1266.05,1266.05,1266.05,7000,34675,36996,0
33,2020-05-20 11:00:00,1262.25,1263.35,1262.25,1263.35,9165,68216,75222,0
34,2020-05-20 11:03:00,1270.85,1270.85,1270.85,1270.85,10454,35320,35444,0
35,2020-05-20 11:15:00,1261.15,1261.15,1261.15,1261.15,7269,67741,74928,0
36,2020-05-20 11:18:00,1262.15,1262.15,1262.15,1262.15,7277,33873,37453,0
37,2020-05-20 11:22:00,1259.45,1259.45,1259.45,1259.45,10496,29103,34929,0
38,2020-05-20 11:27:00,1256.25,1256.25,1256.25,1256.25,10539,32455,39316,0
39,2020-05-20 11:28:00,1261.2,1261.2,1261.2,1261.2,7430,33043,38280,0
40,2020-05-20 11:31:00,1258.85,1258.85,1258.85,1258.85,7516,33189,38710,0
41,2020-05-20 11:37:00,1262.55,1262.55,1262.55,1262.55,10653,36158,40352,0
42,2020-05-20 11:40:00,1258.45,1258.45,1258.45,1258.45,10614,35422,40899,0
43,2020-05-20 11:41:00,1258.45,1258.45,1258.45,1258.45,7477,35435,40960,0
44,2020-05-20 11:42:00,1258.85,1258.85,1258.85,1258.85,7548,35473,41127,0
45,2020-05-20 11:43:00,1258.85,1258.85,1258.85,1258.85,10685,35115,41247,0
46,2020-05-20 11:53:00,1262.55,1262.55,1262.55,1262.55,7794,72737,80952,0
47,2020-05-20 11:54:00,1260.55,1260.55,1260.55,1260.55,7833,36350,40534,0
48,2020-05-20 11:57:00,1263.0,1263.0,1263.0,1263.0,11196,35893,40558,0
