,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,54.1,54.1,54.1,54.1,0,22566,18274,0
1,2020-05-20 09:18:00,54.6,54.6,54.6,54.6,0,46474,35809,0
2,2020-05-20 09:29:00,54.6,54.6,54.6,54.6,12571,66738,54908,0
3,2020-05-20 09:33:00,54.25,54.25,54.25,54.25,16227,64732,70216,0
4,2020-05-20 09:34:00,53.95,53.95,53.95,53.95,6606,63805,71692,0
5,2020-05-20 09:36:00,54.1,54.1,54.1,54.1,3039,67381,63845,0
6,2020-05-20 09:44:00,54.5,54.5,54.5,54.5,18667,71614,72808,0
7,2020-05-20 09:53:00,54.95,54.95,54.95,54.95,27579,75662,65856,0
8,2020-05-20 09:54:00,55.0,55.0,55.0,55.0,12132,77035,66555,0
9,2020-05-20 09:55:00,55.0,55.0,55.0,55.0,4384,78733,69392,0
10,2020-05-20 10:00:00,55.1,55.1,55.1,55.1,20920,80708,72737,0
11,2020-05-20 10:10:00,54.95,54.95,54.95,54.95,31901,78655,80025,0
12,2020-05-20 10:39:00,54.55,54.55,54.55,54.55,25674,81787,81897,0
13,2020-05-20 10:52:00,54.1,54.1,54.1,54.1,20878,77038,86339,0
14,2020-05-20 10:59:00,54.15,54.15,54.15,54.15,34287,75342,88436,0
15,2020-05-20 11:01:00,54.4,54.4,54.4,54.4,39283,78572,87884,0
16,2020-05-20 11:02:00,54.3,54.3,54.3,54.3,25884,78747,88294,0
17,2020-05-20 11:17:00,54.35,54.35,54.35,54.35,22366,75899,86983,0
18,2020-05-20 12:54:00,54.65,54.65,54.65,54.65,46515,89569,328014,0
19,2020-05-20 13:03:00,54.8,54.8,54.8,54.8,51679,92247,326616,0
20,2020-05-20 13:05:00,55.0,55.0,55.0,55.0,28391,92238,325987,0
21,2020-05-20 13:16:00,54.7,54.7,54.7,54.7,48396,180636,658501,0
22,2020-05-20 13:20:00,54.65,54.65,54.65,54.65,48853,90650,329385,0
23,2020-05-20 13:22:00,54.7,54.7,54.7,54.7,28949,91248,328476,0
24,2020-05-20 13:30:00,54.6,54.6,54.6,54.6,28704,91538,330266,0
25,2020-05-20 13:35:00,54.7,54.7,54.7,54.7,49027,92801,330486,0
26,2020-05-20 14:09:00,54.45,54.45,54.45,54.45,56832,94475,333026,0
27,2020-05-20 14:18:00,54.4,54.4,54.4,54.4,38919,92863,331809,0
28,2020-05-20 14:19:00,54.4,54.4,54.4,54.4,31114,92788,331496,0
29,2020-05-20 14:29:00,54.7,54.7,54.7,54.7,54558,97024,327345,0
30,2020-05-20 14:31:00,54.85,54.85,54.85,54.85,62941,97913,326813,0
31,2020-05-20 14:35:00,54.95,54.95,54.95,54.95,43112,103699,82909,0
32,2020-05-20 14:48:00,55.75,55.75,55.75,55.75,56315,120762,74759,0
33,2020-05-20 14:49:00,55.15,55.15,55.15,55.15,88550,120303,74776,0
34,2020-05-20 14:50:00,55.65,55.65,55.65,55.65,86287,125067,89169,0
35,2020-05-20 14:52:00,55.6,55.6,55.6,55.6,69203,122159,83322,0
36,2020-05-20 14:55:00,56.3,56.3,56.3,56.3,81557,113542,70212,0
37,2020-05-20 14:56:00,56.5,56.5,56.5,56.5,106225,115643,68244,0
38,2020-05-20 14:57:00,57.4,57.4,57.4,57.4,102312,120304,62248,0
39,2020-05-20 14:59:00,58.0,58.0,58.0,58.0,106250,123499,69031,0
40,2020-05-20 15:00:00,57.95,57.95,57.95,57.95,113976,115849,80710,0
41,2020-05-20 15:01:00,57.65,57.65,57.65,57.65,123298,123269,94461,0
42,2020-05-20 15:05:00,57.65,57.65,57.65,57.65,139020,109910,98077,0
43,2020-05-20 15:06:00,58.15,58.15,58.15,58.15,143598,113594,84553,0
44,2020-05-20 15:07:00,57.55,57.55,57.55,57.55,136870,111587,89997,0
45,2020-05-20 15:10:00,57.3,57.3,57.3,57.3,138268,111726,139720,0
46,2020-05-20 15:13:00,57.5,57.5,57.5,57.5,148884,111718,143067,0
47,2020-05-20 15:14:00,57.35,57.35,57.35,57.35,148318,111600,142370,0
48,2020-05-20 15:16:00,57.95,57.95,57.95,57.95,145885,121448,139041,0
49,2020-05-20 15:18:00,60.5,60.5,60.5,60.5,196332,138825,122466,0
50,2020-05-20 15:19:00,59.7,60.05,59.7,60.05,169712,279938,246592,0
51,2020-05-20 15:21:00,58.75,59.15,58.75,59.15,350346,306310,187472,0
52,2020-05-20 15:22:00,58.9,58.9,58.9,58.9,358567,139832,97669,0
53,2020-05-20 15:23:00,59.1,59.1,59.1,59.1,200953,139668,108199,0
54,2020-05-20 15:24:00,59.95,59.95,59.95,59.95,223282,147193,95446,0
55,2020-05-20 15:25:00,59.7,59.7,59.7,59.7,403034,149539,97950,0
56,2020-05-20 15:27:00,59.8,59.8,59.8,59.8,410069,147468,104262,0
57,2020-05-20 15:28:00,59.8,59.8,59.8,59.8,244941,151448,101398,0
58,2020-05-20 15:29:00,59.9,59.9,59.9,59.9,247681,155741,102049,0
