,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,121.7,121.7,121.7,121.7,0,25914,32392,0
1,2020-05-20 09:07:00,121.7,121.7,121.7,121.7,0,25952,35124,0
2,2020-05-20 09:20:00,122.0,122.0,122.0,122.0,5861,57963,74174,0
3,2020-05-20 09:21:00,122.15,122.15,122.15,122.15,5906,61962,77101,0
4,2020-05-20 09:25:00,122.55,122.55,122.55,122.55,1267,64714,80266,0
5,2020-05-20 09:26:00,122.25,122.25,122.25,122.25,2080,66054,83727,0
6,2020-05-20 09:28:00,122.4,122.4,122.4,122.4,7096,66486,85389,0
7,2020-05-20 09:34:00,122.1,122.1,122.1,122.1,6835,67339,89670,0
8,2020-05-20 09:35:00,121.75,121.75,121.75,121.75,2419,66036,92440,0
9,2020-05-20 09:41:00,121.7,121.7,121.7,121.7,5295,82391,97631,0
10,2020-05-20 09:43:00,121.8,121.8,121.8,121.8,9794,82447,98012,0
11,2020-05-20 09:44:00,121.8,121.8,121.8,121.8,6944,82571,98385,0
12,2020-05-20 09:47:00,122.0,122.0,122.0,122.0,7506,85149,96695,0
13,2020-05-20 09:50:00,121.85,121.85,121.85,121.85,13855,76204,97128,0
14,2020-05-20 09:52:00,122.1,122.1,122.1,122.1,13796,76804,98915,0
15,2020-05-20 09:53:00,122.25,122.25,122.25,122.25,7831,77669,97809,0
16,2020-05-20 09:55:00,122.5,122.5,122.5,122.5,9294,78349,97899,0
17,2020-05-20 09:59:00,122.2,122.2,122.2,122.2,16009,78224,100471,0
18,2020-05-20 10:01:00,121.95,121.95,121.95,121.95,15890,76042,106670,0
19,2020-05-20 10:05:00,121.9,121.9,121.9,121.9,12041,77582,107995,0
20,2020-05-20 10:10:00,122.0,122.0,122.0,122.0,13763,78026,110841,0
21,2020-05-20 10:16:00,121.75,121.75,121.75,121.75,18901,75208,118359,0
22,2020-05-20 10:17:00,121.85,121.85,121.85,121.85,17687,76712,119981,0
23,2020-05-20 10:18:00,121.7,121.7,121.7,121.7,12599,76550,120362,0
24,2020-05-20 10:20:00,121.45,121.45,121.45,121.45,15604,76287,121756,0
25,2020-05-20 10:24:00,121.5,121.65,121.5,121.65,18893,156483,242712,0
26,2020-05-20 10:25:00,121.65,121.65,121.65,121.65,18893,77554,121724,0
27,2020-05-20 10:26:00,120.5,120.5,120.5,120.5,20855,72299,126364,0
28,2020-05-20 10:27:00,120.95,120.95,120.95,120.95,23111,75094,124758,0
29,2020-05-20 10:30:00,121.0,121.0,121.0,121.0,22444,80171,124797,0
30,2020-05-20 10:35:00,121.3,121.3,121.3,121.3,21833,243475,373700,0
31,2020-05-20 10:47:00,121.5,121.5,121.5,121.5,28442,85026,124101,0
32,2020-05-20 10:48:00,121.75,121.75,121.75,121.75,29276,85051,124259,0
33,2020-05-20 10:50:00,121.5,121.5,121.5,121.5,22680,85150,125030,0
34,2020-05-20 10:55:00,121.55,121.55,121.55,121.55,22548,86305,123321,0
35,2020-05-20 10:59:00,121.7,121.7,121.7,121.7,29183,86946,123614,0
36,2020-05-20 11:02:00,121.35,121.35,121.35,121.35,29753,86359,126598,0
37,2020-05-20 11:11:00,121.25,121.25,121.25,121.25,25193,85684,128892,0
38,2020-05-20 11:17:00,121.45,121.45,121.45,121.45,26897,85593,128524,0
39,2020-05-20 11:19:00,121.85,121.85,121.85,121.85,31671,90342,130238,0
40,2020-05-20 11:33:00,121.65,121.65,121.65,121.65,32252,96080,134760,0
41,2020-05-20 11:39:00,121.4,121.4,121.4,121.4,28643,95146,134429,0
42,2020-05-20 11:41:00,121.5,121.5,121.5,121.5,28266,95096,136742,0
43,2020-05-20 11:45:00,121.45,121.45,121.45,121.45,32189,95283,136550,0
44,2020-05-20 12:07:00,121.35,121.35,121.35,121.35,36017,97964,140988,0
45,2020-05-20 12:09:00,121.35,121.35,121.35,121.35,32094,97263,140958,0
46,2020-05-20 12:16:00,121.45,121.45,121.45,121.45,28401,97875,141277,0
47,2020-05-20 12:41:00,121.45,121.45,121.45,121.45,35514,96037,139124,0
48,2020-05-20 12:49:00,121.5,121.5,121.5,121.5,39696,95691,139209,0
49,2020-05-20 12:54:00,121.3,121.3,121.3,121.3,33187,95712,139907,0
50,2020-05-20 13:04:00,121.35,121.35,121.35,121.35,29741,96784,140859,0
51,2020-05-20 13:06:00,121.45,121.45,121.45,121.45,36383,96708,140629,0
52,2020-05-20 13:22:00,121.65,121.65,121.65,121.65,40713,98445,140644,0
53,2020-05-20 13:25:00,121.4,121.4,121.4,121.4,34348,97531,140033,0
54,2020-05-20 13:36:00,121.45,121.45,121.45,121.45,30576,97832,140017,0
55,2020-05-20 13:47:00,121.3,121.3,121.3,121.3,37287,98324,139947,0
56,2020-05-20 14:02:00,121.2,121.2,121.2,121.2,41961,98391,140873,0
57,2020-05-20 14:10:00,121.55,121.55,121.55,121.55,35799,98586,140406,0
58,2020-05-20 14:18:00,121.35,121.35,121.35,121.35,39364,96750,141060,0
59,2020-05-20 14:21:00,120.8,120.8,120.8,120.8,49744,91929,143974,0
60,2020-05-20 14:22:00,120.8,120.8,120.8,120.8,46229,92432,144173,0
61,2020-05-20 14:29:00,121.65,121.65,121.65,121.65,44114,98102,140205,0
62,2020-05-20 14:34:00,122.0,122.35,122.0,122.35,55338,303653,401476,0
63,2020-05-20 14:35:00,122.0,122.0,121.85,121.85,45097,402996,534458,0
64,2020-05-20 14:36:00,121.9,121.9,121.9,121.9,45098,100485,133901,0
65,2020-05-20 14:39:00,121.7,121.7,121.7,121.7,59060,101621,137105,0
66,2020-05-20 14:41:00,121.6,121.6,121.6,121.6,59417,101364,135834,0
67,2020-05-20 14:42:00,121.5,121.5,121.5,121.5,46106,100133,136092,0
68,2020-05-20 14:43:00,121.5,121.5,121.5,121.5,45759,100173,136092,0
69,2020-05-20 14:44:00,121.6,121.6,121.6,121.6,59775,101110,135191,0
70,2020-05-20 14:54:00,121.6,121.6,121.6,121.6,66453,98403,134589,0
71,2020-05-20 15:01:00,121.3,121.3,121.3,121.3,55860,93777,134347,0
72,2020-05-20 15:03:00,121.2,121.2,121.2,121.2,50154,94604,128213,0
73,2020-05-20 15:04:00,121.15,121.15,121.15,121.15,62660,93593,127359,0
74,2020-05-20 15:05:00,121.15,121.15,121.15,121.15,68896,93817,126309,0
75,2020-05-20 15:06:00,121.15,121.15,121.0,121.0,53024,185092,247944,0
76,2020-05-20 15:07:00,121.05,121.05,121.05,121.05,53083,91532,123868,0
77,2020-05-20 15:08:00,120.95,120.95,120.95,120.95,69642,91027,122525,0
78,2020-05-20 15:12:00,121.1,121.1,121.1,121.1,76443,90122,119276,0
79,2020-05-20 15:13:00,121.4,121.4,121.4,121.4,61299,93926,118900,0
80,2020-05-20 15:17:00,122.0,122.0,122.0,122.0,63349,95454,111221,0
81,2020-05-20 15:18:00,121.8,121.8,121.8,121.8,79698,93731,111012,0
82,2020-05-20 15:19:00,121.6,121.6,121.6,121.6,78102,92268,109534,0
83,2020-05-20 15:22:00,121.55,121.55,121.55,121.55,65592,84564,102878,0
84,2020-05-20 15:23:00,121.7,121.7,121.7,121.7,69063,76339,97582,0
