,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,56828.2,56828.2,56828.2,56828.2,0,272,537,0
1,2020-05-20 09:08:00,57200.0,57200.0,57200.0,57200.0,0,113,292,0
2,2020-05-20 09:11:00,57200.0,57200.0,57200.0,57200.0,38,113,292,0
3,2020-05-20 09:14:00,57200.0,57200.0,57200.0,57200.0,38,113,292,0
4,2020-05-20 09:15:00,57200.0,57200.0,56903.5,56903.5,117,815,1168,0
5,2020-05-20 09:18:00,57300.0,57350.0,57300.0,57350.0,293,1869,1864,0
6,2020-05-20 09:19:00,57365.1,57365.1,57365.1,57365.1,298,968,961,0
7,2020-05-20 09:20:00,57235.0,57235.0,57235.0,57235.0,269,1064,1060,0
8,2020-05-20 09:21:00,57244.9,57244.9,57244.9,57244.9,271,1079,1065,0
9,2020-05-20 09:22:00,57250.0,57250.0,57250.0,57250.0,327,1130,1112,0
10,2020-05-20 09:23:00,57135.0,57135.0,57097.0,57097.0,344,3388,3513,0
11,2020-05-20 09:25:00,56979.15,56979.15,56979.15,56979.15,414,1188,1222,0
12,2020-05-20 09:26:00,56965.95,57050.05,56965.95,57050.05,453,2440,2467,0
13,2020-05-20 09:27:00,56995.0,56995.0,56995.0,56995.0,469,1238,1240,0
14,2020-05-20 09:28:00,57040.0,57110.0,57040.0,57110.0,446,2561,2514,0
15,2020-05-20 09:29:00,57135.0,57135.0,57094.95,57094.95,482,3854,3816,0
16,2020-05-20 09:30:00,57055.0,57055.0,57055.0,57055.0,490,1277,1271,0
17,2020-05-20 09:31:00,57035.5,57035.5,57035.5,57035.5,456,1288,1274,0
18,2020-05-20 09:32:00,57060.0,57060.0,57060.0,57060.0,463,1359,1292,0
19,2020-05-20 09:33:00,57170.0,57170.0,57170.0,57170.0,531,1585,1600,0
20,2020-05-20 09:34:00,57170.0,57170.0,57170.0,57170.0,524,1585,1600,0
21,2020-05-20 09:36:00,57100.0,57100.0,57100.0,57100.0,492,1562,1641,0
22,2020-05-20 09:38:00,57140.0,57140.0,57140.0,57140.0,520,1588,1631,0
23,2020-05-20 09:39:00,57180.0,57180.0,57180.0,57180.0,562,1603,1641,0
24,2020-05-20 09:41:00,57100.0,57100.0,57100.0,57100.0,527,3135,3304,0
25,2020-05-20 09:42:00,57099.95,57099.95,57099.95,57099.95,538,1638,1654,0
26,2020-05-20 09:43:00,57030.0,57030.0,57030.0,57030.0,592,1642,1675,0
27,2020-05-20 09:44:00,57070.0,57070.0,57070.0,57070.0,595,1663,1660,0
28,2020-05-20 09:45:00,57080.0,57080.0,57080.0,57080.0,549,1668,1658,0
29,2020-05-20 09:46:00,57076.0,57076.0,57076.0,57076.0,551,1667,1663,0
30,2020-05-20 09:47:00,57035.0,57035.0,57035.0,57035.0,603,1666,1673,0
31,2020-05-20 09:49:00,57054.7,57054.7,57054.7,57054.7,628,1679,1666,0
32,2020-05-20 09:50:00,57070.0,57110.0,57070.0,57110.0,570,3365,3317,0
33,2020-05-20 09:51:00,57110.0,57110.0,57110.0,57110.0,571,1692,1661,0
34,2020-05-20 09:52:00,57090.0,57115.6,57090.0,57115.6,643,3405,3353,0
35,2020-05-20 09:53:00,57160.0,57178.0,57160.0,57178.0,585,3438,3371,0
36,2020-05-20 09:54:00,57178.0,57178.0,57170.0,57170.0,655,5419,5322,0
37,2020-05-20 09:55:00,57170.0,57170.0,57170.0,57170.0,655,1947,1819,0
38,2020-05-20 09:57:00,57075.15,57075.15,57075.15,57075.15,606,1934,1843,0
39,2020-05-20 09:58:00,57075.15,57075.15,57075.15,57075.15,606,1936,1851,0
40,2020-05-20 09:59:00,57100.0,57115.0,57100.0,57115.0,670,7765,7394,0
41,2020-05-20 10:01:00,57145.0,57145.0,57145.0,57145.0,718,1978,1835,0
42,2020-05-20 10:02:00,57150.0,57150.0,57150.0,57150.0,610,5898,5577,0
43,2020-05-20 10:03:00,57150.0,57150.0,57150.0,57150.0,736,7848,7430,0
44,2020-05-20 10:04:00,57150.0,57150.0,57150.0,57150.0,737,1957,1853,0
45,2020-05-20 10:05:00,57118.6,57118.6,57118.6,57118.6,619,1947,1875,0
46,2020-05-20 10:07:00,56955.05,56990.0,56955.05,56990.0,823,3823,3843,0
47,2020-05-20 10:08:00,56990.0,56990.0,56990.0,56990.0,825,1925,1921,0
48,2020-05-20 10:09:00,56989.95,56989.95,56989.95,56989.95,627,1920,1926,0
49,2020-05-20 10:13:00,56977.45,56977.45,56977.45,56977.45,684,1904,1919,0
50,2020-05-20 10:14:00,56977.5,56977.5,56977.5,56977.5,885,1900,1916,0
51,2020-05-20 10:15:00,56989.9,56989.9,56989.9,56989.9,872,1900,1929,0
52,2020-05-20 10:16:00,56990.05,56990.05,56990.05,56990.05,675,1899,1935,0
53,2020-05-20 10:17:00,56981.55,56981.55,56981.55,56981.55,695,1897,1939,0
54,2020-05-20 10:19:00,56883.75,56883.75,56883.75,56883.75,939,1855,1965,0
55,2020-05-20 10:20:00,56885.0,56885.0,56885.0,56885.0,933,1892,1972,0
56,2020-05-20 10:21:00,56789.9,56822.0,56789.9,56822.0,788,3751,3934,0
57,2020-05-20 10:22:00,56822.0,56825.1,56822.0,56825.1,939,5656,5874,0
58,2020-05-20 10:24:00,56920.0,56955.1,56920.0,56955.1,827,5813,5831,0
59,2020-05-20 10:25:00,56955.1,56955.1,56955.1,56955.1,827,1951,1947,0
60,2020-05-20 10:27:00,56967.55,56967.55,56967.55,56967.55,964,1939,1962,0
61,2020-05-20 10:29:00,56945.0,56945.0,56945.0,56945.0,1009,2230,2208,0
62,2020-05-20 10:30:00,56945.0,56945.0,56789.9,56789.9,859,4413,4449,0
63,2020-05-20 10:31:00,56751.0,56814.85,56751.0,56814.85,1031,4360,4477,0
64,2020-05-20 10:32:00,56809.0,56809.0,56809.0,56809.0,1044,2206,2227,0
65,2020-05-20 10:33:00,56839.95,56920.0,56839.95,56920.0,886,8889,8891,0
66,2020-05-20 10:34:00,56912.55,56912.55,56912.55,56912.55,889,2238,2215,0
67,2020-05-20 10:35:00,56915.4,56915.4,56915.4,56915.4,1063,2231,2219,0
