,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,27.6,27.6,27.6,27.6,0,97160,60300,0
1,2020-05-20 09:08:00,27.5,27.5,27.5,27.5,0,48690,29935,0
2,2020-05-20 09:11:00,27.5,27.5,27.5,27.5,265,48690,29935,0
3,2020-05-20 09:14:00,27.5,27.5,27.5,27.5,265,48690,29935,0
4,2020-05-20 09:16:00,27.45,27.45,27.45,27.45,363,62111,41525,0
5,2020-05-20 09:22:00,27.9,27.9,27.9,27.9,7768,122623,76942,0
6,2020-05-20 09:23:00,27.75,27.85,27.75,27.85,923,276406,158023,0
7,2020-05-20 09:24:00,27.9,27.9,27.75,27.75,8707,272154,180029,0
8,2020-05-20 09:28:00,27.65,27.65,27.65,27.65,12260,131939,94338,0
9,2020-05-20 09:29:00,27.65,27.65,27.65,27.65,5501,132151,93778,0
10,2020-05-20 09:34:00,27.7,27.7,27.7,27.7,3121,137976,93348,0
11,2020-05-20 09:36:00,27.75,27.75,27.75,27.75,10230,141049,100575,0
12,2020-05-20 09:39:00,27.75,27.75,27.75,27.75,15404,133298,99123,0
13,2020-05-20 09:53:00,28.15,28.15,28.15,28.15,21772,164979,96570,0
14,2020-05-20 09:54:00,28.2,28.2,28.1,28.1,12880,347053,195277,0
15,2020-05-20 09:57:00,28.0,28.0,28.0,28.0,15152,147368,106188,0
16,2020-05-20 10:01:00,28.05,28.05,28.05,28.05,25343,151539,104163,0
17,2020-05-20 10:12:00,28.05,28.05,28.05,28.05,31016,166865,111527,0
18,2020-05-20 10:14:00,27.95,27.95,27.95,27.95,22775,165444,111502,0
19,2020-05-20 10:19:00,28.0,28.0,28.0,28.0,17794,196320,113530,0
20,2020-05-20 10:20:00,27.85,27.85,27.85,27.85,28497,158809,141606,0
21,2020-05-20 10:21:00,27.9,27.9,27.9,27.9,33674,157528,121155,0
22,2020-05-20 10:26:00,27.75,27.75,27.75,27.75,25084,157335,124935,0
23,2020-05-20 10:35:00,27.75,27.75,27.75,27.75,28608,156247,144128,0
24,2020-05-20 10:38:00,27.85,27.85,27.85,27.85,39984,169858,120727,0
25,2020-05-20 10:41:00,27.85,27.85,27.85,27.85,44227,171517,153546,0
26,2020-05-20 10:47:00,27.8,27.8,27.8,27.8,35513,174124,116409,0
27,2020-05-20 10:48:00,27.8,27.8,27.8,27.8,33459,171798,144600,0
28,2020-05-20 10:49:00,28.0,28.0,28.0,28.0,48626,402879,227319,0
29,2020-05-20 10:52:00,27.85,27.85,27.85,27.85,70246,173438,119705,0
30,2020-05-20 10:53:00,27.8,27.8,27.8,27.8,46514,520510,370781,0
31,2020-05-20 10:56:00,27.75,27.75,27.75,27.75,61752,174356,127495,0
32,2020-05-20 10:57:00,27.85,27.85,27.85,27.85,87385,168968,126431,0
33,2020-05-20 10:58:00,27.85,27.85,27.85,27.85,72422,171878,126339,0
34,2020-05-20 11:00:00,27.8,27.8,27.8,27.8,53013,171868,146118,0
35,2020-05-20 11:06:00,27.9,27.9,27.9,27.9,76566,171196,129639,0
36,2020-05-20 11:11:00,27.6,27.6,27.6,27.6,119321,142911,144060,0
37,2020-05-20 11:12:00,27.5,27.5,27.5,27.5,95968,143241,145420,0
38,2020-05-20 11:17:00,27.5,27.5,27.5,27.5,73666,145690,156808,0
39,2020-05-20 11:18:00,27.5,27.5,27.5,27.5,97020,146480,156808,0
40,2020-05-20 11:25:00,27.45,27.45,27.45,27.45,127969,154857,185199,0
41,2020-05-20 11:27:00,27.45,27.45,27.45,27.45,111786,165612,161576,0
42,2020-05-20 11:31:00,27.45,27.45,27.45,27.45,81976,160576,161708,0
43,2020-05-20 11:43:00,27.5,27.5,27.5,27.5,100255,165506,160119,0
44,2020-05-20 11:48:00,27.45,27.45,27.45,27.45,130365,167006,161063,0
45,2020-05-20 11:58:00,27.45,27.45,27.45,27.45,114340,164914,164652,0
46,2020-05-20 11:59:00,27.5,27.5,27.5,27.5,85389,164577,164822,0
47,2020-05-20 12:02:00,27.5,27.5,27.5,27.5,102654,168649,163633,0
48,2020-05-20 12:05:00,27.5,27.5,27.5,27.5,133247,169597,149202,0
49,2020-05-20 12:10:00,27.45,27.45,27.45,27.45,119353,166046,166300,0
50,2020-05-20 13:01:00,27.5,27.5,27.5,27.5,115829,178554,161740,0
51,2020-05-20 13:25:00,27.5,27.5,27.5,27.5,139368,190691,164091,0
52,2020-05-20 13:41:00,27.4,27.4,27.4,27.4,152669,171484,170632,0
53,2020-05-20 13:43:00,27.5,27.5,27.5,27.5,133123,193808,169475,0
54,2020-05-20 13:44:00,27.45,27.45,27.45,27.45,120422,171697,169475,0
55,2020-05-20 13:50:00,27.45,27.45,27.45,27.45,146295,170248,179845,0
