,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,27.95,27.95,27.95,27.95,0,170558,319027,0
1,2020-05-20 09:07:00,27.95,27.95,27.95,27.95,0,175712,324371,0
2,2020-05-20 09:08:00,27.95,27.95,27.95,27.95,7797,168070,321584,0
3,2020-05-20 09:11:00,27.95,27.95,27.95,27.95,7797,168070,321584,0
4,2020-05-20 09:14:00,27.95,27.95,27.95,27.95,0,168070,321584,0
5,2020-05-20 09:15:00,27.95,27.95,27.95,27.95,0,168070,321584,0
6,2020-05-20 09:16:00,27.9,27.9,27.9,27.9,51253,805368,855085,0
7,2020-05-20 09:17:00,27.95,27.95,27.95,27.95,112028,975699,1031473,0
8,2020-05-20 09:18:00,27.95,27.95,27.95,27.95,73245,979883,1099431,0
9,2020-05-20 09:20:00,28.0,28.0,28.0,28.0,56197,1094729,1115311,0
10,2020-05-20 09:21:00,28.0,28.0,28.0,28.0,165104,1103017,1153233,0
11,2020-05-20 09:22:00,27.95,28.0,27.95,28.0,101182,2192937,2331344,0
12,2020-05-20 09:23:00,27.95,27.95,27.95,27.95,105968,1119342,1170448,0
13,2020-05-20 09:24:00,27.85,27.85,27.8,27.8,249401,2179022,2487464,0
14,2020-05-20 09:26:00,27.85,27.85,27.85,27.85,290120,1178371,1354008,0
15,2020-05-20 09:27:00,27.75,27.75,27.75,27.75,159808,1220006,1356640,0
16,2020-05-20 09:28:00,27.85,27.85,27.85,27.85,143541,1291547,1338639,0
17,2020-05-20 09:29:00,27.9,27.9,27.9,27.9,276060,1395504,1476052,0
18,2020-05-20 09:30:00,27.75,27.75,27.75,27.75,356389,1361817,1463683,0
19,2020-05-20 09:32:00,27.8,27.8,27.8,27.8,233176,1512960,1486353,0
20,2020-05-20 09:35:00,27.85,27.85,27.85,27.85,187435,1606906,1541585,0
21,2020-05-20 09:37:00,27.9,27.9,27.9,27.9,323142,1748359,1685168,0
22,2020-05-20 09:38:00,27.95,27.95,27.85,27.85,267731,3491467,3328148,0
23,2020-05-20 09:42:00,27.9,27.9,27.9,27.9,294677,1876269,1736239,0
24,2020-05-20 09:43:00,27.95,27.95,27.95,27.95,350810,1919165,1735677,0
25,2020-05-20 09:44:00,28.15,28.15,28.15,28.15,425456,2016953,1661586,0
26,2020-05-20 09:45:00,28.1,28.1,28.1,28.1,369773,2021145,1664793,0
27,2020-05-20 09:46:00,28.1,28.1,28.1,28.1,314341,2011490,1736739,0
28,2020-05-20 09:49:00,28.15,28.15,28.15,28.15,389642,2034193,1718316,0
29,2020-05-20 09:51:00,28.1,28.1,28.1,28.1,468557,2045544,1726028,0
30,2020-05-20 09:54:00,28.15,28.15,28.15,28.15,422430,2025974,1773038,0
31,2020-05-20 09:55:00,28.2,28.2,28.2,28.2,358551,2062595,1779019,0
32,2020-05-20 10:00:00,28.2,28.2,28.2,28.2,447568,2132093,1795106,0
33,2020-05-20 10:02:00,28.25,28.25,28.25,28.25,561576,2231839,1787209,0
34,2020-05-20 10:05:00,28.25,28.25,28.25,28.25,487663,2239870,1835416,0
35,2020-05-20 10:06:00,28.2,28.2,28.2,28.2,383388,2247516,1834108,0
36,2020-05-20 10:10:00,28.1,28.1,28.1,28.1,530995,2256502,1973814,0
37,2020-05-20 10:12:00,28.05,28.05,28.05,28.05,665331,2142339,2017357,0
38,2020-05-20 10:13:00,28.05,28.05,28.05,28.05,519922,2143767,2032881,0
39,2020-05-20 10:16:00,28.1,28.1,28.1,28.1,399883,2197209,2023169,0
40,2020-05-20 10:17:00,28.0,28.0,28.0,28.0,589341,2133161,2065939,0
41,2020-05-20 10:18:00,27.95,27.95,27.95,27.95,733624,2116255,2056453,0
42,2020-05-20 10:20:00,27.95,27.95,27.95,27.95,556447,2091794,2095581,0
43,2020-05-20 10:21:00,27.95,27.95,27.95,27.95,434829,2077961,2112026,0
44,2020-05-20 10:22:00,27.9,27.9,27.9,27.9,618121,2069545,2111615,0
45,2020-05-20 10:24:00,27.95,27.95,27.95,27.95,769383,2140149,2084662,0
46,2020-05-20 10:28:00,27.95,27.95,27.95,27.95,600312,2176474,2120317,0
47,2020-05-20 10:29:00,27.9,27.9,27.9,27.9,635817,4312981,4250246,0
48,2020-05-20 10:30:00,27.85,27.85,27.85,27.85,636886,2156811,2133452,0
49,2020-05-20 10:35:00,28.0,28.0,28.0,28.0,639487,2192068,2084441,0
50,2020-05-20 10:36:00,28.05,28.05,28.05,28.05,666124,2225813,2056251,0
51,2020-05-20 10:38:00,28.0,28.0,28.0,28.0,676179,2240170,2058004,0
52,2020-05-20 10:39:00,28.0,28.0,28.0,28.0,665839,2208608,2113366,0
53,2020-05-20 10:40:00,27.95,27.95,27.95,27.95,674798,2167582,2130071,0
54,2020-05-20 10:41:00,27.95,27.95,27.95,27.95,685813,2175049,2133042,0
55,2020-05-20 10:42:00,27.95,27.95,27.95,27.95,676854,2175049,2133042,0
56,2020-05-20 10:43:00,27.9,27.9,27.9,27.9,689976,2134992,2171891,0
57,2020-05-20 10:46:00,27.9,27.9,27.9,27.9,701597,2141407,2166438,0
58,2020-05-20 10:48:00,27.95,27.95,27.95,27.95,680098,4356978,4380274,0
59,2020-05-20 10:55:00,27.9,27.9,27.9,27.9,706876,2179067,2169562,0
60,2020-05-20 10:57:00,27.95,27.95,27.95,27.95,734449,2194899,2171035,0
61,2020-05-20 10:58:00,27.9,27.9,27.9,27.9,719323,2149364,2225407,0
62,2020-05-20 11:02:00,27.9,27.9,27.9,27.9,705173,2145546,2225561,0
63,2020-05-20 11:09:00,27.9,27.9,27.9,27.9,742035,2163305,2242983,0
