,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,71.4,71.4,71.4,71.4,0,169283,98888,0
1,2020-05-20 09:08:00,71.5,71.5,71.5,71.5,0,170493,103003,0
2,2020-05-20 09:11:00,71.5,71.5,71.5,71.5,546,170493,103003,0
3,2020-05-20 09:14:00,71.5,71.5,71.5,71.5,546,170493,103003,0
4,2020-05-20 09:15:00,71.5,71.5,71.2,71.2,29414,582315,484043,0
5,2020-05-20 09:16:00,71.7,71.7,71.7,71.7,59562,491405,424323,0
6,2020-05-20 09:18:00,71.95,71.95,71.95,71.95,83615,615226,519308,0
7,2020-05-20 09:19:00,72.0,72.0,72.0,72.0,74073,634339,564752,0
8,2020-05-20 09:20:00,72.0,72.0,72.0,72.0,58211,642664,578178,0
9,2020-05-20 09:21:00,72.0,72.0,72.0,72.0,90534,673604,580075,0
10,2020-05-20 09:25:00,71.85,71.85,71.85,71.85,153457,746589,660800,0
11,2020-05-20 09:30:00,71.65,71.65,71.65,71.65,152106,856157,762249,0
12,2020-05-20 09:31:00,71.6,71.6,71.6,71.6,89978,858729,761089,0
13,2020-05-20 09:33:00,71.9,71.9,71.9,71.9,116356,894406,746219,0
14,2020-05-20 09:37:00,71.75,71.75,71.75,71.75,235971,1060993,888575,0
15,2020-05-20 09:39:00,71.7,71.7,71.65,71.65,110620,2168551,1959579,0
16,2020-05-20 09:42:00,71.85,71.85,71.85,71.85,152548,1150639,970022,0
17,2020-05-20 09:46:00,71.85,71.85,71.85,71.85,292381,1154468,988024,0
18,2020-05-20 09:47:00,71.85,71.85,71.85,71.85,257246,1151259,981437,0
19,2020-05-20 09:49:00,71.95,71.95,71.95,71.95,129684,1177045,974945,0
20,2020-05-20 09:50:00,71.8,71.8,71.8,71.8,212700,1149911,986412,0
21,2020-05-20 09:51:00,71.9,71.9,71.9,71.9,341384,1177905,986879,0
22,2020-05-20 09:54:00,71.85,71.85,71.85,71.85,285293,1162342,999503,0
23,2020-05-20 10:01:00,71.5,71.5,71.5,71.5,207119,1120859,1063159,0
24,2020-05-20 10:02:00,71.15,71.15,71.15,71.15,288375,1109832,1133959,0
25,2020-05-20 10:04:00,71.5,71.5,71.5,71.5,380578,1185882,1075505,0
26,2020-05-20 10:05:00,71.5,71.5,71.5,71.5,303200,1183622,1083064,0
27,2020-05-20 10:13:00,71.3,71.3,71.3,71.3,250450,1188717,1102948,0
28,2020-05-20 10:17:00,71.5,71.5,71.5,71.5,356271,1218247,1088074,0
29,2020-05-20 10:22:00,71.05,71.05,71.05,71.05,439237,1176103,1147945,0
30,2020-05-20 10:23:00,71.15,71.2,71.15,71.2,255514,2367285,2271213,0
31,2020-05-20 10:24:00,71.35,71.35,71.35,71.35,257441,1207611,1124653,0
32,2020-05-20 10:27:00,71.35,71.35,71.35,71.35,451734,1220589,1116828,0
33,2020-05-20 10:28:00,71.4,71.4,71.35,71.35,256516,3663053,3357555,0
34,2020-05-20 10:30:00,71.35,71.35,71.35,71.35,259033,1231427,1106792,0
35,2020-05-20 10:31:00,71.25,71.25,71.25,71.25,459158,1212611,1120786,0
36,2020-05-20 10:33:00,71.3,71.3,71.3,71.3,459373,1215137,1130633,0
37,2020-05-20 10:35:00,71.4,71.4,71.4,71.4,264320,1222935,1109173,0
38,2020-05-20 10:37:00,71.5,71.5,71.25,71.25,474027,2452450,2222535,0
39,2020-05-20 10:38:00,71.45,71.5,71.45,71.5,275039,2464786,2211298,0
40,2020-05-20 10:39:00,71.45,71.5,71.45,71.5,476999,3689774,3316866,0
41,2020-05-20 10:40:00,71.5,71.5,71.5,71.5,476999,1228338,1109205,0
