,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,168.75,168.75,168.75,168.75,0,61249,697,0
1,2020-05-20 09:08:00,168.75,168.75,168.75,168.75,0,61249,747,0
2,2020-05-20 09:11:00,168.75,168.75,168.75,168.75,0,61249,747,0
3,2020-05-20 09:14:00,168.75,168.75,168.75,168.75,0,61249,747,0
4,2020-05-20 09:19:00,170.0,170.0,170.0,170.0,402,121867,9089,0
5,2020-05-20 09:30:00,170.05,170.05,170.05,170.05,670,151473,14958,0
6,2020-05-20 09:37:00,170.65,170.65,170.65,170.65,332,153615,15328,0
7,2020-05-20 09:40:00,170.1,170.15,170.1,170.15,1028,305884,31704,0
8,2020-05-20 09:42:00,170.2,170.2,170.2,170.2,1044,153499,15803,0
9,2020-05-20 10:04:00,170.5,170.5,170.5,170.5,759,156225,18106,0
10,2020-05-20 10:12:00,170.6,170.6,170.6,170.6,4563,161790,17708,0
11,2020-05-20 10:28:00,170.95,170.95,170.95,170.95,6112,171457,20377,0
12,2020-05-20 10:53:00,170.6,170.6,170.6,170.6,4613,348752,42929,0
13,2020-05-20 10:54:00,170.9,170.9,170.9,170.9,4776,176666,21419,0
14,2020-05-20 11:00:00,170.9,170.9,170.9,170.9,6275,176861,21215,0
15,2020-05-20 11:07:00,170.95,170.95,170.95,170.95,14477,178305,23266,0
16,2020-05-20 11:17:00,170.65,170.65,170.65,170.65,42649,174439,23142,0
17,2020-05-20 11:18:00,170.2,170.2,170.2,170.2,39054,176337,24166,0
18,2020-05-20 11:34:00,170.25,170.25,170.25,170.25,26178,178507,27413,0
19,2020-05-20 11:44:00,170.3,170.3,170.3,170.3,30300,178199,29389,0
20,2020-05-20 11:57:00,170.3,170.45,170.3,170.45,43599,363741,62703,0
21,2020-05-20 12:07:00,170.35,170.35,170.15,170.15,33366,365452,63075,0
22,2020-05-20 12:11:00,170.3,170.3,170.15,170.15,46107,545924,94869,0
23,2020-05-20 12:24:00,170.15,170.15,170.15,170.15,49188,182251,33982,0
24,2020-05-20 12:27:00,170.15,170.15,170.15,170.15,36447,183602,34141,0
25,2020-05-20 12:42:00,170.25,170.25,170.25,170.25,37580,179380,57974,0
26,2020-05-20 13:36:00,170.25,170.25,170.25,170.25,114864,177479,59352,0
27,2020-05-20 14:03:00,170.3,170.3,170.3,170.3,114187,180021,60155,0
28,2020-05-20 14:32:00,170.5,170.5,170.5,170.5,89062,179746,55510,0
29,2020-05-20 15:04:00,170.65,170.65,170.65,170.65,99505,180811,17147,0
30,2020-05-20 15:05:00,170.55,170.55,170.55,170.55,114757,360750,32883,0
31,2020-05-20 15:18:00,170.3,170.3,170.3,170.3,129018,171827,16499,0
32,2020-05-20 15:28:00,169.95,169.95,169.95,169.95,118704,196666,5136,0
33,2020-05-20 15:29:00,170.0,170.0,170.0,170.0,105347,221010,4983,0
