,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,158.7,158.7,158.7,158.7,0,11016,7930,0
1,2020-05-20 09:20:00,159.2,159.2,159.2,159.2,0,36630,20168,0
2,2020-05-20 09:21:00,159.15,159.15,159.15,159.15,2213,38106,21244,0
3,2020-05-20 09:22:00,159.2,159.2,159.2,159.2,2337,38511,21471,0
4,2020-05-20 09:30:00,158.55,158.55,158.55,158.55,1174,37558,23494,0
5,2020-05-20 09:32:00,158.05,158.45,158.05,158.45,2785,74430,47525,0
6,2020-05-20 09:33:00,158.6,158.6,158.6,158.6,2889,37200,23980,0
7,2020-05-20 09:38:00,157.7,157.7,157.7,157.7,13790,39397,25061,0
8,2020-05-20 09:39:00,158.3,158.3,158.1,158.1,3130,78311,50059,0
9,2020-05-20 09:41:00,158.15,158.15,158.15,158.15,3162,40583,25315,0
10,2020-05-20 09:42:00,158.35,158.35,158.35,158.35,14037,40557,25509,0
11,2020-05-20 09:49:00,158.4,158.4,158.4,158.4,14413,42322,25021,0
12,2020-05-20 09:52:00,156.65,156.65,156.65,156.65,7853,39736,26702,0
13,2020-05-20 09:53:00,157.55,157.55,157.55,157.55,8013,40897,25783,0
14,2020-05-20 09:55:00,158.0,158.0,158.0,158.0,14963,42492,26919,0
15,2020-05-20 10:00:00,156.25,156.25,156.25,156.25,18312,41365,29484,0
16,2020-05-20 10:12:00,158.0,158.0,158.0,158.0,14590,37358,28065,0
17,2020-05-20 10:17:00,158.1,158.1,158.1,158.1,12296,37585,28544,0
18,2020-05-20 10:18:00,158.15,158.15,158.15,158.15,16313,37621,28179,0
19,2020-05-20 10:21:00,158.1,158.1,158.1,158.1,18663,37779,28280,0
20,2020-05-20 10:45:00,158.05,158.05,158.05,158.05,15559,39472,30567,0
21,2020-05-20 10:50:00,158.25,158.25,158.25,158.25,13323,40910,30805,0
22,2020-05-20 10:52:00,158.55,158.55,158.55,158.55,17503,41132,29849,0
23,2020-05-20 10:55:00,157.7,157.7,157.4,157.4,18400,77206,61837,0
24,2020-05-20 10:56:00,157.1,157.1,157.1,157.1,18532,37661,30986,0
25,2020-05-20 10:57:00,156.5,156.5,156.5,156.5,18552,35978,32426,0
26,2020-05-20 10:59:00,157.05,157.05,157.05,157.05,18585,39049,32938,0
27,2020-05-20 11:01:00,157.5,157.5,157.5,157.5,18667,40247,32860,0
28,2020-05-20 11:06:00,157.3,157.3,157.3,157.3,18716,38623,32353,0
29,2020-05-20 11:07:00,157.95,157.95,157.95,157.95,19493,38461,31352,0
30,2020-05-20 11:31:00,158.05,158.05,158.05,158.05,22610,41893,31698,0
31,2020-05-20 11:55:00,158.0,158.0,158.0,158.0,22809,46531,38659,0
32,2020-05-20 12:02:00,157.5,157.5,157.5,157.5,19808,44920,39567,0
33,2020-05-20 12:07:00,157.05,157.05,157.05,157.05,19799,44774,39743,0
34,2020-05-20 12:09:00,157.3,157.3,157.3,157.3,22815,44663,39743,0
35,2020-05-20 12:19:00,157.15,157.15,157.15,157.15,23087,44663,39852,0
36,2020-05-20 12:28:00,157.5,157.5,157.5,157.5,20639,45270,39351,0
