,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,86.3,86.3,86.3,86.3,0,55609,20503,0
1,2020-05-20 09:15:00,86.05,86.05,86.05,86.05,0,55143,24677,0
2,2020-05-20 09:16:00,86.05,86.05,86.05,86.05,862,57937,31845,0
3,2020-05-20 09:17:00,86.25,86.25,86.25,86.25,1187,59841,33235,0
4,2020-05-20 09:18:00,86.25,86.25,86.25,86.25,311,121191,85857,0
5,2020-05-20 09:30:00,86.45,86.45,86.45,86.45,2191,68425,54567,0
6,2020-05-20 09:32:00,86.3,86.3,86.3,86.3,3298,68340,55395,0
7,2020-05-20 09:33:00,86.45,86.45,86.45,86.45,1605,68428,55635,0
8,2020-05-20 09:36:00,86.0,86.0,86.0,86.0,4267,68193,54274,0
9,2020-05-20 09:38:00,85.2,85.2,85.2,85.2,7104,70027,54524,0
10,2020-05-20 09:39:00,85.85,85.85,85.85,85.85,4482,69673,55699,0
11,2020-05-20 09:40:00,85.95,85.95,85.95,85.95,1750,70235,55472,0
12,2020-05-20 09:42:00,86.0,86.0,86.0,86.0,4905,71266,55447,0
13,2020-05-20 09:44:00,86.0,86.0,86.0,86.0,8037,70706,55667,0
14,2020-05-20 09:45:00,86.05,86.05,86.05,86.05,5082,70856,55219,0
15,2020-05-20 09:46:00,86.0,86.0,86.0,86.0,2060,70800,55247,0
16,2020-05-20 09:49:00,85.9,85.9,85.9,85.9,5369,71418,55161,0
17,2020-05-20 09:50:00,85.9,85.9,85.65,85.65,5113,143380,110407,0
18,2020-05-20 09:51:00,85.65,85.65,85.55,85.55,5371,144190,110429,0
19,2020-05-20 09:53:00,86.1,86.1,86.1,86.1,6045,72565,54912,0
20,2020-05-20 09:54:00,86.1,86.1,86.0,86.0,5345,145190,109948,0
21,2020-05-20 09:57:00,85.85,85.85,85.85,85.85,6665,72549,55339,0
22,2020-05-20 09:58:00,86.0,86.0,86.0,86.0,7384,73576,55029,0
23,2020-05-20 09:59:00,86.0,86.0,86.0,86.0,6837,73226,55030,0
24,2020-05-20 10:03:00,86.4,86.4,86.4,86.4,6745,78651,56331,0
25,2020-05-20 10:11:00,86.2,86.2,86.2,86.2,7855,80337,56768,0
26,2020-05-20 10:13:00,86.1,86.1,86.1,86.1,8517,80265,56868,0
27,2020-05-20 10:18:00,86.25,86.25,86.25,86.25,7866,80097,57382,0
28,2020-05-20 10:51:00,85.45,85.45,85.45,85.45,16092,79151,57635,0
29,2020-05-20 11:30:00,85.8,85.8,85.8,85.8,20747,105709,58559,0
30,2020-05-20 11:31:00,86.0,86.0,86.0,86.0,12521,105709,58559,0
31,2020-05-20 11:41:00,85.8,85.8,85.8,85.8,8861,105832,58838,0
32,2020-05-20 11:58:00,85.65,85.65,85.65,85.65,19068,105607,58403,0
33,2020-05-20 12:02:00,85.65,85.65,85.65,85.65,22784,110836,57914,0
34,2020-05-20 12:05:00,85.75,85.75,85.75,85.75,12683,111759,57864,0
35,2020-05-20 12:19:00,85.85,85.85,85.85,85.85,9879,112055,57942,0
36,2020-05-20 12:27:00,85.95,85.95,85.95,85.95,21368,111181,57741,0
37,2020-05-20 12:32:00,86.0,86.0,86.0,86.0,25418,111773,56790,0
38,2020-05-20 12:34:00,86.0,86.0,86.0,86.0,13929,111973,56349,0
39,2020-05-20 12:40:00,86.15,86.15,86.15,86.15,10270,112295,57659,0
40,2020-05-20 12:59:00,85.8,85.8,85.8,85.8,22986,111823,57525,0
41,2020-05-20 13:00:00,86.05,86.05,86.05,86.05,27107,112011,57201,0
42,2020-05-20 13:10:00,85.95,85.95,85.95,85.95,15993,117537,57556,0
43,2020-05-20 13:49:00,85.85,85.85,85.85,85.85,13293,117868,57027,0
44,2020-05-20 13:59:00,85.7,85.7,85.7,85.7,26547,116558,57205,0
45,2020-05-20 14:00:00,85.65,85.65,85.65,85.65,29347,121578,57226,0
46,2020-05-20 14:05:00,85.8,85.8,85.8,85.8,17281,120944,57204,0
47,2020-05-20 14:16:00,85.5,85.5,85.5,85.5,19574,118854,58062,0
48,2020-05-20 14:23:00,86.0,86.0,86.0,86.0,34922,120720,56396,0
49,2020-05-20 14:25:00,86.0,86.0,86.0,86.0,32729,120879,56835,0
50,2020-05-20 14:29:00,85.55,86.0,85.55,86.0,20114,241396,112074,0
51,2020-05-20 14:42:00,86.2,86.2,86.2,86.2,27330,120361,54009,0
52,2020-05-20 14:47:00,86.3,86.3,86.3,86.3,41329,121888,53783,0
53,2020-05-20 14:52:00,86.7,86.7,86.7,86.7,36799,120741,53109,0
54,2020-05-20 14:55:00,87.25,87.25,87.25,87.25,29294,121684,54689,0
55,2020-05-20 14:56:00,87.25,87.25,87.25,87.25,34036,121481,54894,0
56,2020-05-20 15:26:00,86.9,86.9,86.9,86.9,49213,126847,53836,0
57,2020-05-20 15:28:00,87.5,87.5,87.5,87.5,47589,127137,52388,0
