,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,4304.55,4304.55,4304.55,4304.55,0,3154,6238,0
1,2020-05-20 09:08:00,4285.2,4285.2,4285.2,4285.2,0,1687,3222,0
2,2020-05-20 09:11:00,4285.2,4285.2,4285.2,4285.2,47,1687,3222,0
3,2020-05-20 09:14:00,4285.2,4285.2,4285.2,4285.2,47,1687,3222,0
4,2020-05-20 09:15:00,4285.2,4285.25,4285.2,4285.25,6,6603,11130,0
5,2020-05-20 09:16:00,4300.9,4300.9,4284.1,4284.1,200,6388,9013,0
6,2020-05-20 09:18:00,4291.05,4297.7,4290.0,4290.0,198,24998,27519,0
7,2020-05-20 09:19:00,4293.95,4295.0,4293.95,4295.0,217,27239,30051,0
8,2020-05-20 09:20:00,4294.75,4294.75,4294.75,4294.75,252,9732,11021,0
9,2020-05-20 09:22:00,4295.05,4295.05,4295.05,4295.05,708,11503,12640,0
10,2020-05-20 09:25:00,4276.0,4276.0,4276.0,4276.0,1046,11330,13016,0
11,2020-05-20 09:26:00,4275.1,4275.9,4272.05,4272.05,604,34862,39678,0
12,2020-05-20 09:27:00,4278.0,4278.0,4278.0,4278.0,1091,23697,26208,0
13,2020-05-20 09:29:00,4267.0,4267.0,4267.0,4267.0,1471,11720,13658,0
14,2020-05-20 09:33:00,4270.45,4270.45,4270.45,4270.45,1448,29942,34122,0
15,2020-05-20 09:34:00,4264.05,4264.05,4264.05,4264.05,1556,29734,33958,0
16,2020-05-20 09:37:00,4261.75,4261.75,4261.75,4261.75,1790,14927,16958,0
17,2020-05-20 09:38:00,4266.0,4269.55,4266.0,4269.55,1542,30424,33903,0
18,2020-05-20 09:39:00,4273.0,4273.0,4269.75,4269.75,2520,30461,33820,0
19,2020-05-20 09:40:00,4261.0,4261.0,4258.05,4258.05,1696,30353,34063,0
20,2020-05-20 09:42:00,4253.05,4253.05,4253.05,4253.05,1912,15178,17070,0
21,2020-05-20 09:43:00,4270.0,4270.0,4270.0,4270.0,2714,30941,33939,0
22,2020-05-20 09:44:00,4270.0,4270.0,4270.0,4270.0,2714,15443,17005,0
23,2020-05-20 09:45:00,4270.0,4270.0,4268.95,4268.95,1965,31264,34455,0
24,2020-05-20 09:46:00,4260.05,4260.05,4260.05,4260.05,2024,15586,17263,0
25,2020-05-20 09:47:00,4267.3,4267.3,4267.3,4267.3,2775,15587,17276,0
26,2020-05-20 09:48:00,4264.9,4269.95,4264.9,4269.95,2232,53731,56991,0
27,2020-05-20 09:49:00,4269.95,4269.95,4266.0,4266.0,3086,53736,57159,0
28,2020-05-20 09:50:00,4266.0,4266.0,4266.0,4266.0,3086,17824,19084,0
29,2020-05-20 09:51:00,4264.0,4264.0,4264.0,4264.0,2259,17807,19090,0
30,2020-05-20 09:52:00,4270.95,4270.95,4264.0,4269.05,3217,53832,57165,0
31,2020-05-20 09:57:00,4269.0,4271.9,4269.0,4271.9,2465,63774,62483,0
32,2020-05-20 09:58:00,4271.65,4271.65,4271.65,4271.65,3736,63605,62227,0
33,2020-05-20 09:59:00,4266.2,4266.2,4266.2,4266.2,3884,21158,20810,0
34,2020-05-20 10:00:00,4269.75,4269.75,4269.75,4269.75,2635,21313,20820,0
35,2020-05-20 10:03:00,4271.95,4271.95,4271.95,4271.95,2513,21666,20776,0
36,2020-05-20 10:05:00,4277.0,4277.0,4277.0,4277.0,4091,21471,20835,0
37,2020-05-20 10:06:00,4271.2,4271.2,4271.2,4271.2,4262,21449,20887,0
38,2020-05-20 10:11:00,4272.9,4272.9,4272.9,4272.9,2828,21505,20906,0
39,2020-05-20 10:12:00,4270.0,4270.0,4270.0,4270.0,2662,21517,20908,0
40,2020-05-20 10:13:00,4270.0,4270.0,4270.0,4270.0,4104,21566,20908,0
41,2020-05-20 10:15:00,4270.05,4270.05,4270.05,4270.05,4312,21721,20881,0
42,2020-05-20 10:16:00,4275.0,4275.0,4275.0,4275.0,2954,21700,20879,0
43,2020-05-20 10:17:00,4274.4,4274.4,4274.4,4274.4,2758,21691,20885,0
