,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,10056.85,10056.85,10056.85,10056.85,0,516,296,0
1,2020-05-20 09:15:00,9990.05,9990.05,9990.05,9990.05,0,729,415,0
2,2020-05-20 09:17:00,10014.25,10014.25,10014.25,10014.25,29,1106,648,0
3,2020-05-20 09:19:00,9990.05,9990.05,9990.05,9990.05,53,1469,912,0
4,2020-05-20 09:30:00,10007.2,10007.2,10007.2,10007.2,63,2069,1549,0
5,2020-05-20 09:36:00,10010.05,10010.05,10010.05,10010.05,48,3394,2671,0
6,2020-05-20 09:48:00,9980.1,9980.1,9980.1,9980.1,212,5116,4039,0
7,2020-05-20 10:05:00,10020.75,10020.75,10020.75,10020.75,264,6269,4876,0
8,2020-05-20 10:08:00,10039.4,10039.9,10039.4,10039.9,53,12548,9730,0
9,2020-05-20 10:10:00,10009.0,10009.0,10009.0,10009.0,54,6278,4901,0
10,2020-05-20 10:15:00,10000.0,10000.0,10000.0,10000.0,277,6290,4897,0
11,2020-05-20 10:25:00,10023.9,10023.9,10023.9,10023.9,344,6321,4897,0
12,2020-05-20 11:07:00,10005.0,10005.0,10005.0,10005.0,205,6054,4685,0
13,2020-05-20 11:28:00,10005.1,10005.1,10005.1,10005.1,156,6355,4997,0
14,2020-05-20 11:37:00,10036.1,10036.1,10036.1,10036.1,343,6650,5309,0
15,2020-05-20 12:22:00,10028.95,10028.95,10028.95,10028.95,431,6643,5350,0
16,2020-05-20 12:23:00,10028.95,10028.95,10028.95,10028.95,244,6643,5353,0
17,2020-05-20 12:57:00,10010.0,10010.0,10010.0,10010.0,368,12682,10212,0
18,2020-05-20 13:10:00,10034.95,10034.95,10034.95,10034.95,372,6345,5113,0
19,2020-05-20 13:22:00,10010.7,10010.7,10010.7,10010.7,260,6338,5107,0
20,2020-05-20 13:24:00,10010.95,10010.95,10010.95,10010.95,258,6341,5108,0
21,2020-05-20 13:25:00,10010.95,10010.95,10010.95,10010.95,370,6040,4807,0
22,2020-05-20 13:27:00,10010.95,10010.95,10010.95,10010.95,372,6031,4807,0
23,2020-05-20 13:44:00,10014.0,10014.0,10014.0,10014.0,270,6397,5040,0
24,2020-05-20 13:45:00,10014.0,10014.0,10014.0,10014.0,268,6398,5041,0
25,2020-05-20 14:09:00,10016.0,10016.0,10016.0,10016.0,389,6451,5019,0
26,2020-05-20 14:22:00,10020.65,10020.65,10020.65,10020.65,403,6440,5018,0
27,2020-05-20 14:30:00,10025.0,10025.0,10025.0,10025.0,332,6445,5022,0
28,2020-05-20 14:35:00,10034.0,10034.0,10034.0,10034.0,344,6446,5010,0
29,2020-05-20 14:42:00,10031.95,10031.95,10031.95,10031.95,448,6632,5164,0
30,2020-05-20 15:02:00,9999.95,9999.95,9999.95,9999.95,503,6605,5130,0
31,2020-05-20 15:03:00,10010.1,10010.1,10010.1,10010.1,426,6595,5139,0
32,2020-05-20 15:05:00,10010.5,10010.5,10010.5,10010.5,374,6605,1574,0
33,2020-05-20 15:11:00,10006.35,10006.35,10006.35,10006.35,491,6605,1564,0
34,2020-05-20 15:16:00,10017.9,10017.9,10017.9,10017.9,570,6625,1770,0
35,2020-05-20 15:19:00,10048.65,10048.65,10048.65,10048.65,575,6634,1707,0
36,2020-05-20 15:23:00,10047.95,10047.95,10047.95,10047.95,559,6621,1705,0
