,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,69.65,69.65,69.65,69.65,0,8926,6840,0
1,2020-05-20 09:07:00,69.65,69.65,69.65,69.65,567,18472,14060,0
2,2020-05-20 09:16:00,68.55,68.55,68.55,68.55,1697,13425,16806,0
3,2020-05-20 09:17:00,68.9,69.2,68.9,69.2,678,53280,62890,0
4,2020-05-20 09:19:00,69.25,69.25,69.25,69.25,2287,30610,30607,0
5,2020-05-20 09:22:00,69.55,69.55,69.55,69.55,4645,38931,33979,0
6,2020-05-20 09:23:00,69.55,69.55,69.55,69.55,3431,38691,34774,0
7,2020-05-20 09:25:00,69.65,69.65,69.65,69.65,1318,39784,36526,0
8,2020-05-20 09:28:00,69.65,69.65,69.65,69.65,3187,39691,36008,0
9,2020-05-20 09:36:00,70.55,70.55,70.55,70.55,12760,47729,33992,0
10,2020-05-20 09:37:00,70.5,70.5,70.5,70.5,11433,48932,36087,0
11,2020-05-20 09:43:00,70.0,70.0,70.0,70.0,4708,45036,39437,0
12,2020-05-20 09:45:00,70.05,70.05,70.05,70.05,7373,45988,39680,0
13,2020-05-20 09:51:00,70.4,70.4,70.4,70.4,16616,51042,37836,0
14,2020-05-20 10:08:00,70.2,70.2,70.2,70.2,18388,51666,40073,0
15,2020-05-20 10:18:00,69.8,69.8,69.8,69.8,15997,47948,43057,0
16,2020-05-20 10:37:00,69.85,69.85,69.85,69.85,19880,49415,43939,0
17,2020-05-20 10:41:00,70.2,70.2,70.2,70.2,25072,51207,44025,0
18,2020-05-20 10:52:00,70.05,70.05,70.05,70.05,22766,52186,44678,0
19,2020-05-20 10:57:00,70.3,70.3,70.3,70.3,38954,157252,128811,0
20,2020-05-20 10:58:00,70.15,70.15,70.15,70.15,41209,52674,43700,0
21,2020-05-20 11:15:00,69.8,69.8,69.8,69.8,30647,51259,45522,0
22,2020-05-20 11:18:00,70.0,70.0,70.0,70.0,28727,51502,45540,0
23,2020-05-20 11:19:00,70.15,70.15,70.15,70.15,40510,52399,44109,0
24,2020-05-20 11:25:00,70.3,70.3,70.3,70.3,42849,53932,44218,0
25,2020-05-20 11:33:00,70.0,70.0,70.0,70.0,31764,52923,45224,0
26,2020-05-20 11:48:00,70.45,70.45,70.45,70.45,40270,62436,39539,0
27,2020-05-20 11:49:00,70.45,70.45,70.45,70.45,51355,62537,39397,0
28,2020-05-20 11:50:00,70.5,70.5,70.5,70.5,43121,63448,39334,0
29,2020-05-20 11:58:00,70.25,70.25,70.25,70.25,33323,62088,42148,0
30,2020-05-20 12:01:00,70.4,70.4,70.4,70.4,42411,62807,40461,0
31,2020-05-20 12:07:00,70.1,70.1,70.1,70.1,53535,63001,41474,0
32,2020-05-20 12:12:00,70.1,70.1,70.1,70.1,44557,62924,41549,0
33,2020-05-20 12:24:00,70.15,70.15,70.15,70.15,35779,62250,42020,0
34,2020-05-20 12:26:00,69.9,69.9,69.9,69.9,45443,61693,42668,0
35,2020-05-20 12:40:00,70.15,70.15,70.15,70.15,54798,60358,43066,0
36,2020-05-20 12:57:00,70.05,70.05,70.05,70.05,47129,59607,44373,0
37,2020-05-20 12:58:00,70.1,70.1,70.1,70.1,37802,59392,44345,0
38,2020-05-20 13:06:00,70.1,70.1,70.1,70.1,45792,59896,43023,0
39,2020-05-20 13:13:00,70.0,70.0,70.0,70.0,55365,60387,43180,0
40,2020-05-20 13:15:00,70.0,70.0,70.0,70.0,47721,60551,42950,0
41,2020-05-20 13:21:00,69.85,69.85,69.85,69.85,38739,60395,44750,0
42,2020-05-20 13:25:00,69.85,69.85,69.85,69.85,46499,60336,45234,0
43,2020-05-20 13:36:00,69.85,69.85,69.85,69.85,56895,59802,44808,0
44,2020-05-20 13:48:00,69.9,69.9,69.9,69.9,49402,60010,44220,0
45,2020-05-20 13:52:00,70.0,70.0,70.0,70.0,40198,60203,43492,0
46,2020-05-20 13:55:00,70.2,70.2,70.2,70.2,50258,59427,42315,0
47,2020-05-20 14:05:00,70.25,70.25,70.25,70.25,61783,60987,41026,0
48,2020-05-20 14:17:00,70.5,70.5,70.5,70.5,60564,62761,36995,0
49,2020-05-20 14:22:00,70.6,70.6,70.6,70.6,51047,65454,36812,0
50,2020-05-20 14:26:00,70.75,70.8,70.75,70.75,64900,197818,106112,0
51,2020-05-20 14:31:00,70.6,70.6,70.6,70.6,66923,65524,36419,0
52,2020-05-20 14:35:00,70.6,70.6,70.6,70.6,54493,64852,37791,0
53,2020-05-20 14:37:00,70.45,70.5,70.45,70.5,67790,129750,74888,0
54,2020-05-20 14:43:00,70.3,70.55,70.3,70.55,55992,134673,77393,0
55,2020-05-20 14:48:00,70.65,70.65,70.4,70.4,68506,136665,78601,0
56,2020-05-20 14:53:00,70.65,70.65,70.65,70.65,70283,65591,38795,0
57,2020-05-20 14:55:00,70.55,70.55,70.55,70.55,57921,65012,37033,0
58,2020-05-20 15:00:00,70.5,70.5,70.5,70.5,56373,62647,36535,0
59,2020-05-20 15:01:00,70.4,70.4,70.4,70.4,68937,62211,36982,0
60,2020-05-20 15:04:00,70.45,70.45,70.45,70.45,70633,61797,36725,0
61,2020-05-20 15:07:00,70.55,70.55,70.55,70.55,58374,59646,36194,0
62,2020-05-20 15:16:00,70.3,70.3,70.3,70.3,61058,56456,35692,0
63,2020-05-20 15:17:00,70.4,70.4,70.4,70.4,75910,62273,33505,0
64,2020-05-20 15:22:00,70.7,70.7,70.7,70.7,77811,46269,25087,0
65,2020-05-20 15:24:00,70.55,70.55,70.55,70.55,62603,86538,46612,0
66,2020-05-20 15:26:00,70.6,70.6,70.6,70.6,64418,42795,21698,0
67,2020-05-20 15:28:00,70.7,70.7,70.7,70.7,80291,42092,21319,0
68,2020-05-20 15:29:00,70.6,70.6,70.5,70.5,63796,126240,63279,0
