,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,30.85,30.85,30.85,30.85,0,11795,5392,0
1,2020-05-20 09:07:00,30.85,30.85,30.85,30.85,0,11795,6692,0
2,2020-05-20 09:08:00,31.5,31.5,31.5,31.5,5,11790,6886,0
3,2020-05-20 09:11:00,31.5,31.5,31.5,31.5,5,11790,6886,0
4,2020-05-20 09:14:00,31.5,31.5,31.5,31.5,0,11790,6886,0
5,2020-05-20 09:31:00,30.65,30.65,30.65,30.65,6959,20064,15940,0
6,2020-05-20 09:35:00,30.5,30.5,30.5,30.5,7853,19729,32057,0
7,2020-05-20 09:37:00,30.35,30.35,30.35,30.35,2237,20636,33560,0
8,2020-05-20 09:39:00,30.5,30.5,30.5,30.5,1396,20626,34063,0
9,2020-05-20 09:40:00,30.5,30.5,30.5,30.5,7012,20877,34063,0
10,2020-05-20 09:45:00,30.55,30.55,30.55,30.55,3228,51372,67894,0
11,2020-05-20 09:48:00,30.25,30.25,29.95,29.95,22621,35460,73540,0
12,2020-05-20 09:49:00,29.9,29.9,29.9,29.9,24110,16698,37303,0
13,2020-05-20 09:51:00,30.0,30.1,30.0,30.0,9487,61369,113266,0
14,2020-05-20 09:52:00,30.0,30.0,30.0,30.0,24110,40946,75994,0
15,2020-05-20 09:55:00,30.0,30.0,30.0,30.0,10185,45873,76965,0
16,2020-05-20 09:57:00,30.1,30.1,30.1,30.1,10472,24614,38560,0
17,2020-05-20 09:59:00,30.1,30.1,30.1,30.1,24582,23912,38435,0
18,2020-05-20 10:00:00,30.15,30.15,30.15,30.15,24511,24882,38584,0
19,2020-05-20 10:05:00,30.2,30.2,30.2,30.2,10717,25119,38320,0
20,2020-05-20 10:12:00,30.2,30.2,30.2,30.2,13570,29553,39199,0
21,2020-05-20 10:23:00,30.2,30.2,30.2,30.2,28665,30935,38430,0
22,2020-05-20 10:25:00,30.2,30.2,30.2,30.2,26991,30130,38733,0
23,2020-05-20 10:36:00,30.35,30.35,30.35,30.35,12998,33162,39133,0
24,2020-05-20 10:49:00,30.35,30.35,30.35,30.35,16384,33085,39043,0
25,2020-05-20 11:21:00,30.45,30.45,30.45,30.45,36179,36246,37178,0
26,2020-05-20 11:26:00,30.2,30.2,30.2,30.2,38328,33169,37148,0
27,2020-05-20 11:28:00,30.05,30.05,30.05,30.05,20317,33654,37780,0
28,2020-05-20 11:29:00,30.2,30.2,30.2,30.2,21994,34209,37560,0
29,2020-05-20 11:30:00,30.1,30.1,30.1,30.1,41399,33298,39891,0
30,2020-05-20 11:35:00,30.15,30.15,30.15,30.15,40469,35187,39851,0
31,2020-05-20 12:26:00,30.1,30.1,30.1,30.1,28268,37007,41657,0
32,2020-05-20 12:36:00,29.65,29.65,29.65,29.65,58068,35514,45059,0
33,2020-05-20 12:39:00,29.8,29.8,29.7,29.7,41484,44010,90111,0
34,2020-05-20 12:40:00,29.75,29.75,29.75,29.75,41511,22392,44971,0
35,2020-05-20 13:00:00,29.6,29.6,29.6,29.6,75770,23427,47959,0
36,2020-05-20 13:01:00,29.65,29.65,29.65,29.65,75791,24141,49603,0
37,2020-05-20 13:03:00,29.6,29.65,29.6,29.65,42448,49960,98620,0
38,2020-05-20 13:18:00,29.55,29.55,29.55,29.55,59001,22125,53887,0
39,2020-05-20 13:24:00,29.6,29.6,29.6,29.6,92558,25218,53880,0
40,2020-05-20 13:33:00,29.6,29.6,29.6,29.6,78076,21922,52108,0
41,2020-05-20 13:40:00,29.5,29.5,29.45,29.45,63188,40350,102023,0
42,2020-05-20 13:41:00,29.5,29.5,29.5,29.5,63485,18277,51572,0
43,2020-05-20 13:49:00,29.7,29.7,29.7,29.7,85493,26407,49906,0
44,2020-05-20 13:51:00,29.9,29.9,29.9,29.9,89681,26959,47673,0
45,2020-05-20 14:03:00,29.7,29.7,29.7,29.7,71875,26784,51300,0
46,2020-05-20 14:10:00,29.85,29.85,29.85,29.85,72762,26981,49490,0
47,2020-05-20 14:12:00,29.75,29.75,29.75,29.75,91708,28135,50982,0
48,2020-05-20 14:14:00,29.75,29.75,29.75,29.75,72018,56757,102156,0
49,2020-05-20 14:16:00,29.8,29.8,29.8,29.8,72122,29557,51402,0
50,2020-05-20 14:19:00,29.85,29.85,29.85,29.85,93254,31223,51711,0
51,2020-05-20 14:35:00,29.7,29.7,29.7,29.7,104142,29660,54745,0
52,2020-05-20 14:36:00,29.85,29.85,29.85,29.85,83460,29140,54932,0
53,2020-05-20 14:39:00,29.75,29.75,29.75,29.75,75943,28979,53230,0
54,2020-05-20 14:40:00,29.8,29.8,29.8,29.8,97515,29289,53198,0
55,2020-05-20 14:46:00,29.75,29.75,29.75,29.75,107870,32861,51527,0
56,2020-05-20 14:53:00,29.85,29.85,29.85,29.85,87026,33746,50558,0
57,2020-05-20 15:04:00,29.8,29.8,29.8,29.8,84130,35760,48245,0
58,2020-05-20 15:07:00,29.9,29.9,29.85,29.85,108459,71654,96815,0
59,2020-05-20 15:15:00,29.95,29.95,29.95,29.95,117425,37516,49506,0
60,2020-05-20 15:16:00,29.95,29.95,29.95,29.95,93541,38271,49502,0
61,2020-05-20 15:19:00,29.9,29.9,29.9,29.9,85532,37832,49498,0
62,2020-05-20 15:21:00,30.0,30.0,30.0,30.0,110806,35987,47029,0
63,2020-05-20 15:24:00,29.95,29.95,29.9,29.9,103906,106281,117632,0
64,2020-05-20 15:25:00,29.9,29.9,29.9,29.9,104394,36165,40208,0
65,2020-05-20 15:27:00,29.9,29.9,29.9,29.9,119526,41690,38887,0
66,2020-05-20 15:28:00,29.9,29.9,29.9,29.9,120198,41456,40800,0
67,2020-05-20 15:30:00,29.85,29.85,29.85,29.85,109591,93446,70538,0
