,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,34.65,34.65,34.65,34.65,0,272310,139728,0
1,2020-05-20 09:08:00,34.65,34.65,34.65,34.65,0,136844,70099,0
2,2020-05-20 09:11:00,34.65,34.65,34.65,34.65,486,136844,70099,0
3,2020-05-20 09:14:00,34.65,34.65,34.65,34.65,486,136844,70099,0
4,2020-05-20 09:16:00,34.6,34.6,34.6,34.6,4200,165890,55376,0
5,2020-05-20 09:17:00,34.45,34.45,34.45,34.45,14840,179273,68619,0
6,2020-05-20 09:18:00,34.65,34.65,34.65,34.65,17707,210647,66044,0
7,2020-05-20 09:19:00,34.8,34.8,34.8,34.8,12627,247154,109121,0
8,2020-05-20 09:21:00,34.75,34.75,34.75,34.75,12081,250216,114784,0
9,2020-05-20 09:23:00,34.7,34.7,34.7,34.7,23143,251059,121879,0
10,2020-05-20 09:24:00,34.7,34.7,34.7,34.7,15177,507647,246784,0
11,2020-05-20 09:25:00,34.6,34.65,34.6,34.6,25957,1014481,524794,0
12,2020-05-20 09:27:00,34.55,34.55,34.55,34.55,29963,258576,131880,0
13,2020-05-20 09:29:00,34.65,34.65,34.65,34.65,22877,266917,131233,0
14,2020-05-20 09:32:00,34.45,34.45,34.45,34.45,29902,267432,141209,0
15,2020-05-20 09:33:00,34.3,34.3,34.3,34.3,39517,271603,146862,0
16,2020-05-20 09:34:00,34.35,34.35,34.35,34.35,35642,274977,148712,0
17,2020-05-20 09:35:00,34.35,34.4,34.35,34.4,32136,562650,298640,0
18,2020-05-20 09:36:00,34.45,34.45,34.45,34.45,37290,290989,150469,0
19,2020-05-20 09:37:00,34.4,34.4,34.4,34.4,40855,292873,149828,0
20,2020-05-20 09:39:00,34.35,34.35,34.35,34.35,42752,293240,150297,0
21,2020-05-20 09:41:00,34.4,34.4,34.4,34.4,42423,303285,150801,0
22,2020-05-20 09:42:00,34.5,34.5,34.5,34.5,41407,305461,150804,0
23,2020-05-20 09:44:00,34.5,34.5,34.5,34.5,42287,310720,150943,0
24,2020-05-20 09:45:00,34.5,34.5,34.5,34.5,43414,313369,149500,0
25,2020-05-20 09:46:00,34.4,34.4,34.4,34.4,47606,314214,147901,0
26,2020-05-20 09:47:00,34.6,34.6,34.6,34.6,48466,319226,152057,0
27,2020-05-20 09:48:00,34.7,34.7,34.7,34.7,58912,335396,133481,0
28,2020-05-20 09:51:00,34.7,34.7,34.7,34.7,69454,334629,139820,0
29,2020-05-20 09:52:00,34.7,34.7,34.7,34.7,60403,335921,139117,0
30,2020-05-20 09:54:00,34.65,34.65,34.65,34.65,60032,331215,139953,0
31,2020-05-20 09:55:00,34.65,34.65,34.65,34.65,71408,331591,140033,0
32,2020-05-20 09:56:00,34.65,34.65,34.65,34.65,73770,333568,159914,0
33,2020-05-20 09:57:00,34.65,34.65,34.65,34.65,62395,333567,159626,0
34,2020-05-20 10:01:00,34.65,34.7,34.65,34.7,79054,673919,320863,0
35,2020-05-20 10:02:00,34.75,34.75,34.75,34.75,79553,338047,159815,0
36,2020-05-20 10:03:00,34.7,34.7,34.7,34.7,64340,340444,158117,0
37,2020-05-20 10:08:00,34.75,34.75,34.75,34.75,66038,342591,160514,0
38,2020-05-20 10:12:00,34.7,34.7,34.7,34.7,89309,343841,162585,0
39,2020-05-20 10:15:00,34.7,34.7,34.7,34.7,99348,341245,160519,0
40,2020-05-20 10:21:00,34.55,34.55,34.55,34.55,111546,346201,149272,0
41,2020-05-20 10:24:00,34.6,34.6,34.6,34.6,102355,347247,151333,0
42,2020-05-20 10:26:00,34.35,34.35,34.35,34.35,112414,331148,210520,0
43,2020-05-20 10:28:00,34.6,34.6,34.6,34.6,147608,353279,163637,0
44,2020-05-20 10:29:00,34.35,34.4,34.35,34.4,113415,677414,388242,0
45,2020-05-20 10:30:00,34.4,34.4,34.4,34.4,113582,339720,200292,0
46,2020-05-20 10:31:00,34.45,34.45,34.45,34.45,158283,336123,203530,0
47,2020-05-20 10:34:00,34.5,34.5,34.4,34.4,126801,1013529,517199,0
48,2020-05-20 10:36:00,34.4,34.4,34.4,34.4,131445,343285,173007,0
49,2020-05-20 10:39:00,34.45,34.45,34.45,34.45,164666,345256,172606,0
50,2020-05-20 10:40:00,34.4,34.4,34.4,34.4,162642,342255,193248,0
51,2020-05-20 10:52:00,34.35,34.35,34.35,34.35,149641,346884,197713,0
52,2020-05-20 10:54:00,34.35,34.35,34.3,34.3,170071,695646,398783,0
53,2020-05-20 10:55:00,34.35,34.35,34.35,34.35,172261,350134,200760,0
54,2020-05-20 10:58:00,34.35,34.35,34.35,34.35,157327,357452,198818,0
55,2020-05-20 11:01:00,34.35,34.35,34.35,34.35,156010,357663,199492,0
56,2020-05-20 11:07:00,34.45,34.45,34.45,34.45,183850,362163,194726,0
57,2020-05-20 11:13:00,34.4,34.4,34.4,34.4,193521,366936,196923,0
58,2020-05-20 11:16:00,34.45,34.45,34.45,34.45,167852,369124,199330,0
59,2020-05-20 11:30:00,34.5,34.5,34.5,34.5,191943,370083,200659,0
60,2020-05-20 11:31:00,34.35,34.35,34.35,34.35,218136,370407,200741,0
61,2020-05-20 11:32:00,34.4,34.4,34.4,34.4,195488,374170,199946,0
62,2020-05-20 11:36:00,34.4,34.4,34.4,34.4,170928,375297,203426,0
63,2020-05-20 11:42:00,34.45,34.45,34.45,34.45,200470,384902,202433,0
64,2020-05-20 11:43:00,34.5,34.5,34.5,34.5,225281,384879,203233,0
65,2020-05-20 11:50:00,34.4,34.4,34.4,34.4,202975,383289,210294,0
66,2020-05-20 11:51:00,34.45,34.45,34.45,34.45,183590,383657,210215,0
67,2020-05-20 12:06:00,34.45,34.45,34.45,34.45,232606,773082,430172,0
68,2020-05-20 12:08:00,34.4,34.4,34.4,34.4,233056,386512,218897,0
69,2020-05-20 12:16:00,34.35,34.35,34.35,34.35,200928,386631,222030,0
70,2020-05-20 12:17:00,34.3,34.3,34.3,34.3,200895,387774,224629,0
71,2020-05-20 12:24:00,34.5,34.5,34.5,34.5,240484,404748,217671,0
72,2020-05-20 12:27:00,34.55,34.55,34.55,34.55,247676,400552,217840,0
73,2020-05-20 12:30:00,34.5,34.5,34.5,34.5,208295,399719,217757,0
74,2020-05-20 12:31:00,34.4,34.4,34.4,34.4,201604,399550,219398,0
75,2020-05-20 12:36:00,34.35,34.35,34.35,34.35,243066,397374,224713,0
76,2020-05-20 12:38:00,34.4,34.4,34.4,34.4,255749,395577,225804,0
77,2020-05-20 12:39:00,34.4,34.4,34.4,34.4,228994,397731,222582,0
78,2020-05-20 12:43:00,34.4,34.4,34.4,34.4,217347,395228,222535,0
