,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,109.85,109.85,109.85,109.85,0,143426,297932,0
1,2020-05-20 09:07:00,109.85,109.85,109.85,109.85,0,153214,324351,0
2,2020-05-20 09:08:00,109.85,109.85,109.85,109.85,27770,126458,301797,0
3,2020-05-20 09:11:00,109.85,109.85,109.85,109.85,27770,126458,301797,0
4,2020-05-20 09:14:00,109.85,109.85,109.85,109.85,0,126458,301797,0
5,2020-05-20 09:15:00,109.5,109.5,109.5,109.5,0,126458,301797,0
6,2020-05-20 09:17:00,111.2,111.2,111.2,111.2,533568,646267,741873,0
7,2020-05-20 09:18:00,110.85,110.85,110.85,110.85,701153,628124,846267,0
8,2020-05-20 09:20:00,111.05,111.5,111.05,111.5,342598,1585847,1841172,0
9,2020-05-20 09:21:00,111.8,111.8,111.8,111.8,527439,837004,913439,0
10,2020-05-20 09:22:00,111.85,111.85,111.85,111.85,981350,880350,997933,0
11,2020-05-20 09:23:00,111.4,111.5,111.4,111.5,536950,1799805,2191253,0
12,2020-05-20 09:24:00,111.4,111.4,111.1,111.1,1058460,1789902,2327404,0
13,2020-05-20 09:26:00,110.55,110.55,110.55,110.55,1293138,786017,1283704,0
14,2020-05-20 09:27:00,111.0,111.0,111.0,111.0,917561,820226,1266694,0
15,2020-05-20 09:28:00,110.8,110.8,110.8,110.8,1124342,1820188,2663208,0
16,2020-05-20 09:29:00,110.9,110.9,110.5,110.5,1104229,1827911,2797687,0
17,2020-05-20 09:30:00,110.5,110.5,110.5,110.5,1131992,919423,1458010,0
18,2020-05-20 09:31:00,110.35,110.35,110.3,110.3,1222545,2251812,3238410,0
19,2020-05-20 09:32:00,110.85,110.85,110.65,110.65,1354395,2526535,3328531,0
20,2020-05-20 09:33:00,110.75,110.75,110.75,110.75,1384714,1297473,1730045,0
21,2020-05-20 09:34:00,110.9,110.9,110.9,110.9,1312503,1335406,1736651,0
22,2020-05-20 09:35:00,110.6,110.65,110.6,110.65,1469188,2665038,3642159,0
23,2020-05-20 09:36:00,110.8,110.8,110.65,110.65,1345455,4050226,5489495,0
24,2020-05-20 09:37:00,110.55,110.55,110.55,110.55,1347044,1368024,1836985,0
25,2020-05-20 09:38:00,110.75,110.75,110.75,110.75,1490534,1365706,1843067,0
26,2020-05-20 09:39:00,111.1,111.1,111.1,111.1,1593122,1411514,1778987,0
27,2020-05-20 09:40:00,110.9,110.9,110.9,110.9,1530688,1485040,1809489,0
28,2020-05-20 09:41:00,111.1,111.1,111.1,111.1,1549125,2988875,3730099,0
29,2020-05-20 09:42:00,110.75,110.75,110.75,110.75,1588759,1444455,1892977,0
30,2020-05-20 09:43:00,110.75,110.75,110.75,110.75,1635875,1458365,1891319,0
31,2020-05-20 09:44:00,110.85,110.85,110.85,110.85,1613505,1488026,1887387,0
32,2020-05-20 09:45:00,111.1,111.1,111.1,111.1,1593766,1526167,1868681,0
33,2020-05-20 09:46:00,110.95,110.95,110.95,110.95,1666360,1509992,1900514,0
34,2020-05-20 09:47:00,111.15,111.15,111.15,111.15,1714978,1553038,2028194,0
35,2020-05-20 09:48:00,111.25,111.25,111.25,111.25,1705718,1582271,1967080,0
36,2020-05-20 09:49:00,111.3,111.3,111.3,111.3,1794426,1672713,1900566,0
37,2020-05-20 09:51:00,111.35,111.35,111.35,111.35,1971704,1709770,1836219,0
38,2020-05-20 09:53:00,111.25,111.25,111.25,111.25,2006429,1655342,1900359,0
39,2020-05-20 09:55:00,111.5,111.5,111.5,111.5,2005170,1686647,1857523,0
40,2020-05-20 09:58:00,111.3,111.3,111.3,111.3,2106812,1661957,1941294,0
41,2020-05-20 09:59:00,111.55,111.55,111.55,111.55,2177097,1687215,1941006,0
42,2020-05-20 10:00:00,111.6,111.6,111.6,111.6,2167398,1720937,2058169,0
43,2020-05-20 10:01:00,111.9,111.9,111.9,111.9,2381084,1747061,1815039,0
44,2020-05-20 10:02:00,111.8,111.85,111.8,111.85,2249555,3544667,3646394,0
45,2020-05-20 10:03:00,111.7,111.7,111.65,111.65,2487336,3454608,3625684,0
46,2020-05-20 10:08:00,111.0,111.0,111.0,111.0,2885699,1471286,2067803,0
47,2020-05-20 10:09:00,110.65,110.65,110.65,110.65,2808055,1337259,2150262,0
48,2020-05-20 10:10:00,111.0,111.0,111.0,111.0,2461557,1408360,2138311,0
49,2020-05-20 10:11:00,110.65,110.65,110.65,110.65,2605722,1427097,2208666,0
50,2020-05-20 10:12:00,110.7,110.7,110.7,110.7,3036762,1415795,2202905,0
51,2020-05-20 10:13:00,110.65,110.65,110.65,110.65,2917234,1422444,2219510,0
52,2020-05-20 10:14:00,110.7,110.7,110.7,110.7,2525499,1433745,2205598,0
53,2020-05-20 10:15:00,110.8,110.8,110.8,110.8,2665915,1441689,2255670,0
54,2020-05-20 10:16:00,110.6,110.6,110.6,110.6,3152934,1386749,2284684,0
55,2020-05-20 10:17:00,110.35,110.35,110.35,110.35,2634920,2630632,4658131,0
56,2020-05-20 10:19:00,110.55,110.55,110.55,110.55,2727268,1363051,2337779,0
57,2020-05-20 10:20:00,110.5,110.5,110.5,110.5,3292303,1393573,2332778,0
58,2020-05-20 10:21:00,110.2,110.2,110.2,110.2,3260475,1336386,2392718,0
59,2020-05-20 10:22:00,109.9,109.9,109.9,109.9,2875727,1156087,2421086,0
60,2020-05-20 10:24:00,110.45,110.45,110.45,110.45,3008195,1335541,2363473,0
61,2020-05-20 10:26:00,110.1,110.1,110.1,110.1,3464193,1282755,3222586,0
62,2020-05-20 10:27:00,110.1,110.1,110.0,110.0,2963432,2560877,6492311,0
63,2020-05-20 10:28:00,110.0,110.0,110.0,110.0,3488677,2610821,6522208,0
64,2020-05-20 10:30:00,110.05,110.05,110.05,110.05,3611481,1309793,3275825,0
65,2020-05-20 10:31:00,109.55,109.7,109.55,109.7,3091856,2424909,6642730,0
66,2020-05-20 10:32:00,109.8,110.0,109.8,110.0,3694990,2543336,6566084,0
67,2020-05-20 10:33:00,110.0,110.0,110.0,110.0,3717420,1323657,3253643,0
68,2020-05-20 10:35:00,110.4,110.4,110.4,110.4,3232766,1436824,4059432,0
69,2020-05-20 10:36:00,110.55,110.55,110.55,110.55,3346014,1510293,3931504,0
70,2020-05-20 10:37:00,110.5,110.5,110.5,110.5,3898390,1539648,3903734,0
71,2020-05-20 10:39:00,110.3,110.3,110.3,110.3,3853025,1498796,4009831,0
72,2020-05-20 10:42:00,110.5,110.5,110.3,110.3,3398945,3049493,8068645,0
