,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,604.3,604.3,604.3,604.3,0,10534,10689,0
1,2020-05-20 09:07:00,604.3,604.3,604.3,604.3,0,10540,10839,0
2,2020-05-20 09:17:00,606.65,606.8,606.65,606.75,880,60719,64830,0
3,2020-05-20 09:18:00,606.75,606.75,606.75,606.75,648,44393,51652,0
4,2020-05-20 09:19:00,606.05,606.05,606.05,606.05,739,23062,28858,0
5,2020-05-20 09:24:00,606.55,606.55,606.55,606.55,3228,32791,37360,0
6,2020-05-20 09:25:00,607.0,607.0,607.0,607.0,3591,32893,36803,0
7,2020-05-20 09:26:00,606.7,606.7,606.7,606.7,2532,33237,36790,0
8,2020-05-20 09:27:00,607.65,607.65,607.65,607.65,2554,33135,37984,0
9,2020-05-20 09:29:00,606.25,606.25,606.25,606.25,3954,33292,38417,0
10,2020-05-20 09:30:00,607.4,607.4,607.4,607.4,3951,33900,38367,0
11,2020-05-20 09:31:00,607.3,607.3,607.3,607.3,2643,34158,38830,0
12,2020-05-20 09:32:00,608.5,609.2,608.5,609.2,5520,114715,116921,0
13,2020-05-20 09:33:00,609.2,609.2,609.2,609.2,5564,40520,39465,0
14,2020-05-20 09:34:00,609.1,609.1,609.1,609.1,3606,40726,40389,0
15,2020-05-20 09:35:00,609.1,609.1,609.1,609.1,3648,41048,40465,0
16,2020-05-20 09:36:00,609.0,609.0,609.0,609.0,6238,41324,40738,0
17,2020-05-20 09:37:00,609.9,609.9,609.9,609.9,4068,83246,81320,0
18,2020-05-20 09:39:00,611.35,611.35,611.35,611.35,9930,42462,35849,0
19,2020-05-20 09:43:00,612.15,612.15,612.15,612.15,15042,43815,39793,0
20,2020-05-20 09:44:00,612.0,612.25,612.0,612.25,4143,88229,80566,0
21,2020-05-20 09:45:00,612.4,612.4,612.4,612.4,4398,44673,40154,0
22,2020-05-20 09:46:00,612.15,612.15,612.15,612.15,15456,44778,40285,0
23,2020-05-20 09:50:00,611.0,611.0,610.95,610.95,6524,87921,83173,0
24,2020-05-20 09:51:00,610.75,610.75,610.75,610.75,6574,43976,41619,0
25,2020-05-20 09:52:00,609.75,609.75,609.75,609.75,16779,43499,43421,0
26,2020-05-20 09:53:00,609.9,609.9,609.9,609.9,17043,43567,43364,0
27,2020-05-20 09:56:00,610.95,610.95,610.95,610.95,7379,44402,43900,0
28,2020-05-20 09:57:00,610.95,610.95,610.95,610.95,7160,44402,43880,0
