,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,4.35,4.35,4.35,4.35,0,99917,84753,0
1,2020-05-20 09:08:00,4.35,4.35,4.35,4.35,0,99717,84553,0
2,2020-05-20 09:11:00,4.35,4.35,4.35,4.35,200,99717,84553,0
3,2020-05-20 09:14:00,4.35,4.35,4.35,4.35,200,99717,84553,0
4,2020-05-20 09:15:00,4.35,4.35,4.35,4.35,1371,120347,95302,0
5,2020-05-20 09:17:00,4.35,4.35,4.35,4.35,1973,122502,91173,0
6,2020-05-20 09:24:00,4.4,4.4,4.4,4.4,8527,202670,103554,0
7,2020-05-20 09:28:00,4.35,4.35,4.35,4.35,9415,219272,104864,0
8,2020-05-20 09:32:00,4.35,4.35,4.35,4.35,4861,232352,103649,0
9,2020-05-20 09:37:00,4.4,4.4,4.4,4.4,72642,219831,141356,0
10,2020-05-20 09:38:00,4.4,4.4,4.4,4.4,77447,233731,142205,0
11,2020-05-20 09:43:00,4.25,4.25,4.25,4.25,91267,168089,191116,0
12,2020-05-20 09:51:00,4.3,4.3,4.3,4.3,156747,192568,194544,0
13,2020-05-20 09:53:00,4.3,4.3,4.3,4.3,145227,192368,183109,0
14,2020-05-20 10:22:00,4.35,4.35,4.35,4.35,105515,239868,175293,0
15,2020-05-20 10:33:00,4.25,4.25,4.25,4.25,122555,252403,178659,0
16,2020-05-20 10:45:00,4.45,4.45,4.45,4.45,278908,365472,60908,0
17,2020-05-20 10:46:00,4.45,4.45,4.45,4.45,105515,732964,124816,0
18,2020-05-20 11:07:00,4.45,4.45,4.45,4.45,185645,402087,89303,0
19,2020-05-20 11:24:00,4.5,4.5,4.5,4.5,367958,377767,90768,0
20,2020-05-20 11:30:00,4.55,4.55,4.55,4.55,329708,400467,66307,0
21,2020-05-20 11:32:00,4.55,4.55,4.55,4.55,147605,425550,67597,0
22,2020-05-20 11:35:00,4.5,4.5,4.5,4.5,198470,418290,68062,0
23,2020-05-20 11:56:00,4.45,4.45,4.45,4.45,401451,423807,57574,0
24,2020-05-20 12:05:00,4.45,4.45,4.45,4.45,352450,412397,89280,0
25,2020-05-20 12:27:00,4.45,4.45,4.45,4.45,179530,395800,94550,0
26,2020-05-20 12:38:00,4.45,4.45,4.45,4.45,229341,429847,155909,0
27,2020-05-20 13:12:00,4.45,4.45,4.45,4.45,420651,447240,150196,0
28,2020-05-20 13:24:00,4.45,4.45,4.45,4.45,379582,440290,152704,0
29,2020-05-20 13:25:00,4.45,4.45,4.45,4.45,188503,440290,152473,0
30,2020-05-20 13:26:00,4.45,4.45,4.45,4.45,229573,440290,157472,0
31,2020-05-20 14:15:00,4.5,4.5,4.5,4.5,435791,422209,148183,0
32,2020-05-20 14:27:00,4.45,4.45,4.45,4.45,400130,420747,139138,0
33,2020-05-20 14:49:00,4.5,4.5,4.5,4.5,198769,420519,130122,0
34,2020-05-20 14:50:00,4.5,4.5,4.5,4.5,234455,420360,130097,0
35,2020-05-20 15:12:00,4.45,4.45,4.45,4.45,445762,396408,88249,0
36,2020-05-20 15:26:00,4.45,4.45,4.45,4.45,453208,380199,51443,0
