,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,20.7,20.7,20.7,20.7,0,182042,361506,0
1,2020-05-20 09:07:00,20.7,20.7,20.7,20.7,0,187067,364106,0
2,2020-05-20 09:17:00,20.75,20.75,20.75,20.75,4679,237864,397315,0
3,2020-05-20 09:18:00,20.75,20.75,20.75,20.75,6082,252098,403337,0
4,2020-05-20 09:19:00,20.75,20.75,20.75,20.75,1463,252298,412406,0
5,2020-05-20 09:20:00,20.8,20.8,20.8,20.8,456,265662,413178,0
6,2020-05-20 09:25:00,20.8,20.8,20.8,20.8,5893,301034,418528,0
7,2020-05-20 09:29:00,20.8,20.8,20.8,20.8,8725,317644,430539,0
8,2020-05-20 09:31:00,20.75,20.75,20.75,20.75,7666,969740,1321061,0
9,2020-05-20 09:32:00,20.75,20.75,20.75,20.75,9072,329503,441095,0
10,2020-05-20 09:33:00,20.75,20.75,20.75,20.75,10296,331314,441955,0
11,2020-05-20 09:34:00,20.75,20.75,20.75,20.75,9027,331670,443318,0
12,2020-05-20 09:36:00,20.7,20.7,20.7,20.7,8310,438311,450302,0
13,2020-05-20 09:38:00,20.7,20.7,20.7,20.7,11244,460703,448689,0
14,2020-05-20 09:40:00,20.75,20.75,20.75,20.75,14250,484668,449000,0
15,2020-05-20 09:48:00,20.75,20.75,20.75,20.75,16662,502486,451324,0
16,2020-05-20 09:49:00,20.75,20.75,20.75,20.75,13806,423343,451315,0
17,2020-05-20 09:52:00,20.7,20.7,20.7,20.7,12098,425040,450247,0
18,2020-05-20 09:55:00,20.7,20.7,20.7,20.7,21613,429320,452406,0
19,2020-05-20 10:02:00,20.7,20.7,20.7,20.7,30716,391495,456567,0
20,2020-05-20 10:52:00,20.7,20.7,20.7,20.7,50274,536576,472994,0
21,2020-05-20 10:55:00,20.75,20.75,20.75,20.75,42839,535406,472232,0
22,2020-05-20 11:22:00,20.8,20.8,20.8,20.8,35861,545302,505690,0
23,2020-05-20 11:23:00,20.8,20.8,20.8,20.8,43938,546233,505048,0
24,2020-05-20 11:39:00,20.75,20.75,20.75,20.75,54774,451352,509513,0
25,2020-05-20 11:46:00,20.8,20.8,20.8,20.8,51490,459869,522610,0
26,2020-05-20 12:06:00,20.75,20.75,20.75,20.75,54213,463879,536334,0
27,2020-05-20 12:38:00,20.8,20.8,20.8,20.8,67237,482730,541793,0
28,2020-05-20 12:44:00,20.75,20.75,20.75,20.75,66154,485816,540485,0
29,2020-05-20 12:52:00,20.8,20.8,20.8,20.8,55958,478781,541448,0
30,2020-05-20 13:01:00,20.8,20.8,20.8,20.8,60710,478556,542750,0
31,2020-05-20 13:38:00,20.8,20.8,20.8,20.8,86484,463639,542662,0
32,2020-05-20 13:49:00,20.8,20.8,20.8,20.8,83889,479290,534651,0
33,2020-05-20 14:39:00,20.85,20.85,20.85,20.85,108439,517055,528257,0
34,2020-05-20 14:41:00,20.85,20.85,20.85,20.85,117963,510256,540748,0
35,2020-05-20 14:43:00,20.85,20.85,20.85,20.85,93413,508956,540834,0
36,2020-05-20 14:50:00,20.85,20.85,20.85,20.85,88309,504081,538462,0
37,2020-05-20 14:51:00,20.8,20.8,20.8,20.8,113640,507114,538122,0
38,2020-05-20 15:00:00,20.85,20.85,20.85,20.85,122212,506534,532710,0
39,2020-05-20 15:10:00,20.85,20.85,20.85,20.85,100396,501676,533430,0
40,2020-05-20 15:13:00,20.85,20.85,20.85,20.85,95685,495460,533611,0
41,2020-05-20 15:15:00,20.85,20.85,20.85,20.85,119236,500199,532876,0
42,2020-05-20 15:28:00,20.75,20.75,20.75,20.75,196842,454402,536883,0
43,2020-05-20 15:30:00,20.7,20.7,20.7,20.7,191637,439563,533445,0
