,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1405.0,1405.0,1405.0,1405.0,0,1814,704,0
1,2020-05-20 09:18:00,1408.4,1408.4,1408.4,1408.4,0,5813,2764,0
2,2020-05-20 09:21:00,1414.55,1414.55,1414.55,1414.55,94,6996,3604,0
3,2020-05-20 09:44:00,1414.3,1414.3,1414.3,1414.3,512,19136,13403,0
4,2020-05-20 10:01:00,1426.05,1426.05,1425.55,1425.55,700,45512,31097,0
5,2020-05-20 10:03:00,1425.8,1425.8,1425.8,1425.8,832,22701,15704,0
6,2020-05-20 10:04:00,1415.05,1415.05,1415.05,1415.05,664,22675,15883,0
7,2020-05-20 10:09:00,1415.0,1415.0,1415.0,1415.0,555,22620,16003,0
8,2020-05-20 10:19:00,1415.0,1415.0,1415.0,1415.0,794,27804,19791,0
9,2020-05-20 10:35:00,1412.0,1412.0,1412.0,1412.0,1022,30012,20072,0
10,2020-05-20 10:36:00,1412.0,1412.0,1412.0,1412.0,791,31915,24674,0
11,2020-05-20 10:47:00,1411.05,1411.05,1411.05,1411.05,632,31904,24724,0
12,2020-05-20 10:48:00,1411.05,1411.05,1411.05,1411.05,863,31900,24722,0
13,2020-05-20 11:02:00,1411.0,1411.0,1411.0,1411.0,1118,31919,24744,0
14,2020-05-20 11:18:00,1408.0,1408.0,1408.0,1408.0,1081,31930,24870,0
15,2020-05-20 11:27:00,1410.5,1410.5,1410.5,1410.5,999,31825,24925,0
16,2020-05-20 11:28:00,1404.05,1404.05,1404.05,1404.05,1101,31849,24961,0
17,2020-05-20 11:32:00,1402.25,1402.25,1402.25,1402.25,1334,31287,25228,0
18,2020-05-20 11:57:00,1401.05,1401.05,1401.05,1401.05,1515,33166,26496,0
19,2020-05-20 12:06:00,1395.45,1395.45,1395.45,1395.45,16437,60130,54798,0
20,2020-05-20 12:14:00,1395.5,1395.5,1395.5,1395.5,16549,30102,27924,0
21,2020-05-20 12:27:00,1397.5,1397.5,1397.5,1397.5,1844,31444,27933,0
22,2020-05-20 12:28:00,1396.0,1396.0,1396.0,1396.0,1742,31430,27933,0
23,2020-05-20 12:58:00,1396.5,1396.5,1396.5,1396.5,16742,29978,27128,0
24,2020-05-20 12:59:00,1399.5,1399.5,1399.5,1399.5,16896,29999,27129,0
25,2020-05-20 13:00:00,1396.55,1396.55,1396.55,1396.55,1941,30004,27154,0
26,2020-05-20 13:01:00,1397.0,1397.0,1397.0,1397.0,1900,30017,27205,0
27,2020-05-20 13:38:00,1397.4,1397.4,1397.4,1397.4,17697,28374,25688,0
28,2020-05-20 13:48:00,1397.35,1397.35,1397.35,1397.35,17860,30183,26955,0
29,2020-05-20 14:09:00,1400.05,1400.05,1400.05,1400.05,9240,29758,26653,0
30,2020-05-20 14:10:00,1400.05,1400.15,1400.05,1400.15,17705,59499,53411,0
31,2020-05-20 14:12:00,1400.15,1400.15,1400.1,1400.1,9250,59466,53410,0
32,2020-05-20 14:23:00,1400.2,1400.2,1400.2,1400.2,9363,29772,26676,0
33,2020-05-20 14:25:00,1400.25,1400.25,1400.25,1400.25,17830,29766,26661,0
34,2020-05-20 14:35:00,1400.4,1400.4,1400.4,1400.4,17815,30009,26661,0
35,2020-05-20 14:46:00,1401.0,1401.0,1401.0,1401.0,9426,31107,27255,0
36,2020-05-20 14:50:00,1397.35,1397.35,1397.35,1397.35,12750,30550,27368,0
37,2020-05-20 14:51:00,1397.3,1397.3,1397.3,1397.3,21179,30544,27296,0
38,2020-05-20 14:55:00,1397.5,1397.5,1397.5,1397.5,17948,30715,27155,0
39,2020-05-20 14:56:00,1397.0,1397.0,1397.0,1397.0,9753,30526,27178,0
40,2020-05-20 15:04:00,1388.0,1388.05,1388.0,1388.05,22286,59215,16203,0
41,2020-05-20 15:09:00,1390.0,1390.0,1390.0,1390.0,22613,30729,6371,0
42,2020-05-20 15:10:00,1388.05,1388.05,1388.05,1388.05,10127,30700,6387,0
43,2020-05-20 15:11:00,1388.05,1388.05,1388.05,1388.05,9827,30712,6419,0
44,2020-05-20 15:13:00,1387.2,1387.2,1387.2,1387.2,22544,30654,6426,0
45,2020-05-20 15:20:00,1400.0,1400.0,1400.0,1400.0,23857,32196,5885,0
46,2020-05-20 15:21:00,1400.25,1400.25,1400.25,1400.25,11342,32404,7675,0
47,2020-05-20 15:23:00,1400.1,1400.1,1400.1,1400.1,10159,31519,6491,0
48,2020-05-20 15:24:00,1402.0,1402.0,1402.0,1402.0,22759,9467,4501,0
49,2020-05-20 15:29:00,1404.95,1404.95,1404.95,1404.95,24363,9057,3657,0
