,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,201.85,201.85,201.85,201.85,0,6133,11852,0
1,2020-05-20 09:08:00,201.0,201.0,201.0,201.0,0,6052,11831,0
2,2020-05-20 09:11:00,201.0,201.0,201.0,201.0,121,6052,11831,0
3,2020-05-20 09:14:00,201.0,201.0,201.0,201.0,121,6052,11831,0
4,2020-05-20 09:16:00,204.0,204.0,204.0,204.0,137,6335,8683,0
5,2020-05-20 09:18:00,202.25,202.25,202.25,202.25,639,6567,9932,0
6,2020-05-20 09:19:00,201.25,201.25,201.25,201.25,1219,6636,11049,0
7,2020-05-20 09:21:00,201.35,202.15,201.35,202.15,1832,19864,33591,0
8,2020-05-20 09:22:00,202.15,202.15,202.15,202.15,1833,6646,11228,0
9,2020-05-20 09:23:00,202.0,202.0,202.0,202.0,1444,14574,24507,0
10,2020-05-20 09:24:00,202.0,202.2,202.0,202.2,2093,14466,25372,0
11,2020-05-20 09:27:00,200.5,200.5,200.5,200.5,4070,7313,12655,0
12,2020-05-20 09:28:00,201.3,201.3,201.3,201.3,3837,7221,12840,0
13,2020-05-20 09:30:00,200.5,200.75,200.5,200.75,3066,27126,42688,0
14,2020-05-20 09:31:00,200.75,200.75,200.5,200.5,3946,17987,29385,0
15,2020-05-20 09:32:00,200.25,200.25,200.25,200.25,4234,8944,14935,0
16,2020-05-20 09:34:00,200.25,200.25,200.25,200.25,3374,8977,15114,0
17,2020-05-20 09:35:00,200.5,200.5,200.5,200.5,3136,9184,15771,0
18,2020-05-20 09:37:00,193.1,193.95,193.1,193.95,9805,12618,38882,0
19,2020-05-20 09:38:00,194.95,194.95,194.95,194.95,9977,8411,19106,0
20,2020-05-20 09:39:00,194.6,194.6,194.6,194.6,4410,7915,18881,0
21,2020-05-20 09:40:00,194.0,194.0,194.0,194.0,5123,6466,18615,0
22,2020-05-20 09:41:00,193.35,193.35,193.35,193.35,11024,6389,18989,0
23,2020-05-20 09:42:00,193.8,193.8,193.8,193.8,10815,6618,18982,0
24,2020-05-20 09:43:00,194.25,194.25,194.25,194.25,7130,6676,16128,0
25,2020-05-20 09:44:00,195.45,195.45,194.6,194.6,12004,17261,63980,0
26,2020-05-20 09:45:00,194.35,194.35,194.35,194.35,12430,3096,16348,0
27,2020-05-20 09:46:00,194.35,194.35,194.35,194.35,7368,8229,50292,0
28,2020-05-20 09:48:00,194.05,194.05,194.05,194.05,7970,2499,17145,0
29,2020-05-20 09:49:00,194.3,194.3,194.3,194.3,13419,6125,33694,0
30,2020-05-20 09:51:00,194.25,194.25,194.25,194.25,8064,6106,35818,0
31,2020-05-20 09:52:00,194.3,194.3,194.3,194.3,8104,3250,17973,0
32,2020-05-20 09:53:00,194.3,194.3,194.15,194.15,14232,11240,53902,0
33,2020-05-20 09:54:00,194.65,194.65,194.65,194.65,14281,5046,18015,0
34,2020-05-20 09:55:00,194.85,194.85,194.85,194.85,9652,3862,17131,0
35,2020-05-20 09:56:00,194.3,194.65,194.3,194.65,14352,7947,34338,0
36,2020-05-20 09:59:00,194.45,194.45,194.45,194.45,14704,4269,18167,0
37,2020-05-20 10:02:00,195.35,195.35,195.35,195.35,12091,6520,17199,0
38,2020-05-20 10:07:00,195.5,195.5,195.5,195.5,12262,7434,17448,0
39,2020-05-20 10:15:00,195.45,195.45,195.45,195.45,15454,8247,17675,0
40,2020-05-20 10:16:00,195.05,195.05,195.05,195.05,15361,8168,18382,0
41,2020-05-20 10:18:00,195.05,195.05,195.05,195.05,12269,8826,19029,0
42,2020-05-20 10:23:00,195.45,195.45,195.45,195.45,12873,8835,17784,0
43,2020-05-20 10:37:00,196.5,196.5,196.5,196.5,18261,8613,18406,0
44,2020-05-20 10:39:00,196.45,196.45,196.45,196.45,17760,8644,18360,0
45,2020-05-20 10:41:00,196.35,196.35,196.35,196.35,12464,8805,17402,0
46,2020-05-20 10:43:00,196.25,196.25,196.25,196.25,19066,17038,34883,0
47,2020-05-20 10:44:00,195.75,195.9,195.75,195.9,12666,17488,46707,0
48,2020-05-20 10:45:00,195.55,195.55,195.55,195.55,12668,8788,23450,0
49,2020-05-20 10:50:00,196.05,196.05,196.05,196.05,19538,9877,22517,0
50,2020-05-20 10:52:00,196.1,196.1,196.1,196.1,21225,9169,22567,0
51,2020-05-20 10:54:00,196.2,196.2,196.2,196.2,14410,8855,22585,0
52,2020-05-20 10:57:00,196.15,196.15,196.15,196.15,12785,8971,22585,0
