,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,5.0,5.0,5.0,5.0,0,3164234,1808372,0
1,2020-05-20 09:07:00,5.0,5.0,5.0,5.0,0,3174890,1816772,0
2,2020-05-20 09:08:00,5.1,5.1,5.1,5.1,22944,3152846,1798828,0
3,2020-05-20 09:11:00,5.1,5.1,5.1,5.1,22944,3152846,1798828,0
4,2020-05-20 09:14:00,5.1,5.1,5.1,5.1,0,3152846,1798828,0
5,2020-05-20 09:15:00,5.1,5.1,5.1,5.1,1503,3157446,2055925,0
6,2020-05-20 09:19:00,5.05,5.1,5.05,5.1,315483,6695141,5208419,0
7,2020-05-20 09:21:00,5.05,5.05,5.05,5.05,448524,3317627,2806733,0
8,2020-05-20 09:25:00,5.05,5.05,5.05,5.05,261553,3929964,3048922,0
9,2020-05-20 09:29:00,5.1,5.1,5.05,5.05,436381,7921280,6069874,0
10,2020-05-20 09:30:00,5.05,5.05,5.05,5.05,266416,7997477,6147318,0
11,2020-05-20 09:32:00,5.05,5.1,5.05,5.1,468303,8295742,6233553,0
12,2020-05-20 09:33:00,5.1,5.1,5.1,5.1,469309,4168242,3125160,0
13,2020-05-20 09:34:00,5.05,5.05,5.05,5.05,268203,4173312,3135722,0
14,2020-05-20 09:35:00,5.05,5.1,5.05,5.1,511617,8294166,6275495,0
15,2020-05-20 09:37:00,5.05,5.05,5.05,5.05,378748,8470592,6237137,0
16,2020-05-20 09:39:00,5.1,5.1,5.1,5.1,536470,8558848,6231861,0
17,2020-05-20 09:40:00,5.05,5.05,5.05,5.05,540114,4326771,3573010,0
18,2020-05-20 09:41:00,5.1,5.1,5.1,5.1,383711,4329747,3560679,0
19,2020-05-20 09:42:00,5.1,5.1,5.1,5.1,457998,4172288,3548413,0
20,2020-05-20 09:43:00,5.05,5.1,5.05,5.1,655330,16293868,14252962,0
21,2020-05-20 09:44:00,5.1,5.1,5.1,5.1,655620,4083222,3569543,0
22,2020-05-20 09:46:00,5.05,5.05,5.05,5.05,692550,3983386,4122731,0
23,2020-05-20 09:47:00,5.0,5.05,5.0,5.05,671808,12246598,12380903,0
24,2020-05-20 09:48:00,5.0,5.05,5.0,5.0,695386,12379400,12427466,0
25,2020-05-20 09:49:00,5.0,5.0,5.0,5.0,678945,8407982,8374076,0
26,2020-05-20 09:50:00,5.05,5.05,5.0,5.0,704464,8488170,8399882,0
27,2020-05-20 09:51:00,5.05,5.05,5.05,5.05,704721,4286689,4199978,0
28,2020-05-20 09:52:00,5.05,5.05,5.05,5.05,690013,4301319,4301204,0
29,2020-05-20 09:53:00,5.0,5.0,5.0,5.0,693358,4317321,4320049,0
30,2020-05-20 09:54:00,5.0,5.0,5.0,5.0,768781,4266248,4273463,0
31,2020-05-20 09:55:00,5.05,5.05,5.05,5.05,789264,4259864,4264764,0
32,2020-05-20 09:56:00,5.0,5.0,5.0,5.0,707662,8721988,8515055,0
33,2020-05-20 09:57:00,5.0,5.0,5.0,5.0,714875,4488560,4267818,0
34,2020-05-20 09:58:00,5.05,5.05,5.05,5.05,809817,4494594,4264538,0
35,2020-05-20 09:59:00,5.05,5.05,5.0,5.0,739801,9085580,8551256,0
36,2020-05-20 10:01:00,5.05,5.05,5.05,5.05,747869,4690670,4271730,0
37,2020-05-20 10:03:00,5.05,5.05,5.0,5.0,828312,9384461,8522721,0
38,2020-05-20 10:05:00,5.0,5.0,5.0,5.0,835358,4737911,4253673,0
39,2020-05-20 10:07:00,5.0,5.0,5.0,5.0,793620,4689257,4504260,0
40,2020-05-20 10:11:00,5.05,5.05,5.05,5.05,981013,4702402,4420683,0
41,2020-05-20 10:12:00,5.05,5.05,5.0,5.0,848202,9341520,8854677,0
42,2020-05-20 10:14:00,5.05,5.05,5.05,5.05,873550,4703205,4413621,0
43,2020-05-20 10:16:00,5.0,5.0,5.0,5.0,1032647,5028300,4373429,0
44,2020-05-20 10:17:00,5.0,5.0,5.0,5.0,1011663,5052540,4372939,0
45,2020-05-20 10:18:00,5.05,5.05,5.05,5.05,863804,5192533,4401294,0
46,2020-05-20 10:19:00,5.05,5.05,5.05,5.05,885934,5192022,4400342,0
47,2020-05-20 10:21:00,5.05,5.05,5.05,5.05,1094930,5622339,4612435,0
48,2020-05-20 10:22:00,5.05,5.05,5.05,5.05,1072834,5624767,4612424,0
49,2020-05-20 10:23:00,5.0,5.0,5.0,5.0,914334,5633678,4591526,0
50,2020-05-20 10:24:00,5.05,5.05,5.05,5.05,989354,5598227,4541384,0
51,2020-05-20 10:27:00,5.0,5.0,5.0,5.0,1192870,5751591,4554881,0
52,2020-05-20 10:28:00,5.0,5.0,5.0,5.0,918339,11518751,9108372,0
53,2020-05-20 10:29:00,5.0,5.05,5.0,5.05,1221582,11545779,9070572,0
54,2020-05-20 10:30:00,5.0,5.0,5.0,5.0,1224337,5773978,4423015,0
55,2020-05-20 10:31:00,5.05,5.05,5.05,5.05,941124,5793438,4526362,0
56,2020-05-20 10:33:00,5.0,5.0,5.0,5.0,1229001,11654658,9053660,0
57,2020-05-20 10:35:00,5.0,5.05,5.0,5.05,959004,11656884,9093759,0
58,2020-05-20 10:37:00,5.0,5.0,5.0,5.0,1242388,11644732,9068333,0
59,2020-05-20 10:39:00,5.0,5.0,5.0,5.0,1249950,5900040,4509022,0
60,2020-05-20 10:41:00,5.0,5.0,5.0,5.0,970458,5908103,4503572,0
61,2020-05-20 10:42:00,5.0,5.0,5.0,5.0,1063024,5795627,4206335,0
62,2020-05-20 10:43:00,5.0,5.0,5.0,5.0,1347139,5794305,4207925,0
63,2020-05-20 10:44:00,5.0,5.0,5.0,5.0,977977,17586364,12622099,0
64,2020-05-20 10:47:00,5.05,5.05,5.0,5.0,1356279,11907641,8571608,0
65,2020-05-20 10:48:00,5.05,5.05,5.05,5.05,1357924,5962421,4284308,0
66,2020-05-20 10:49:00,5.0,5.0,5.0,5.0,1018101,17976216,12812547,0
67,2020-05-20 10:50:00,5.0,5.0,5.0,5.0,1024405,5994886,4249383,0
68,2020-05-20 10:51:00,5.1,5.1,5.05,5.05,1973624,12921825,7336436,0
69,2020-05-20 10:52:00,5.1,5.1,5.1,5.1,1979049,6541943,3761032,0
70,2020-05-20 10:54:00,5.05,5.05,5.05,5.05,1105940,6828672,3751836,0
71,2020-05-20 10:55:00,5.1,5.1,5.1,5.1,1108345,6928806,3746927,0
72,2020-05-20 10:57:00,5.05,5.05,5.05,5.05,1991077,6953227,3726666,0
73,2020-05-20 10:58:00,5.05,5.05,5.05,5.05,2005213,7003446,3752447,0
74,2020-05-20 10:59:00,5.1,5.1,5.1,5.1,1122813,7001992,3792120,0
75,2020-05-20 11:01:00,5.05,5.05,5.05,5.05,1114675,7008925,3880599,0
76,2020-05-20 11:02:00,5.1,5.1,5.1,5.1,2000286,7019719,3881020,0
77,2020-05-20 11:05:00,5.05,5.05,5.05,5.05,2013728,6902072,3885387,0
78,2020-05-20 11:06:00,5.05,5.05,5.05,5.05,1129917,6909374,3886112,0
79,2020-05-20 11:07:00,5.05,5.05,5.05,5.05,2015545,13814089,7790595,0
80,2020-05-20 11:08:00,5.1,5.1,5.05,5.05,1130180,13852699,7791995,0
81,2020-05-20 11:11:00,5.05,5.05,5.05,5.05,1150746,7148807,3884506,0
82,2020-05-20 11:12:00,5.05,5.05,5.05,5.05,2047390,7151559,3897223,0
83,2020-05-20 11:13:00,5.05,5.05,5.05,5.05,2031068,7156272,3895541,0
84,2020-05-20 11:14:00,5.05,5.05,5.05,5.05,1147561,7133330,3904059,0
85,2020-05-20 11:15:00,5.05,5.05,5.05,5.05,2062140,21482430,11710677,0
86,2020-05-20 11:16:00,5.1,5.1,5.1,5.1,2068297,7162318,3897484,0
87,2020-05-20 11:21:00,5.05,5.05,5.05,5.05,1188221,7146781,3898312,0
88,2020-05-20 11:22:00,5.05,5.05,5.05,5.05,1183442,7147956,3898309,0
89,2020-05-20 11:23:00,5.05,5.05,5.05,5.05,2069777,7155612,3898028,0
90,2020-05-20 11:24:00,5.05,5.05,5.05,5.05,2074629,7153170,3912094,0
91,2020-05-20 11:25:00,5.05,5.05,5.05,5.05,1194347,7178665,3925038,0
92,2020-05-20 11:26:00,5.05,5.05,5.05,5.05,2071977,14360317,7850234,0
93,2020-05-20 11:29:00,5.05,5.05,5.05,5.05,2096480,7237500,3914950,0
94,2020-05-20 11:31:00,5.05,5.05,5.05,5.05,1242971,7218924,3900471,0
95,2020-05-20 11:33:00,5.05,5.1,5.05,5.1,2139252,21438628,11651309,0
96,2020-05-20 11:34:00,5.05,5.05,5.05,5.05,1267851,21369464,11649901,0
97,2020-05-20 11:35:00,5.05,5.1,5.05,5.1,2180025,21321651,11646011,0
98,2020-05-20 11:37:00,5.1,5.1,5.1,5.1,1278268,21216939,11641699,0
99,2020-05-20 11:38:00,5.05,5.1,5.05,5.1,2180330,14142240,7760957,0
100,2020-05-20 11:39:00,5.05,5.05,5.05,5.05,2201949,7072592,3890200,0
101,2020-05-20 11:41:00,5.05,5.05,5.05,5.05,1364788,7066929,3889724,0
102,2020-05-20 11:43:00,5.1,5.1,5.1,5.1,1374914,7262866,3906000,0
103,2020-05-20 11:45:00,5.05,5.05,5.05,5.05,2261548,7259084,3875923,0
104,2020-05-20 11:46:00,5.1,5.1,5.1,5.1,2252130,7282676,3878868,0
105,2020-05-20 11:48:00,5.05,5.05,5.05,5.05,1392049,7318775,3913517,0
106,2020-05-20 11:50:00,5.05,5.05,5.05,5.05,1460468,7278592,3930326,0
107,2020-05-20 11:51:00,5.05,5.05,5.05,5.05,2320553,7271618,3921297,0
108,2020-05-20 11:52:00,5.1,5.1,5.05,5.05,1473604,14611954,7663948,0
109,2020-05-20 11:53:00,5.05,5.1,5.05,5.1,2320665,14602114,7674339,0
110,2020-05-20 11:54:00,5.05,5.05,5.05,5.05,2376108,7242073,3902511,0
111,2020-05-20 11:55:00,5.1,5.1,5.1,5.1,1536433,7242751,3901115,0
112,2020-05-20 11:56:00,5.1,5.1,5.1,5.1,1502511,7228978,3897838,0
113,2020-05-20 11:57:00,5.05,5.05,5.05,5.05,2385648,14446608,7791017,0
114,2020-05-20 12:00:00,5.05,5.05,5.05,5.05,2413219,7216617,3909241,0
115,2020-05-20 12:01:00,5.05,5.05,5.05,5.05,1956433,6417886,4264376,0
116,2020-05-20 12:02:00,5.0,5.0,5.0,5.0,2235889,5957724,4936842,0
117,2020-05-20 12:03:00,5.0,5.0,5.0,5.0,2485585,11831704,9460880,0
118,2020-05-20 12:04:00,5.0,5.0,5.0,5.0,2485615,5975265,4716407,0
119,2020-05-20 12:05:00,5.0,5.0,5.0,5.0,2236680,5966427,4741887,0
120,2020-05-20 12:06:00,5.0,5.0,5.0,5.0,2594276,11936997,9462659,0
121,2020-05-20 12:07:00,5.0,5.0,5.0,5.0,2238211,11963668,9480751,0
122,2020-05-20 12:08:00,5.0,5.05,5.0,5.05,2618988,17905607,14222917,0
123,2020-05-20 12:09:00,5.05,5.05,5.05,5.05,2624794,5979727,4760617,0
124,2020-05-20 12:10:00,5.05,5.05,5.05,5.05,2246824,5983593,4760185,0
