,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,41.2,41.2,41.2,41.2,0,653412,449999,0
1,2020-05-20 09:15:00,40.3,40.3,40.3,40.3,0,158483,166778,0
2,2020-05-20 09:16:00,39.75,39.75,39.75,39.75,219256,187506,206863,0
3,2020-05-20 09:17:00,40.15,40.3,40.15,40.3,189225,403117,397490,0
4,2020-05-20 09:18:00,40.5,40.5,40.5,40.5,331206,223711,198085,0
5,2020-05-20 09:19:00,40.8,40.8,40.7,40.7,246880,507246,370409,0
6,2020-05-20 09:20:00,41.2,41.2,41.15,41.15,628389,504244,361251,0
7,2020-05-20 09:21:00,41.25,41.25,41.25,41.25,636072,260065,181517,0
8,2020-05-20 09:22:00,41.25,41.25,41.15,41.15,377175,472885,367801,0
9,2020-05-20 09:23:00,41.0,41.0,41.0,41.0,393263,242732,194227,0
10,2020-05-20 09:24:00,41.15,41.15,41.15,41.15,702999,539895,362948,0
11,2020-05-20 09:25:00,41.15,41.15,41.15,41.15,712980,272506,182666,0
12,2020-05-20 09:27:00,41.3,41.3,41.3,41.3,450421,283889,181851,0
13,2020-05-20 09:28:00,41.45,41.45,41.45,41.45,496150,287410,187358,0
14,2020-05-20 09:29:00,41.35,41.35,41.35,41.35,793175,301069,170843,0
15,2020-05-20 09:30:00,41.4,41.45,41.4,41.45,483380,942994,545059,0
16,2020-05-20 09:31:00,41.45,41.45,41.35,41.4,815188,959561,614647,0
17,2020-05-20 09:32:00,41.4,41.4,41.4,41.4,818911,320411,205011,0
18,2020-05-20 09:33:00,41.1,41.1,41.05,41.05,562567,570401,412128,0
19,2020-05-20 09:34:00,40.85,40.85,40.7,40.85,899334,680270,585471,0
20,2020-05-20 09:35:00,40.6,40.6,40.55,40.55,589533,465894,402459,0
21,2020-05-20 09:36:00,40.25,40.45,40.25,40.4,961637,1063436,815060,0
22,2020-05-20 09:37:00,40.5,40.5,40.5,40.5,961947,279087,199353,0
23,2020-05-20 09:38:00,40.5,40.5,40.5,40.5,620223,837477,200326,0
24,2020-05-20 09:39:00,40.55,40.65,40.55,40.65,994852,1699311,395753,0
25,2020-05-20 09:40:00,40.8,40.8,40.75,40.8,636267,2575038,607490,0
26,2020-05-20 09:41:00,40.8,40.8,40.8,40.8,650152,916139,203384,0
27,2020-05-20 09:42:00,40.8,40.8,40.75,40.75,1041047,1775179,419631,0
28,2020-05-20 09:44:00,40.7,40.7,40.7,40.7,1064699,870387,217618,0
29,2020-05-20 09:45:00,40.75,40.75,40.75,40.75,684590,873881,219570,0
30,2020-05-20 09:47:00,40.75,40.75,40.75,40.75,675101,881979,236325,0
31,2020-05-20 09:48:00,40.7,40.8,40.7,40.8,1096175,2648634,672333,0
32,2020-05-20 09:49:00,40.75,40.75,40.75,40.75,1096175,885307,224371,0
33,2020-05-20 09:50:00,40.8,40.8,40.8,40.8,690116,915285,220951,0
34,2020-05-20 09:51:00,41.0,41.1,41.0,41.1,1176795,2822525,641387,0
35,2020-05-20 09:52:00,41.1,41.1,41.1,41.1,1177106,912559,220617,0
36,2020-05-20 09:53:00,41.1,41.1,41.1,41.1,708167,1833954,455899,0
