,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,587.1,587.1,587.1,587.1,0,17781,55151,0
1,2020-05-20 09:08:00,587.0,587.0,587.0,587.0,0,14697,55526,0
2,2020-05-20 09:11:00,587.0,587.0,587.0,587.0,4019,14697,55526,0
3,2020-05-20 09:14:00,587.0,587.0,587.0,587.0,4019,14697,55526,0
4,2020-05-20 09:15:00,586.2,586.2,586.2,586.2,221,17189,56464,0
5,2020-05-20 09:16:00,585.5,585.5,585.5,585.5,79118,57522,97746,0
6,2020-05-20 09:17:00,583.75,583.75,583.75,583.75,126550,81890,128231,0
7,2020-05-20 09:18:00,581.95,581.95,581.95,581.95,85002,87848,135556,0
8,2020-05-20 09:19:00,585.0,585.0,584.05,584.05,141156,207044,261501,0
9,2020-05-20 09:20:00,584.3,584.3,584.3,584.3,165748,114472,139937,0
10,2020-05-20 09:21:00,586.6,586.6,586.6,586.6,142437,124086,135750,0
11,2020-05-20 09:22:00,586.35,586.35,586.0,586.0,176183,262289,295015,0
12,2020-05-20 09:24:00,585.0,585.0,585.0,585.0,203238,135247,160534,0
13,2020-05-20 09:25:00,582.6,582.6,582.6,582.6,195459,119741,170678,0
14,2020-05-20 09:26:00,580.0,580.0,580.0,580.0,236025,104948,177679,0
15,2020-05-20 09:27:00,580.8,580.8,580.8,580.8,279950,115584,178253,0
16,2020-05-20 09:28:00,580.55,580.55,580.55,580.55,264778,126101,184393,0
17,2020-05-20 09:29:00,581.25,581.25,581.25,581.25,239049,134278,229265,0
18,2020-05-20 09:30:00,579.3,579.3,579.3,579.3,306789,123219,243544,0
19,2020-05-20 09:31:00,579.8,579.8,579.8,579.8,348897,131858,198684,0
20,2020-05-20 09:32:00,582.65,582.65,580.4,580.4,280026,279710,380234,0
21,2020-05-20 09:33:00,581.5,581.5,581.5,581.5,295251,140844,220186,0
22,2020-05-20 09:34:00,579.95,579.95,579.95,579.95,378041,142133,228773,0
23,2020-05-20 09:35:00,580.1,580.1,580.1,580.1,386910,136967,251541,0
24,2020-05-20 09:36:00,578.8,578.8,578.8,578.8,329852,128916,260413,0
25,2020-05-20 09:37:00,578.9,578.9,578.9,578.9,335083,133539,262185,0
26,2020-05-20 09:39:00,581.15,581.15,581.15,581.15,442218,150909,258964,0
27,2020-05-20 09:40:00,579.85,579.85,579.7,579.7,358303,285396,531217,0
28,2020-05-20 09:41:00,578.9,579.65,578.9,579.65,504755,281663,525059,0
29,2020-05-20 09:42:00,579.05,579.05,579.05,579.05,509225,143966,268549,0
30,2020-05-20 09:44:00,579.5,579.5,579.5,579.5,385759,151019,267914,0
31,2020-05-20 09:45:00,580.0,580.0,580.0,580.0,388877,154821,266517,0
32,2020-05-20 09:46:00,580.0,580.0,580.0,580.0,523538,160357,270498,0
33,2020-05-20 09:47:00,580.85,580.85,580.85,580.85,538397,166043,266190,0
34,2020-05-20 09:48:00,584.45,584.45,584.45,584.45,438438,166409,239516,0
35,2020-05-20 09:49:00,584.75,584.75,584.75,584.75,449108,179296,247822,0
36,2020-05-20 09:50:00,587.7,587.7,587.7,587.7,587713,178550,238095,0
37,2020-05-20 09:51:00,586.0,586.0,586.0,586.0,616745,175702,242480,0
38,2020-05-20 09:52:00,587.85,587.85,587.85,587.85,504611,194262,240322,0
39,2020-05-20 09:53:00,585.0,585.0,585.0,585.0,509956,167564,251567,0
40,2020-05-20 09:54:00,585.6,585.6,585.6,585.6,644477,183308,258370,0
41,2020-05-20 09:55:00,585.0,586.0,585.0,586.0,532329,365732,522034,0
42,2020-05-20 09:56:00,585.3,585.3,585.3,585.3,538848,180928,261288,0
43,2020-05-20 09:57:00,584.45,584.45,584.45,584.45,666111,183293,268143,0
44,2020-05-20 09:58:00,583.05,583.05,583.05,583.05,670358,178494,274303,0
45,2020-05-20 09:59:00,583.45,583.45,583.45,583.45,565833,191316,273389,0
46,2020-05-20 10:00:00,582.25,582.25,582.25,582.25,592173,167953,274137,0
47,2020-05-20 10:01:00,585.0,585.0,585.0,585.0,725372,172922,282894,0
48,2020-05-20 10:03:00,584.0,584.0,584.0,584.0,716903,175841,290020,0
49,2020-05-20 10:04:00,585.15,585.15,581.5,581.5,629668,339340,581074,0
50,2020-05-20 10:05:00,581.15,581.15,581.15,581.15,637511,156549,290705,0
51,2020-05-20 10:07:00,579.65,579.65,579.65,579.65,785133,157265,302382,0
52,2020-05-20 10:09:00,580.65,580.65,580.65,580.65,805512,163968,301276,0
