,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,112.8,112.8,112.8,112.8,0,6981,4918,0
1,2020-05-20 09:20:00,112.15,112.15,112.15,112.15,0,13940,10500,0
2,2020-05-20 09:24:00,113.85,113.85,113.85,113.85,164,18134,15034,0
3,2020-05-20 09:25:00,113.85,113.85,113.85,113.85,164,18455,15716,0
4,2020-05-20 09:27:00,112.75,112.75,112.75,112.75,98,18711,16108,0
5,2020-05-20 09:45:00,113.0,113.0,113.0,113.0,174,20519,17530,0
6,2020-05-20 11:01:00,113.6,113.6,113.6,113.6,3295,30879,22409,0
7,2020-05-20 11:04:00,113.6,113.6,113.6,113.6,3219,30281,22459,0
8,2020-05-20 11:14:00,114.85,114.85,114.85,114.85,3182,25296,21619,0
9,2020-05-20 11:16:00,114.5,114.5,114.5,114.5,3282,26315,21968,0
10,2020-05-20 11:37:00,114.7,114.7,114.7,114.7,7000,28442,22159,0
11,2020-05-20 11:38:00,115.0,115.0,115.0,115.0,7272,28468,21672,0
12,2020-05-20 11:44:00,114.6,114.6,114.6,114.6,3678,28461,22069,0
13,2020-05-20 12:32:00,113.6,113.6,113.6,113.6,6129,27574,23516,0
14,2020-05-20 13:16:00,115.0,115.0,115.0,115.0,13408,30438,21164,0
15,2020-05-20 13:19:00,115.05,115.05,115.05,115.05,11061,31057,21425,0
16,2020-05-20 13:29:00,114.35,114.35,114.35,114.35,5080,30218,22530,0
17,2020-05-20 13:30:00,114.5,114.5,114.5,114.5,7483,30386,22846,0
18,2020-05-20 13:56:00,114.0,114.0,114.0,114.0,16063,30889,24629,0
19,2020-05-20 14:17:00,113.8,113.8,113.8,113.8,13749,31073,24418,0
20,2020-05-20 15:03:00,114.7,114.7,114.7,114.7,8054,31262,22572,0
21,2020-05-20 15:07:00,114.7,114.7,114.7,114.7,10518,31267,21385,0
22,2020-05-20 15:18:00,114.9,114.9,114.9,114.9,17009,31651,21090,0
23,2020-05-20 15:19:00,114.9,114.9,114.9,114.9,14549,31886,30853,0
