,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:04:00,49.95,49.95,49.95,49.95,0,5423,7628,0
1,2020-05-20 09:30:00,48.5,48.5,48.5,48.5,0,7023,8848,0
2,2020-05-20 09:31:00,48.35,48.35,48.35,48.35,3315,6833,9828,0
3,2020-05-20 09:34:00,48.35,48.35,48.35,48.35,3881,7008,9546,0
4,2020-05-20 09:42:00,48.55,48.55,48.55,48.55,2197,7686,9072,0
5,2020-05-20 09:55:00,48.65,48.65,48.65,48.65,3315,11315,9130,0
6,2020-05-20 10:07:00,48.6,48.6,48.6,48.6,6510,11599,8893,0
7,2020-05-20 10:14:00,48.4,48.4,48.4,48.4,5805,12411,9189,0
8,2020-05-20 10:23:00,48.9,48.9,48.9,48.9,4959,12379,8304,0
9,2020-05-20 11:05:00,49.75,49.75,49.75,49.75,7544,13782,8493,0
10,2020-05-20 11:13:00,49.8,49.8,49.8,49.8,9081,14041,7798,0
11,2020-05-20 11:15:00,49.85,49.85,49.85,49.85,6521,13973,6766,0
12,2020-05-20 11:16:00,49.55,49.55,49.55,49.55,5109,13954,7185,0
13,2020-05-20 11:18:00,49.2,49.2,49.2,49.2,8279,15264,7024,0
14,2020-05-20 11:20:00,50.0,50.0,50.0,50.0,6969,53029,19770,0
15,2020-05-20 11:27:00,50.85,50.85,50.85,50.85,7740,16018,6280,0
16,2020-05-20 11:35:00,50.7,50.7,50.7,50.7,10160,20104,7412,0
17,2020-05-20 11:38:00,50.7,50.7,50.7,50.7,9541,18723,7848,0
18,2020-05-20 12:15:00,50.25,50.25,50.25,50.25,7819,18203,8043,0
19,2020-05-20 12:26:00,50.25,50.25,50.25,50.25,9449,17438,8276,0
20,2020-05-20 12:52:00,50.65,50.65,50.65,50.65,12436,17275,10536,0
21,2020-05-20 13:03:00,50.85,50.85,50.85,50.85,11997,17438,9874,0
22,2020-05-20 13:08:00,50.3,50.3,50.3,50.3,9298,17680,9878,0
23,2020-05-20 13:11:00,50.5,50.5,50.5,50.5,9937,17666,9962,0
24,2020-05-20 13:40:00,50.6,50.6,50.6,50.6,13634,17860,9988,0
25,2020-05-20 13:59:00,50.15,50.15,50.15,50.15,13672,17816,10677,0
26,2020-05-20 14:05:00,50.3,50.3,50.3,50.3,10131,15907,11110,0
27,2020-05-20 14:28:00,50.2,50.2,50.2,50.2,14303,14447,10317,0
28,2020-05-20 14:32:00,50.5,50.5,50.5,50.5,19067,14142,9867,0
29,2020-05-20 14:35:00,50.55,50.55,50.55,50.55,14997,14397,11287,0
30,2020-05-20 15:25:00,51.1,51.1,51.1,51.1,14609,14765,9123,0
