,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,32.45,32.45,32.45,32.45,0,3283063,2964282,0
1,2020-05-20 09:07:00,32.45,32.45,32.45,32.45,0,1815110,1481915,0
2,2020-05-20 09:08:00,34.15,34.15,34.15,34.15,616284,1506387,977861,0
3,2020-05-20 09:11:00,34.15,34.15,34.15,34.15,616284,1506387,977861,0
4,2020-05-20 09:14:00,34.15,34.15,34.15,34.15,0,1506387,977861,0
5,2020-05-20 09:15:00,34.15,34.15,34.15,34.15,0,1506387,977861,0
6,2020-05-20 09:17:00,34.15,34.15,34.15,34.15,6723407,3257529,2588132,0
7,2020-05-20 09:18:00,34.45,34.45,34.45,34.45,9790848,3540637,2537868,0
8,2020-05-20 09:20:00,34.4,34.4,34.05,34.05,3323620,6557944,6352951,0
9,2020-05-20 09:21:00,33.8,33.8,33.8,33.8,4034743,2741606,3753412,0
10,2020-05-20 09:24:00,33.75,33.75,33.75,33.75,13179220,7123746,9591445,0
11,2020-05-20 09:25:00,33.6,33.6,33.55,33.55,4697114,6598620,10289566,0
12,2020-05-20 09:26:00,33.35,33.45,33.35,33.45,15091312,6144512,10246696,0
13,2020-05-20 09:27:00,33.55,33.55,33.55,33.55,15348291,3313277,4986489,0
14,2020-05-20 09:29:00,33.75,33.8,33.75,33.8,6343854,7778159,10433189,0
15,2020-05-20 09:30:00,33.6,33.6,33.5,33.5,16028491,7298328,11373146,0
16,2020-05-20 09:31:00,33.4,33.45,33.3,33.45,7286756,10718841,17851509,0
17,2020-05-20 09:32:00,33.45,33.45,33.45,33.45,16353929,7672596,11722284,0
18,2020-05-20 09:33:00,33.4,33.65,33.4,33.65,8043668,8280299,12034155,0
19,2020-05-20 09:34:00,33.65,33.65,33.65,33.65,16425180,8479529,11671230,0
20,2020-05-20 09:35:00,33.65,33.65,33.65,33.65,16804006,4225326,6059792,0
21,2020-05-20 09:36:00,33.75,33.75,33.75,33.75,8894196,4415252,5924223,0
22,2020-05-20 09:37:00,33.9,33.9,33.9,33.9,9751663,4413849,5605150,0
23,2020-05-20 09:38:00,34.05,34.05,34.05,34.05,19038679,4643163,5362649,0
24,2020-05-20 09:39:00,34.1,34.1,34.1,34.1,19866137,4538018,5079692,0
25,2020-05-20 09:40:00,33.95,33.95,33.8,33.8,11024361,8682776,11941126,0
26,2020-05-20 09:42:00,33.75,33.8,33.75,33.8,20797092,9529587,12618229,0
27,2020-05-20 09:43:00,33.75,33.75,33.75,33.75,21028080,4840699,6349787,0
28,2020-05-20 09:44:00,33.85,33.9,33.85,33.9,11280245,10066061,12761657,0
29,2020-05-20 09:45:00,33.85,33.85,33.85,33.85,11505660,5026233,6523598,0
30,2020-05-20 09:46:00,33.9,33.9,33.9,33.9,21401837,5208883,6524987,0
31,2020-05-20 09:47:00,33.85,33.85,33.8,33.8,11689106,10243280,13547245,0
32,2020-05-20 09:48:00,33.8,33.8,33.8,33.8,11739830,5193614,6698529,0
33,2020-05-20 09:49:00,33.8,33.8,33.8,33.8,21577530,5131610,6711011,0
34,2020-05-20 09:50:00,33.8,33.85,33.8,33.85,11863501,10280912,13437933,0
35,2020-05-20 09:51:00,33.75,33.75,33.75,33.75,11924861,5137051,6698524,0
36,2020-05-20 09:52:00,33.7,33.75,33.7,33.75,21780680,10180647,13559506,0
37,2020-05-20 09:53:00,33.55,33.6,33.55,33.6,12446704,9595705,13998374,0
38,2020-05-20 09:54:00,33.65,33.7,33.65,33.7,22266692,9997077,13918457,0
39,2020-05-20 09:55:00,33.7,33.7,33.7,33.7,22269754,5121633,6981230,0
40,2020-05-20 09:56:00,33.6,33.6,33.6,33.6,12651543,5008981,7044082,0
41,2020-05-20 09:57:00,33.55,33.6,33.55,33.6,22853762,10024202,14287135,0
42,2020-05-20 09:58:00,33.55,33.55,33.55,33.55,22912189,5161001,7350438,0
43,2020-05-20 09:59:00,33.6,33.6,33.6,33.6,12827474,5228702,7353084,0
44,2020-05-20 10:00:00,33.55,33.7,33.55,33.7,23258163,15694344,21498317,0
45,2020-05-20 10:01:00,33.7,33.7,33.7,33.7,23259963,5343001,7074344,0
46,2020-05-20 10:02:00,33.75,33.75,33.75,33.75,13075918,5495291,6956768,0
47,2020-05-20 10:03:00,33.7,33.7,33.7,33.7,23658935,10697696,14125534,0
48,2020-05-20 10:04:00,33.65,33.65,33.65,33.65,23708888,5377801,7138783,0
49,2020-05-20 10:05:00,33.65,33.65,33.65,33.65,13303164,21882446,28583632,0
50,2020-05-20 10:06:00,33.6,33.6,33.6,33.6,13414023,5363995,7217064,0
51,2020-05-20 10:08:00,33.6,33.6,33.6,33.6,23986922,10522566,14604429,0
52,2020-05-20 10:09:00,33.55,33.55,33.55,33.55,24037590,5234379,7321204,0
53,2020-05-20 10:10:00,33.6,33.6,33.5,33.5,13789134,15159176,22285287,0
54,2020-05-20 10:11:00,33.5,33.5,33.45,33.45,24606815,14173028,22655238,0
55,2020-05-20 10:13:00,33.4,33.4,33.4,33.4,24756194,4758143,7657057,0
56,2020-05-20 10:14:00,33.5,33.5,33.5,33.5,14285540,4976164,7455725,0
57,2020-05-20 10:15:00,33.5,33.5,33.5,33.5,14210379,4969165,7497496,0
58,2020-05-20 10:16:00,33.55,33.55,33.55,33.55,24683405,4973480,7503893,0
59,2020-05-20 10:17:00,33.55,33.55,33.55,33.55,24833722,4887610,7578640,0
60,2020-05-20 10:18:00,33.45,33.45,33.35,33.35,14660287,9200210,15537783,0
61,2020-05-20 10:19:00,33.3,33.3,33.3,33.3,14912991,4324390,7864465,0
62,2020-05-20 10:20:00,33.3,33.35,33.3,33.3,25416318,12989203,23507632,0
63,2020-05-20 10:22:00,33.4,33.4,33.35,33.35,15349868,8630904,15593944,0
64,2020-05-20 10:23:00,33.4,33.4,33.4,33.4,15714195,4425711,7865516,0
65,2020-05-20 10:24:00,33.55,33.55,33.55,33.55,25899887,18946925,30757599,0
66,2020-05-20 10:25:00,33.55,33.55,33.55,33.55,15816779,14385461,23339558,0
67,2020-05-20 10:26:00,33.5,33.5,33.5,33.5,26059629,9491033,15942624,0
68,2020-05-20 10:27:00,33.65,33.65,33.6,33.6,16317411,14912961,23265195,0
69,2020-05-20 10:28:00,33.65,33.65,33.6,33.6,26228756,9881457,15576568,0
70,2020-05-20 10:29:00,33.65,33.65,33.6,33.6,16334867,9841242,15593248,0
71,2020-05-20 10:30:00,33.6,33.6,33.6,33.6,16458308,4908857,7981034,0
72,2020-05-20 10:31:00,33.6,33.65,33.6,33.6,26615958,24589514,39966474,0
73,2020-05-20 10:32:00,33.6,33.6,33.6,33.6,26715673,5014328,8082050,0
74,2020-05-20 10:33:00,33.65,33.75,33.65,33.75,17404783,10213515,15168974,0
75,2020-05-20 10:35:00,33.75,33.8,33.75,33.8,27211077,10258929,15067744,0
76,2020-05-20 10:36:00,33.8,33.8,33.8,33.8,17483939,10432787,15147175,0
77,2020-05-20 10:37:00,33.75,33.75,33.75,33.75,17490945,5216513,7550119,0
78,2020-05-20 10:38:00,33.75,33.75,33.75,33.75,27287454,5222416,7693669,0
79,2020-05-20 10:39:00,33.7,33.7,33.6,33.65,17875482,25113107,39820253,0
80,2020-05-20 10:40:00,33.65,33.7,33.65,33.7,27365651,15670431,23795389,0
81,2020-05-20 10:41:00,33.7,33.7,33.7,33.7,17899854,10533840,15891513,0
82,2020-05-20 10:42:00,33.7,33.7,33.65,33.65,27400632,26245296,39707764,0
83,2020-05-20 10:43:00,33.65,33.65,33.65,33.65,27410247,5205637,7963779,0
84,2020-05-20 10:44:00,33.7,33.7,33.7,33.7,18026116,5137188,7938473,0
85,2020-05-20 10:45:00,33.65,33.65,33.65,33.65,27457798,25881102,39728853,0
86,2020-05-20 10:46:00,33.65,33.65,33.6,33.6,18045955,10333359,15879390,0
87,2020-05-20 10:47:00,33.65,33.7,33.65,33.7,27535177,10486574,15729547,0
88,2020-05-20 10:48:00,33.7,33.7,33.65,33.7,18086975,15850763,23664595,0
89,2020-05-20 10:49:00,33.75,33.75,33.75,33.75,27691430,10672434,15503765,0
90,2020-05-20 10:50:00,33.7,33.7,33.7,33.7,18134953,10586661,15473226,0
91,2020-05-20 10:51:00,33.7,33.7,33.7,33.7,18216663,5242685,7848608,0
92,2020-05-20 10:52:00,33.7,33.7,33.65,33.65,27745559,15774726,23614995,0
93,2020-05-20 10:53:00,33.65,33.7,33.65,33.7,18248788,10458124,15769832,0
94,2020-05-20 10:54:00,33.65,33.7,33.65,33.7,27747036,10437951,15769946,0
95,2020-05-20 10:55:00,33.65,33.65,33.65,33.65,27775652,5186613,7878528,0
96,2020-05-20 10:57:00,33.7,33.7,33.65,33.65,18373285,15423996,23370102,0
97,2020-05-20 10:58:00,33.7,33.7,33.6,33.6,27845755,15335763,23482713,0
98,2020-05-20 10:59:00,33.6,33.65,33.6,33.65,18393951,10220414,15699618,0
99,2020-05-20 11:00:00,33.6,33.6,33.6,33.6,27904960,10238940,15697557,0
100,2020-05-20 11:01:00,33.6,33.7,33.6,33.7,18489295,15509607,23429546,0
101,2020-05-20 11:02:00,33.65,33.65,33.65,33.65,27950019,20870913,31350034,0
102,2020-05-20 11:03:00,33.65,33.65,33.65,33.65,18591842,10439925,15672204,0
103,2020-05-20 11:05:00,33.65,33.65,33.65,33.65,18644554,5244154,7870494,0
104,2020-05-20 11:06:00,33.65,33.65,33.65,33.65,28009798,5239523,7868704,0
105,2020-05-20 11:07:00,33.6,33.7,33.6,33.7,18906250,15411634,23067117,0
106,2020-05-20 11:08:00,33.7,33.7,33.65,33.65,28031655,25834874,38340616,0
107,2020-05-20 11:09:00,33.7,33.7,33.65,33.65,18926523,15548959,22986718,0
108,2020-05-20 11:10:00,33.65,33.65,33.65,33.65,18998376,5120053,7667674,0
109,2020-05-20 11:11:00,33.65,33.65,33.6,33.6,28137215,10210481,15384969,0
110,2020-05-20 11:12:00,33.65,33.65,33.65,33.65,19285481,10114254,15469130,0
111,2020-05-20 11:13:00,33.65,33.65,33.65,33.65,19352628,5052427,7783128,0
112,2020-05-20 11:14:00,33.65,33.65,33.65,33.65,28215312,5046333,7748871,0
113,2020-05-20 11:16:00,33.6,33.65,33.6,33.65,19352958,25803228,39534406,0
114,2020-05-20 11:17:00,33.65,33.65,33.65,33.65,28235496,10367052,16231648,0
115,2020-05-20 11:18:00,33.7,33.7,33.65,33.65,19504225,20530049,32126023,0
116,2020-05-20 11:19:00,33.7,33.7,33.65,33.65,28383203,15357898,24278902,0
117,2020-05-20 11:20:00,33.65,33.65,33.65,33.65,28428921,5097845,8215608,0
118,2020-05-20 11:21:00,33.7,33.7,33.7,33.7,19568850,5115767,8193579,0
119,2020-05-20 11:22:00,33.65,33.65,33.65,33.65,19568545,5139250,8183261,0
120,2020-05-20 11:23:00,33.7,33.7,33.7,33.7,28434692,5142119,8178548,0
121,2020-05-20 11:24:00,33.7,33.7,33.7,33.7,28809568,5295356,8206770,0
122,2020-05-20 11:25:00,33.7,33.8,33.7,33.8,19808250,16153758,24216310,0
123,2020-05-20 11:26:00,33.95,34.0,33.95,34.0,29993516,16728641,22019104,0
124,2020-05-20 11:27:00,34.1,34.1,34.05,34.05,20205874,17885568,21234931,0
125,2020-05-20 11:28:00,34.05,34.05,34.05,34.05,20643079,6019959,7063454,0
126,2020-05-20 11:29:00,34.1,34.1,34.1,34.1,30921678,5899936,7187219,0
127,2020-05-20 11:30:00,34.0,34.0,33.85,33.85,21010822,16716450,22309167,0
128,2020-05-20 11:31:00,33.9,33.9,33.85,33.85,31026903,10567155,15141359,0
129,2020-05-20 11:32:00,33.9,33.95,33.9,33.9,21358011,16415715,22883873,0
130,2020-05-20 11:33:00,33.8,33.9,33.8,33.9,31563062,16192287,23259313,0
131,2020-05-20 11:34:00,33.85,33.9,33.85,33.9,21417336,11007995,15620423,0
132,2020-05-20 11:35:00,33.85,33.9,33.85,33.9,31574299,16659879,23418140,0
133,2020-05-20 11:36:00,33.8,33.85,33.8,33.85,21522000,11072661,15862614,0
134,2020-05-20 11:37:00,33.8,33.85,33.8,33.85,31656123,21974553,31751369,0
135,2020-05-20 11:38:00,33.85,33.85,33.8,33.8,21553825,21903027,31806190,0
136,2020-05-20 11:39:00,33.8,33.8,33.8,33.8,31752181,10851234,15962040,0
137,2020-05-20 11:40:00,33.8,33.8,33.8,33.8,21601742,10946890,15940547,0
138,2020-05-20 11:41:00,33.85,33.85,33.85,33.85,31916730,16614559,23570776,0
139,2020-05-20 11:42:00,33.9,33.9,33.85,33.9,21729379,27872584,37714026,0
140,2020-05-20 11:43:00,33.9,33.9,33.85,33.85,31943178,16705086,22444629,0
141,2020-05-20 11:44:00,33.85,33.85,33.8,33.8,21898202,27477304,39768526,0
142,2020-05-20 11:45:00,33.8,33.8,33.8,33.8,21899453,5481636,8025270,0
143,2020-05-20 11:46:00,33.85,33.85,33.85,33.85,31999601,5517758,8033880,0
