,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,567.65,567.65,567.65,567.65,0,3432,2995,0
1,2020-05-20 09:20:00,562.15,562.15,562.15,562.15,0,6670,5106,0
2,2020-05-20 09:24:00,562.15,562.15,562.15,562.15,492,8108,5846,0
3,2020-05-20 09:29:00,561.45,561.45,561.45,561.45,755,8372,6047,0
4,2020-05-20 09:31:00,561.0,561.0,561.0,561.0,326,8439,6147,0
5,2020-05-20 09:34:00,563.85,563.85,563.85,563.85,108,9014,6554,0
6,2020-05-20 09:36:00,563.85,563.85,563.85,563.85,541,9097,6178,0
7,2020-05-20 09:50:00,560.0,560.0,560.0,560.0,2995,9615,6597,0
8,2020-05-20 09:52:00,561.0,561.0,561.0,561.0,3145,10807,8720,0
9,2020-05-20 09:57:00,560.05,560.05,560.05,560.05,849,11206,8747,0
10,2020-05-20 10:25:00,562.1,562.1,562.1,562.1,1276,14822,11577,0
11,2020-05-20 10:26:00,563.5,563.5,563.5,563.5,3586,14813,11577,0
12,2020-05-20 10:31:00,563.9,563.9,563.9,563.9,3232,14894,11619,0
13,2020-05-20 10:46:00,564.65,564.65,564.65,564.65,1982,14883,11176,0
14,2020-05-20 10:57:00,557.55,557.55,557.55,557.55,4135,14380,11556,0
15,2020-05-20 11:00:00,558.05,558.05,558.05,558.05,5629,14589,11380,0
16,2020-05-20 11:14:00,558.95,558.95,558.95,558.95,4162,16671,14252,0
17,2020-05-20 11:25:00,550.3,553.0,550.3,553.0,5418,32226,30716,0
18,2020-05-20 11:27:00,553.3,553.3,553.3,553.3,5536,17433,17356,0
19,2020-05-20 11:32:00,549.5,549.5,549.5,549.5,6141,19122,19533,0
20,2020-05-20 11:33:00,551.95,551.95,551.95,551.95,6149,19243,19568,0
21,2020-05-20 11:37:00,549.75,549.75,549.75,549.75,6216,19099,19462,0
22,2020-05-20 11:38:00,550.1,550.1,550.1,550.1,6308,19223,19755,0
23,2020-05-20 11:41:00,547.55,547.55,547.55,547.55,6615,18990,19792,0
24,2020-05-20 11:42:00,548.0,548.0,548.0,548.0,6553,18575,19790,0
25,2020-05-20 11:48:00,548.4,548.4,548.4,548.4,7253,18498,19835,0
26,2020-05-20 11:50:00,552.0,552.0,552.0,552.0,8391,18923,19347,0
27,2020-05-20 11:51:00,552.35,552.35,552.35,552.35,7709,18936,19356,0
28,2020-05-20 11:53:00,553.5,553.5,553.5,553.5,6655,19118,19337,0
29,2020-05-20 11:59:00,553.35,553.35,553.35,553.35,7430,19305,19598,0
30,2020-05-20 12:03:00,553.05,553.05,553.05,553.05,8619,19588,19544,0
31,2020-05-20 12:06:00,552.8,552.8,552.8,552.8,7906,19807,19564,0
32,2020-05-20 12:09:00,554.25,554.25,554.25,554.25,6833,19780,19474,0
