,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,512.6,512.6,512.6,512.6,0,50891,37167,0
1,2020-05-20 09:07:00,512.6,512.6,512.6,512.6,0,52618,39080,0
2,2020-05-20 09:08:00,515.0,515.0,515.0,515.0,2716,50159,38070,0
3,2020-05-20 09:11:00,515.0,515.0,515.0,515.0,2716,50159,38070,0
4,2020-05-20 09:14:00,515.0,515.0,515.0,515.0,0,50159,38070,0
5,2020-05-20 09:15:00,514.8,514.8,513.65,513.65,22759,228831,189838,0
6,2020-05-20 09:17:00,513.75,513.75,513.75,513.75,40097,170022,146729,0
7,2020-05-20 09:18:00,514.95,514.95,514.95,514.95,33194,187200,167149,0
8,2020-05-20 09:19:00,514.95,515.75,514.95,515.75,32372,380553,331936,0
9,2020-05-20 09:20:00,515.85,517.6,515.85,517.6,53155,815178,670250,0
10,2020-05-20 09:22:00,516.0,516.0,516.0,516.0,49845,418789,383730,0
11,2020-05-20 09:23:00,515.55,515.55,513.45,513.45,76400,605905,608958,0
12,2020-05-20 09:24:00,514.25,514.65,514.25,514.65,60942,614212,627746,0
13,2020-05-20 09:25:00,514.35,514.8,514.35,514.8,84456,406266,432442,0
14,2020-05-20 09:26:00,515.15,515.15,514.3,514.3,68787,630347,656948,0
15,2020-05-20 09:27:00,514.3,514.3,513.1,513.1,87798,625425,671918,0
16,2020-05-20 09:28:00,513.45,513.8,513.45,513.8,73013,436590,462019,0
17,2020-05-20 09:29:00,514.2,514.2,513.4,513.4,98053,457514,477740,0
18,2020-05-20 09:30:00,512.9,513.3,512.9,513.3,80763,453565,479828,0
19,2020-05-20 09:31:00,513.8,513.8,513.8,513.8,83083,234866,243507,0
20,2020-05-20 09:32:00,514.35,514.35,514.35,514.35,105523,252064,234301,0
21,2020-05-20 09:33:00,514.7,514.7,514.7,514.7,107886,269309,246714,0
22,2020-05-20 09:34:00,514.7,514.7,514.7,514.7,90471,289751,255053,0
23,2020-05-20 09:35:00,515.0,515.0,514.05,514.05,114956,879079,893110,0
24,2020-05-20 09:36:00,514.0,514.0,513.4,513.4,93248,579180,625008,0
25,2020-05-20 09:37:00,513.4,513.4,513.4,513.4,93377,289914,316598,0
26,2020-05-20 09:38:00,513.5,513.5,513.5,513.5,122289,291052,315752,0
27,2020-05-20 09:39:00,514.0,514.0,514.0,514.0,126355,295171,315068,0
28,2020-05-20 09:40:00,513.25,513.25,513.25,513.25,102640,290271,326305,0
29,2020-05-20 09:41:00,512.85,512.85,512.85,512.85,112625,291025,326700,0
30,2020-05-20 09:42:00,512.1,512.1,512.1,512.1,143643,298309,338694,0
31,2020-05-20 09:43:00,511.75,511.75,511.75,511.75,144500,303315,342031,0
