,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,710.65,710.65,710.65,710.65,0,12245,1397,0
1,2020-05-20 09:08:00,719.0,719.0,719.0,719.0,0,12468,1450,0
2,2020-05-20 09:11:00,719.0,719.0,719.0,719.0,2,12468,1450,0
3,2020-05-20 09:14:00,719.0,719.0,719.0,719.0,2,12468,1450,0
4,2020-05-20 09:18:00,708.85,708.85,708.85,708.85,32,75291,5445,0
5,2020-05-20 09:31:00,712.8,712.8,712.8,712.8,250,90253,16222,0
6,2020-05-20 09:32:00,710.4,710.4,710.4,710.4,245,90231,16337,0
7,2020-05-20 09:39:00,709.95,709.95,709.95,709.95,419,94040,20483,0
8,2020-05-20 09:43:00,709.05,709.05,709.05,709.05,429,94321,20653,0
9,2020-05-20 10:14:00,708.85,708.85,708.85,708.85,500,95069,21087,0
10,2020-05-20 10:31:00,707.0,707.0,707.0,707.0,808,105289,29702,0
11,2020-05-20 10:45:00,706.85,706.85,706.85,706.85,753,110098,29841,0
12,2020-05-20 10:47:00,705.15,705.15,705.15,705.15,453,110249,32342,0
13,2020-05-20 10:53:00,704.45,704.45,704.45,704.45,616,110344,32580,0
14,2020-05-20 11:29:00,707.6,707.6,707.6,707.6,1463,111017,32504,0
15,2020-05-20 11:56:00,707.75,707.75,707.75,707.75,1440,115198,35875,0
16,2020-05-20 11:57:00,705.85,705.85,705.85,705.85,617,115041,35965,0
17,2020-05-20 12:11:00,707.65,707.65,707.65,707.65,808,115498,35741,0
18,2020-05-20 12:16:00,707.9,707.9,707.9,707.9,1716,115663,35808,0
19,2020-05-20 12:24:00,707.5,707.5,707.5,707.5,1530,115658,35808,0
20,2020-05-20 12:27:00,707.5,707.5,707.5,707.5,622,115583,35807,0
21,2020-05-20 13:09:00,704.95,704.95,704.95,704.95,28247,109290,36757,0
22,2020-05-20 13:14:00,703.95,703.95,703.95,703.95,33182,107619,37433,0
23,2020-05-20 13:18:00,702.5,702.5,702.5,702.5,7589,109704,41271,0
24,2020-05-20 13:20:00,702.4,702.4,702.4,702.4,2698,109943,41519,0
25,2020-05-20 13:22:00,701.95,701.95,701.95,701.95,28458,109963,41323,0
26,2020-05-20 13:23:00,702.7,702.7,702.7,702.7,33834,110342,41209,0
27,2020-05-20 13:24:00,702.35,702.35,702.35,702.35,8139,110556,41443,0
28,2020-05-20 13:34:00,701.6,701.6,701.6,701.6,2935,107018,38095,0
29,2020-05-20 13:36:00,701.6,701.6,701.6,701.6,28630,107020,38095,0
30,2020-05-20 13:38:00,702.1,702.1,702.1,702.1,33856,107042,37950,0
31,2020-05-20 13:49:00,703.2,703.2,703.2,703.2,8483,109492,39774,0
32,2020-05-20 13:50:00,701.25,701.25,701.25,701.25,3292,109493,39826,0
33,2020-05-20 13:51:00,701.55,701.55,701.55,701.55,28697,109493,39825,0
34,2020-05-20 13:53:00,701.55,701.55,701.55,701.55,34032,109541,39755,0
35,2020-05-20 13:59:00,702.9,702.9,702.9,702.9,8671,109672,39837,0
36,2020-05-20 14:31:00,704.6,704.6,704.6,704.6,3738,110069,39498,0
37,2020-05-20 14:42:00,704.8,704.8,704.8,704.8,30303,111716,40198,0
38,2020-05-20 14:48:00,703.35,703.35,703.35,703.35,35541,111646,40226,0
39,2020-05-20 15:03:00,701.7,701.95,701.7,701.95,4461,224859,64320,0
40,2020-05-20 15:08:00,701.95,701.95,701.95,701.95,4952,112311,16853,0
41,2020-05-20 15:17:00,701.7,701.7,701.7,701.7,36613,112011,16789,0
42,2020-05-20 15:24:00,701.55,701.55,701.55,701.55,36851,78011,9232,0
43,2020-05-20 15:27:00,702.0,702.0,702.0,702.0,6006,78008,9436,0
44,2020-05-20 15:29:00,704.85,704.85,704.85,704.85,7220,77941,8046,0
45,2020-05-20 15:30:00,715.0,715.0,715.0,715.0,41242,73352,5038,0
