,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,749.5,749.5,749.5,749.5,0,18093,3534,0
1,2020-05-20 09:15:00,760.0,767.95,760.0,767.95,823,12652,4466,0
2,2020-05-20 09:16:00,766.75,766.75,766.75,766.75,1254,7493,4412,0
3,2020-05-20 09:19:00,764.05,764.05,764.05,764.05,561,12212,7589,0
4,2020-05-20 09:20:00,761.95,763.95,761.95,763.95,1327,40722,25699,0
5,2020-05-20 09:21:00,762.55,762.55,760.55,761.05,639,40722,25983,0
6,2020-05-20 09:22:00,761.05,761.05,761.05,761.05,639,13592,8662,0
7,2020-05-20 09:23:00,761.25,761.25,761.25,761.25,1338,13809,8710,0
8,2020-05-20 09:27:00,761.95,761.95,761.95,761.95,1909,13520,8549,0
9,2020-05-20 09:28:00,764.05,764.05,764.05,764.05,1609,13659,8444,0
10,2020-05-20 09:31:00,764.6,764.6,764.6,764.6,1170,13705,8506,0
11,2020-05-20 09:34:00,763.5,763.5,763.5,763.5,1649,14002,8543,0
12,2020-05-20 09:39:00,765.5,765.5,764.2,764.2,2010,33057,21126,0
13,2020-05-20 09:43:00,765.95,765.95,765.95,765.95,2715,18364,10934,0
14,2020-05-20 09:44:00,765.95,765.95,765.95,765.95,2354,18388,10957,0
15,2020-05-20 09:46:00,767.95,767.95,767.95,767.95,2770,18357,10320,0
16,2020-05-20 09:47:00,771.0,771.0,771.0,771.0,3197,18499,10270,0
17,2020-05-20 09:48:00,769.9,769.9,769.9,769.9,2852,18406,10430,0
18,2020-05-20 09:51:00,766.1,766.1,766.1,766.1,3206,20169,12702,0
19,2020-05-20 09:52:00,766.7,766.7,766.35,766.35,3284,40534,25481,0
20,2020-05-20 09:54:00,766.15,766.15,766.15,766.15,3538,20387,12767,0
21,2020-05-20 09:55:00,766.15,766.15,766.15,766.15,3472,20415,13108,0
22,2020-05-20 09:56:00,766.25,766.25,766.25,766.25,3256,20335,13158,0
23,2020-05-20 10:00:00,764.5,764.5,764.5,764.5,3594,24441,15210,0
24,2020-05-20 10:02:00,764.85,764.95,764.85,764.95,3518,49033,30350,0
25,2020-05-20 10:08:00,761.3,761.3,761.3,761.3,3755,21049,13451,0
26,2020-05-20 10:10:00,764.95,764.95,764.95,764.95,4043,24473,15337,0
27,2020-05-20 10:15:00,761.7,761.7,761.7,761.7,3886,24518,15512,0
28,2020-05-20 10:17:00,756.55,756.55,756.55,756.55,4243,23766,15808,0
29,2020-05-20 10:18:00,755.0,755.0,755.0,755.0,5423,23527,15917,0
30,2020-05-20 10:21:00,758.2,758.2,758.2,758.2,5511,23710,16102,0
31,2020-05-20 10:26:00,757.9,757.9,757.9,757.9,4435,23833,16049,0
32,2020-05-20 10:28:00,752.8,752.8,752.8,752.8,4420,29196,18959,0
33,2020-05-20 10:47:00,755.4,755.4,755.4,755.4,5850,34291,22048,0
34,2020-05-20 10:59:00,754.1,754.1,754.1,754.1,6066,34180,22258,0
35,2020-05-20 11:03:00,753.2,753.2,753.2,753.2,5134,30889,20079,0
36,2020-05-20 11:04:00,753.2,753.2,753.2,753.2,4920,30897,20089,0
37,2020-05-20 11:06:00,753.6,753.6,753.6,753.6,5877,30917,20101,0
38,2020-05-20 11:10:00,750.5,750.5,750.5,750.5,6306,36202,22712,0
39,2020-05-20 11:18:00,761.95,761.95,761.95,761.95,6113,40328,24460,0
40,2020-05-20 11:27:00,762.4,762.4,762.4,762.4,5762,40627,24603,0
41,2020-05-20 11:44:00,760.0,760.0,760.0,760.0,6315,42546,26467,0
42,2020-05-20 11:48:00,759.25,759.25,759.25,759.25,6676,42587,26411,0
43,2020-05-20 11:50:00,765.0,765.0,765.0,765.0,7033,42700,25559,0
44,2020-05-20 11:57:00,761.75,761.75,761.75,761.75,6810,43291,24538,0
45,2020-05-20 12:03:00,762.55,762.55,762.55,762.55,6734,43421,24601,0
46,2020-05-20 12:09:00,760.6,760.6,760.6,760.6,6985,43378,24624,0
47,2020-05-20 12:11:00,760.75,760.75,760.75,760.75,7063,43474,24620,0
48,2020-05-20 12:18:00,766.0,766.0,766.0,766.0,7321,43871,24027,0
49,2020-05-20 12:19:00,771.0,771.25,771.0,771.25,7903,88850,45006,0
50,2020-05-20 12:21:00,771.25,771.25,771.25,771.25,7937,44913,22487,0
51,2020-05-20 12:23:00,770.25,770.25,770.25,770.25,7380,44923,22764,0
52,2020-05-20 12:25:00,770.3,770.3,770.3,770.3,7545,45375,22805,0
53,2020-05-20 12:30:00,770.0,770.0,770.0,770.0,13906,45147,23426,0
54,2020-05-20 12:32:00,769.35,769.35,769.35,769.35,20152,45247,23072,0
55,2020-05-20 12:33:00,770.8,770.8,770.8,770.8,14663,45050,23016,0
56,2020-05-20 12:52:00,770.0,770.0,770.0,770.0,11658,34920,17386,0
57,2020-05-20 13:00:00,769.5,769.5,769.5,769.5,25599,36979,18717,0
58,2020-05-20 13:10:00,769.0,769.0,769.0,769.0,33631,36419,18634,0
59,2020-05-20 13:14:00,768.15,768.15,768.15,768.15,19749,36699,18723,0
60,2020-05-20 13:19:00,769.45,769.45,769.45,769.45,12760,41641,20833,0
61,2020-05-20 13:22:00,769.0,769.0,769.0,769.0,26842,41571,20766,0
62,2020-05-20 13:23:00,769.0,769.0,769.0,769.0,33831,41581,20706,0
63,2020-05-20 13:25:00,768.95,768.95,768.95,768.95,20888,39670,19470,0
64,2020-05-20 13:29:00,770.05,770.05,770.05,770.05,15931,39939,19103,0
65,2020-05-20 13:35:00,768.15,768.15,768.15,768.15,29467,39968,19153,0
66,2020-05-20 13:37:00,769.5,769.5,769.5,769.5,21013,79921,38768,0
67,2020-05-20 13:38:00,769.25,770.0,769.25,770.0,30218,119972,57264,0
68,2020-05-20 13:39:00,770.8,770.8,770.8,770.8,30349,40141,18915,0
69,2020-05-20 13:40:00,773.35,773.35,773.35,773.35,21308,40275,18975,0
70,2020-05-20 13:41:00,776.0,776.0,776.0,776.0,21818,40379,18662,0
71,2020-05-20 13:42:00,770.55,770.55,770.55,770.55,30951,42735,19143,0
72,2020-05-20 13:43:00,775.45,775.45,775.45,775.45,31868,44397,17210,0
73,2020-05-20 13:44:00,777.5,777.5,777.5,777.5,22743,44571,17714,0
74,2020-05-20 13:46:00,775.45,775.45,775.25,775.25,31064,88629,35606,0
75,2020-05-20 13:47:00,774.25,774.25,774.25,774.25,31076,44245,17859,0
76,2020-05-20 14:16:00,770.9,770.9,770.9,770.9,24536,43856,18793,0
77,2020-05-20 14:19:00,770.9,770.9,770.9,770.9,24567,43808,18875,0
78,2020-05-20 14:28:00,775.75,775.75,775.75,775.75,31831,45201,18350,0
79,2020-05-20 14:47:00,776.65,776.65,776.65,776.65,33235,48684,19305,0
80,2020-05-20 14:51:00,776.6,776.6,776.6,776.6,26051,48524,19318,0
81,2020-05-20 14:58:00,777.7,777.7,777.7,777.7,25022,47446,19274,0
82,2020-05-20 15:02:00,789.6,796.45,789.6,796.45,35172,94136,30540,0
83,2020-05-20 15:03:00,795.4,795.4,791.05,791.05,25476,93903,23673,0
84,2020-05-20 15:04:00,792.65,792.65,792.65,792.65,25523,46843,6988,0
85,2020-05-20 15:07:00,788.75,788.75,788.75,788.75,35444,46821,7177,0
86,2020-05-20 15:08:00,788.75,788.75,788.75,788.75,35628,46913,7251,0
87,2020-05-20 15:14:00,788.0,788.0,788.0,788.0,26165,48615,7429,0
88,2020-05-20 15:18:00,791.05,791.05,791.05,791.05,27238,48284,7433,0
89,2020-05-20 15:21:00,789.4,789.4,789.4,789.4,36845,46863,8101,0
90,2020-05-20 15:22:00,790.85,790.85,790.85,790.85,35823,46705,8092,0
