,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,61.25,61.25,61.25,61.25,0,7224,11259,0
1,2020-05-20 09:18:00,61.25,61.25,61.25,61.25,0,11229,15974,0
2,2020-05-20 09:27:00,62.65,62.65,62.65,62.65,156,18737,18381,0
3,2020-05-20 09:29:00,61.6,61.6,61.6,61.6,181,22740,18502,0
4,2020-05-20 09:48:00,61.5,61.5,61.5,61.5,86,22860,19803,0
5,2020-05-20 10:02:00,62.15,62.15,62.15,62.15,259,23063,20544,0
6,2020-05-20 11:29:00,61.75,61.75,61.75,61.75,1871,29097,23035,0
7,2020-05-20 13:08:00,61.85,61.85,61.85,61.85,6532,30664,26895,0
8,2020-05-20 13:27:00,61.55,61.55,61.55,61.55,5238,30610,27304,0
9,2020-05-20 14:30:00,61.85,61.85,61.85,61.85,1617,30293,26350,0
10,2020-05-20 14:37:00,61.55,61.55,61.55,61.55,2961,30196,26450,0
11,2020-05-20 14:43:00,61.55,61.55,61.55,61.55,6604,33321,26513,0
12,2020-05-20 14:44:00,61.55,61.55,61.55,61.55,1617,66642,53014,0
13,2020-05-20 14:45:00,61.55,61.55,61.55,61.55,1617,33321,26505,0
14,2020-05-20 14:46:00,61.55,61.55,61.55,61.55,6639,33301,26508,0
