,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,152.8,152.8,152.8,152.8,0,95448,173222,0
1,2020-05-20 09:08:00,153.4,153.4,153.4,153.4,0,28151,50654,0
2,2020-05-20 09:11:00,153.4,153.4,153.4,153.4,5316,28151,50654,0
3,2020-05-20 09:14:00,153.4,153.4,153.4,153.4,5316,28151,50654,0
4,2020-05-20 09:15:00,153.35,153.35,153.35,153.35,0,28151,50654,0
5,2020-05-20 09:16:00,155.5,155.5,155.5,155.5,123628,179181,248251,0
6,2020-05-20 09:17:00,156.0,156.0,155.15,155.15,44385,564556,756223,0
7,2020-05-20 09:19:00,155.9,155.9,155.75,155.75,185593,464284,606001,0
8,2020-05-20 09:20:00,155.8,155.8,155.8,155.8,200602,234766,331575,0
9,2020-05-20 09:21:00,156.3,156.3,156.3,156.3,98944,253308,325733,0
10,2020-05-20 09:22:00,156.6,156.6,155.65,155.8,244120,742866,1035732,0
11,2020-05-20 09:23:00,155.45,155.45,155.2,155.2,115887,476369,751140,0
12,2020-05-20 09:26:00,153.85,153.85,153.85,153.85,214789,270616,432420,0
13,2020-05-20 09:27:00,154.2,154.2,154.0,154.0,266600,595530,897871,0
14,2020-05-20 09:28:00,153.95,153.95,153.95,153.95,267276,306677,460962,0
15,2020-05-20 09:29:00,154.1,154.1,154.1,154.1,226907,330679,488556,0
16,2020-05-20 09:30:00,154.0,154.0,153.75,153.75,316505,642109,1015494,0
17,2020-05-20 09:31:00,153.6,153.6,153.6,153.6,321033,320908,513697,0
18,2020-05-20 09:32:00,154.4,154.4,154.3,154.3,257232,711600,986198,0
19,2020-05-20 09:33:00,154.2,154.2,154.2,154.2,260974,372307,497943,0
20,2020-05-20 09:34:00,154.6,154.6,154.6,154.6,337663,391799,496776,0
21,2020-05-20 09:35:00,154.45,154.45,154.4,154.4,270020,768229,1008723,0
22,2020-05-20 09:36:00,154.2,154.2,153.9,153.9,349314,749568,1050659,0
23,2020-05-20 09:37:00,153.9,154.05,153.9,154.05,277496,1111618,1594295,0
24,2020-05-20 09:38:00,154.15,154.15,154.15,154.15,280177,372782,531611,0
