,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,616.0,616.0,616.0,616.0,0,5177,12313,0
1,2020-05-20 09:15:00,610.1,610.1,610.1,610.1,0,5284,12523,0
2,2020-05-20 09:16:00,619.0,619.0,619.0,619.0,1075,11507,16669,0
3,2020-05-20 09:17:00,619.7,619.7,619.7,619.7,1651,12636,18469,0
4,2020-05-20 09:18:00,620.95,620.95,619.6,619.6,1329,39313,47146,0
5,2020-05-20 09:19:00,618.2,618.2,618.2,618.2,1589,19321,24936,0
6,2020-05-20 09:20:00,617.8,617.8,617.65,617.65,6153,46021,61200,0
7,2020-05-20 09:21:00,609.25,609.25,609.25,609.25,12488,21841,33929,0
8,2020-05-20 09:22:00,610.0,610.0,610.0,610.0,9503,22755,34142,0
9,2020-05-20 09:23:00,609.0,609.0,609.0,609.0,3712,22814,34701,0
10,2020-05-20 09:24:00,608.0,608.0,608.0,608.0,7675,22950,35162,0
11,2020-05-20 09:25:00,608.45,608.45,608.45,608.45,14163,22949,35576,0
12,2020-05-20 09:27:00,608.5,608.5,608.5,608.5,11569,30305,40069,0
13,2020-05-20 09:28:00,608.0,608.0,608.0,608.0,6347,31837,42684,0
14,2020-05-20 09:29:00,608.4,610.25,608.4,610.25,14686,65071,84786,0
15,2020-05-20 09:31:00,610.0,610.0,610.0,610.0,14771,34047,42588,0
16,2020-05-20 09:32:00,611.25,611.25,611.25,611.25,6814,33642,42493,0
17,2020-05-20 09:33:00,610.0,610.0,610.0,610.0,7207,34039,42984,0
18,2020-05-20 09:36:00,609.2,609.2,609.2,609.2,16245,34689,44979,0
19,2020-05-20 09:37:00,609.95,609.95,609.95,609.95,16196,34781,45237,0
20,2020-05-20 09:38:00,609.3,609.3,609.3,609.3,7362,34840,45600,0
21,2020-05-20 09:40:00,608.5,608.5,608.5,608.5,7717,34622,46197,0
22,2020-05-20 09:41:00,609.6,609.6,609.6,609.6,16632,35344,45949,0
23,2020-05-20 09:45:00,609.05,609.05,609.05,609.05,16964,35659,45960,0
24,2020-05-20 09:47:00,609.3,609.3,609.3,609.3,9234,35468,46215,0
25,2020-05-20 09:50:00,609.5,609.5,609.5,609.5,9062,35925,46407,0
26,2020-05-20 09:52:00,609.4,609.4,609.4,609.4,17047,36422,46834,0
27,2020-05-20 09:54:00,609.5,609.85,609.5,609.85,9753,79506,95841,0
28,2020-05-20 09:55:00,610.75,610.85,610.75,610.85,17198,80543,94421,0
29,2020-05-20 09:57:00,609.0,609.95,609.0,609.95,10343,82529,95649,0
30,2020-05-20 09:59:00,610.1,610.1,610.1,610.1,10672,41486,48064,0
31,2020-05-20 10:01:00,610.6,612.0,610.6,612.0,21424,87418,94235,0
32,2020-05-20 10:02:00,611.45,611.45,611.45,611.45,21749,45115,46872,0
33,2020-05-20 10:05:00,612.25,612.25,612.25,612.25,11670,44082,50677,0
34,2020-05-20 10:06:00,611.9,611.9,611.9,611.9,11361,43842,50672,0
35,2020-05-20 10:09:00,609.6,609.6,609.6,609.6,23694,41709,51927,0
36,2020-05-20 10:14:00,609.0,609.0,609.0,609.0,24581,43252,52191,0
37,2020-05-20 10:15:00,610.0,610.0,610.0,610.0,12472,43240,52211,0
38,2020-05-20 10:18:00,610.65,610.65,610.65,610.65,12349,43235,51493,0
39,2020-05-20 10:19:00,610.65,610.65,610.65,610.65,24819,43273,51761,0
40,2020-05-20 10:24:00,611.0,611.0,611.0,611.0,27875,43441,50460,0
41,2020-05-20 10:25:00,612.8,612.8,612.8,612.8,15556,43557,50019,0
42,2020-05-20 10:26:00,614.2,614.2,614.2,614.2,12779,44062,49707,0
43,2020-05-20 10:28:00,613.0,613.0,613.0,613.0,27706,44734,50322,0
