,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,90.0,90.0,90.0,90.0,0,310505,646667,0
1,2020-05-20 09:08:00,90.05,90.05,90.05,90.05,0,281691,684879,0
2,2020-05-20 09:11:00,90.05,90.05,90.05,90.05,63863,281691,684879,0
3,2020-05-20 09:14:00,90.05,90.05,90.05,90.05,63863,281691,684879,0
4,2020-05-20 09:15:00,90.05,90.4,90.05,90.4,225156,1484929,2907859,0
5,2020-05-20 09:16:00,90.4,90.4,90.25,90.25,301364,1399850,2477215,0
6,2020-05-20 09:17:00,90.4,90.4,90.4,90.4,331046,824691,1375512,0
7,2020-05-20 09:18:00,90.15,90.15,90.15,90.15,508563,895972,1534987,0
8,2020-05-20 09:19:00,90.15,90.15,90.15,90.15,559937,902809,1629371,0
9,2020-05-20 09:20:00,89.95,89.95,89.95,89.95,511974,1895798,3436183,0
10,2020-05-20 09:21:00,89.8,89.8,89.75,89.75,773209,2174494,3517564,0
11,2020-05-20 09:23:00,90.1,90.1,90.1,90.1,1014047,1419756,1807112,0
12,2020-05-20 09:24:00,90.1,90.1,90.05,90.05,624979,2829517,3711646,0
13,2020-05-20 09:26:00,89.6,89.8,89.6,89.8,1395488,2561936,4162055,0
14,2020-05-20 09:27:00,89.8,89.9,89.8,89.9,732181,2897405,4309472,0
15,2020-05-20 09:28:00,89.8,89.8,89.8,89.8,736647,1486046,2196319,0
16,2020-05-20 09:29:00,89.7,89.7,89.7,89.7,1565006,1488832,2263333,0
17,2020-05-20 09:30:00,89.7,89.7,89.7,89.7,1650432,1465297,2289743,0
18,2020-05-20 09:31:00,89.45,89.45,89.45,89.45,1054450,1416869,2343615,0
19,2020-05-20 09:32:00,89.7,89.7,89.7,89.7,1053005,1658839,2390354,0
20,2020-05-20 09:33:00,89.65,89.65,89.65,89.65,1704332,1826151,2549558,0
21,2020-05-20 09:34:00,89.7,89.7,89.7,89.7,1772162,1797296,2716735,0
22,2020-05-20 09:35:00,89.55,89.55,89.55,89.55,1206195,1847213,2767913,0
23,2020-05-20 09:37:00,89.5,89.5,89.5,89.5,1269428,1829013,2805801,0
24,2020-05-20 09:38:00,89.55,89.6,89.55,89.6,1886658,3686210,5560962,0
25,2020-05-20 09:39:00,89.55,89.55,89.45,89.45,1346392,3654540,5670974,0
26,2020-05-20 09:40:00,89.4,89.6,89.4,89.6,1938530,3737036,5703136,0
27,2020-05-20 09:41:00,89.55,89.55,89.55,89.55,2012686,1885653,2858647,0
28,2020-05-20 09:42:00,89.6,89.6,89.6,89.6,1433329,1895193,2856761,0
29,2020-05-20 09:43:00,89.6,89.6,89.6,89.6,2000752,3854575,5719102,0
30,2020-05-20 09:44:00,89.6,89.6,89.6,89.6,2019354,1950737,2856987,0
31,2020-05-20 09:45:00,89.65,89.65,89.65,89.65,1473089,1970795,2871843,0
32,2020-05-20 09:46:00,89.55,89.55,89.55,89.55,1534569,1928427,2878328,0
33,2020-05-20 09:47:00,89.5,89.5,89.45,89.45,2103001,3858440,5788752,0
34,2020-05-20 09:48:00,89.5,89.5,89.5,89.5,2158646,1922484,2869054,0
35,2020-05-20 09:49:00,89.6,89.6,89.55,89.55,1615230,3933508,5808184,0
36,2020-05-20 09:51:00,89.55,89.6,89.55,89.6,2250836,3838166,5846306,0
37,2020-05-20 09:52:00,89.4,89.4,89.4,89.4,2267659,1917211,2961107,0
38,2020-05-20 09:53:00,89.5,89.5,89.5,89.5,1747023,1939650,2938199,0
39,2020-05-20 09:54:00,89.45,89.45,89.45,89.45,1807459,1905312,3024025,0
40,2020-05-20 09:55:00,89.55,89.55,89.5,89.5,2331207,3887645,6096172,0
41,2020-05-20 09:56:00,89.4,89.4,89.3,89.3,1915561,3895354,6128236,0
42,2020-05-20 09:57:00,89.3,89.3,89.3,89.3,1915662,2013678,3051571,0
43,2020-05-20 09:58:00,89.35,89.35,89.3,89.3,2486216,3792494,6146477,0
44,2020-05-20 09:59:00,89.4,89.4,89.4,89.4,2490803,1823138,3072493,0
45,2020-05-20 10:00:00,89.3,89.3,89.3,89.3,1974812,1819872,3077012,0
46,2020-05-20 10:01:00,89.4,89.4,89.4,89.4,2569830,3729259,6164618,0
47,2020-05-20 10:02:00,89.35,89.4,89.35,89.4,1982549,3784641,6183754,0
48,2020-05-20 10:03:00,89.35,89.35,89.35,89.35,2007675,1904723,3108321,0
49,2020-05-20 10:04:00,89.25,89.25,89.25,89.25,2604100,3736190,6338986,0
50,2020-05-20 10:05:00,89.25,89.25,89.25,89.25,2661697,1888647,3188629,0
51,2020-05-20 10:06:00,89.2,89.2,89.2,89.2,2186079,1902946,3183558,0
52,2020-05-20 10:07:00,89.25,89.25,89.25,89.25,2226745,1901696,3211943,0
53,2020-05-20 10:08:00,89.25,89.25,89.25,89.25,2822538,1955880,3146334,0
54,2020-05-20 10:09:00,89.1,89.1,89.1,89.1,2848762,1916063,3171532,0
55,2020-05-20 10:10:00,89.1,89.1,89.1,89.1,2227801,3833169,6351198,0
56,2020-05-20 10:11:00,89.1,89.1,88.95,88.95,3197910,3652027,6336395,0
57,2020-05-20 10:13:00,88.85,88.85,88.85,88.85,3262770,1811218,3249237,0
58,2020-05-20 10:14:00,89.0,89.0,89.0,89.0,2381302,1827781,3241379,0
59,2020-05-20 10:16:00,89.15,89.15,89.15,89.15,2401522,1905290,3233306,0
60,2020-05-20 10:17:00,89.0,89.0,89.0,89.0,3356917,1882251,3258936,0
61,2020-05-20 10:18:00,88.95,88.95,88.95,88.95,3386731,1865548,3291626,0
62,2020-05-20 10:19:00,88.9,88.9,88.9,88.9,2480877,1879590,3231935,0
63,2020-05-20 10:20:00,88.9,88.9,88.8,88.8,3460273,5607709,9824650,0
64,2020-05-20 10:21:00,88.8,88.8,88.8,88.8,3477181,1858120,3280205,0
65,2020-05-20 10:22:00,88.65,88.65,88.6,88.6,2654975,3679687,6709238,0
66,2020-05-20 10:23:00,88.65,88.65,88.65,88.65,2678132,1850801,3337802,0
67,2020-05-20 10:24:00,88.75,88.75,88.75,88.75,3558933,1851728,3353975,0
68,2020-05-20 10:25:00,88.85,88.85,88.85,88.85,3600026,1901214,3341374,0
69,2020-05-20 10:26:00,88.8,88.8,88.8,88.8,2788617,1915965,3333480,0
70,2020-05-20 10:28:00,88.65,88.65,88.65,88.65,3649916,3828527,6730065,0
71,2020-05-20 10:30:00,88.85,88.85,88.85,88.85,3785866,1995954,3351216,0
72,2020-05-20 10:31:00,88.6,88.6,88.6,88.6,3014445,1931080,3371413,0
73,2020-05-20 10:32:00,88.55,88.55,88.55,88.55,3104951,1899236,3393881,0
74,2020-05-20 10:34:00,88.65,88.65,88.65,88.65,3904493,1952619,3408378,0
75,2020-05-20 10:36:00,88.8,88.8,88.8,88.8,3929057,1956382,3382589,0
76,2020-05-20 10:38:00,88.7,88.75,88.7,88.75,3159361,3965836,6799597,0
77,2020-05-20 10:39:00,88.7,88.7,88.7,88.7,3212871,1970801,3411621,0
78,2020-05-20 10:40:00,88.7,88.7,88.7,88.7,4079913,1989980,3442200,0
79,2020-05-20 10:41:00,88.65,88.65,88.65,88.65,3164290,3984645,6907586,0
80,2020-05-20 10:42:00,88.6,88.6,88.6,88.6,3173325,2016491,3462834,0
81,2020-05-20 10:44:00,88.45,88.45,88.45,88.45,4273668,1831800,3548914,0
82,2020-05-20 10:46:00,88.35,88.35,88.35,88.35,4439119,1964109,3562845,0
83,2020-05-20 10:47:00,88.45,88.45,88.45,88.45,3408227,2003892,3567940,0
84,2020-05-20 10:48:00,88.55,88.55,88.55,88.55,3301249,2005270,3559580,0
85,2020-05-20 10:50:00,88.5,88.5,88.5,88.5,4433930,2024102,3602554,0
86,2020-05-20 10:51:00,88.4,88.4,88.4,88.4,4562632,1984569,3597536,0
87,2020-05-20 10:52:00,88.4,88.4,88.4,88.4,3455693,2058453,3564191,0
88,2020-05-20 10:54:00,88.35,88.4,88.35,88.4,4581649,3951499,7231458,0
89,2020-05-20 10:55:00,88.4,88.4,88.4,88.4,4617229,1984352,3599541,0
90,2020-05-20 10:56:00,88.35,88.35,88.35,88.35,3513643,2074530,3609318,0
91,2020-05-20 10:57:00,88.4,88.4,88.4,88.4,3517233,2112062,3590932,0
92,2020-05-20 10:58:00,88.45,88.45,88.4,88.4,4678324,4151470,7194542,0
93,2020-05-20 11:00:00,88.5,88.5,88.5,88.5,3608123,4265390,7200317,0
94,2020-05-20 11:02:00,88.8,88.8,88.8,88.8,3734529,2181042,3504872,0
95,2020-05-20 11:03:00,88.95,89.0,88.95,89.0,4947664,4547099,6717492,0
96,2020-05-20 11:05:00,88.85,88.9,88.85,88.85,3772670,6735907,10197474,0
97,2020-05-20 11:06:00,88.75,88.9,88.75,88.9,5004329,4522761,6817165,0
98,2020-05-20 11:07:00,88.9,88.9,88.9,88.9,5004722,2255543,3402309,0
99,2020-05-20 11:08:00,88.9,88.9,88.9,88.9,3809343,2293797,3436414,0
100,2020-05-20 11:09:00,89.1,89.1,89.1,89.1,4067867,2319182,3395914,0
101,2020-05-20 11:10:00,89.15,89.15,89.1,89.1,5057769,4715241,6787575,0
102,2020-05-20 11:11:00,89.05,89.05,88.95,88.95,4133532,4663136,6900945,0
103,2020-05-20 11:12:00,88.9,88.9,88.9,88.9,4148924,2377173,3488568,0
104,2020-05-20 11:14:00,88.95,88.95,88.95,88.95,5103784,2333625,3500513,0
105,2020-05-20 11:15:00,88.85,88.85,88.85,88.85,5110834,2346551,3525564,0
106,2020-05-20 11:16:00,88.9,88.9,88.9,88.9,4189923,2395662,3515120,0
107,2020-05-20 11:17:00,88.95,88.95,88.95,88.95,4215460,2399865,3498347,0
108,2020-05-20 11:18:00,88.9,88.9,88.9,88.9,5151580,2422805,3498801,0
109,2020-05-20 11:19:00,88.8,88.8,88.8,88.8,5187621,2338845,3558925,0
110,2020-05-20 11:20:00,88.55,88.65,88.55,88.65,4430250,4404117,7190413,0
111,2020-05-20 11:21:00,88.7,88.7,88.7,88.7,5208671,4453535,7197887,0
112,2020-05-20 11:22:00,88.75,88.75,88.75,88.75,5214345,2256319,3609087,0
113,2020-05-20 11:23:00,88.65,88.75,88.65,88.75,4467508,4521218,7216637,0
114,2020-05-20 11:24:00,88.7,88.7,88.7,88.7,4478277,2283608,3610061,0
115,2020-05-20 11:25:00,88.7,88.7,88.7,88.7,5220347,4565154,7223664,0
116,2020-05-20 11:26:00,88.75,88.75,88.75,88.75,5246545,2274232,3605532,0
117,2020-05-20 11:27:00,88.75,88.75,88.75,88.75,4551889,4566108,7182207,0
118,2020-05-20 11:30:00,88.85,88.85,88.85,88.85,4605224,2382062,3641069,0
119,2020-05-20 11:32:00,88.75,88.75,88.7,88.7,5431703,4538178,7375848,0
120,2020-05-20 11:33:00,88.75,88.75,88.75,88.75,5449762,2264895,3652749,0
121,2020-05-20 11:35:00,88.8,88.8,88.8,88.8,4709822,2296618,3658148,0
122,2020-05-20 11:36:00,88.75,88.75,88.75,88.75,4699565,2322906,3653225,0
123,2020-05-20 11:39:00,88.7,88.7,88.7,88.7,5570252,4542765,7341220,0
124,2020-05-20 11:41:00,88.75,88.75,88.75,88.75,5583896,2306740,3653124,0
125,2020-05-20 11:42:00,88.7,88.7,88.7,88.7,4731624,2318078,3685075,0
126,2020-05-20 11:43:00,88.75,88.75,88.7,88.7,5593523,4670319,7329747,0
127,2020-05-20 11:44:00,88.7,88.7,88.7,88.7,4774165,4628444,7359892,0
128,2020-05-20 11:46:00,88.7,88.7,88.7,88.7,4781545,2330361,3656330,0
129,2020-05-20 11:47:00,88.7,88.75,88.7,88.75,5617743,6952370,10996880,0
130,2020-05-20 11:48:00,88.7,88.7,88.7,88.7,5623716,2338609,3656414,0
131,2020-05-20 11:49:00,88.75,88.8,88.75,88.8,4805515,4696892,7334695,0
132,2020-05-20 11:50:00,88.95,88.95,88.95,88.95,4835874,2398642,3620996,0
133,2020-05-20 11:52:00,89.05,89.05,89.05,89.05,5881276,4857290,7102970,0
134,2020-05-20 11:53:00,89.15,89.15,89.15,89.15,5888824,2476111,3522213,0
135,2020-05-20 11:54:00,89.1,89.1,89.1,89.1,4864811,4913233,7118882,0
136,2020-05-20 11:55:00,89.0,89.0,89.0,89.0,4905356,2446754,3597590,0
137,2020-05-20 11:56:00,89.0,89.0,89.0,89.0,5955872,2463898,3583937,0
138,2020-05-20 11:57:00,89.05,89.05,89.05,89.05,5925856,2469654,3578955,0
139,2020-05-20 11:58:00,89.1,89.1,89.1,89.1,4936358,2467582,3557071,0
140,2020-05-20 11:59:00,89.1,89.1,89.1,89.1,5003483,2479834,3568514,0
141,2020-05-20 12:00:00,89.1,89.15,89.1,89.15,5973140,4982741,7151152,0
142,2020-05-20 12:01:00,89.15,89.25,89.15,89.25,5075356,5006749,7078753,0
143,2020-05-20 12:04:00,89.15,89.2,89.15,89.2,6043064,4992756,7071597,0
144,2020-05-20 12:05:00,89.15,89.15,89.15,89.15,6049556,2503284,3539169,0
145,2020-05-20 12:06:00,89.25,89.25,89.25,89.25,5110114,2497690,3536681,0
146,2020-05-20 12:07:00,89.2,89.2,89.2,89.2,5116596,2544967,3538494,0
147,2020-05-20 12:08:00,89.25,89.25,89.25,89.25,6112247,2515084,3544936,0
148,2020-05-20 12:09:00,89.1,89.1,89.1,89.1,6121257,2504289,3548725,0
149,2020-05-20 12:10:00,89.05,89.05,89.05,89.05,5161610,2459263,3565930,0
150,2020-05-20 12:11:00,89.0,89.05,89.0,89.05,6134731,4948020,7156094,0
151,2020-05-20 12:12:00,89.05,89.05,89.05,89.05,6135253,2489212,3565042,0
