,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,147.8,147.8,147.8,147.8,0,4399,3443,0
1,2020-05-20 09:24:00,148.4,148.4,148.4,148.4,0,11554,10329,0
2,2020-05-20 09:33:00,146.85,146.85,146.85,146.85,1848,14107,11311,0
3,2020-05-20 09:40:00,149.1,149.1,149.1,149.1,3087,17129,10861,0
4,2020-05-20 09:50:00,152.85,152.85,152.85,152.85,3461,18802,11092,0
5,2020-05-20 09:52:00,152.05,152.05,152.05,152.05,3150,18528,11339,0
6,2020-05-20 09:59:00,150.55,150.55,150.55,150.55,3508,18860,13531,0
7,2020-05-20 10:06:00,151.05,151.05,151.05,151.05,5071,19336,13380,0
8,2020-05-20 10:21:00,150.8,150.8,150.8,150.8,5889,20509,15696,0
9,2020-05-20 10:25:00,150.3,150.3,150.3,150.3,4386,20344,17463,0
10,2020-05-20 10:34:00,150.25,150.25,150.25,150.25,3741,20183,17205,0
11,2020-05-20 10:42:00,150.7,150.7,150.7,150.7,5464,20597,16900,0
12,2020-05-20 10:57:00,150.5,150.5,150.5,150.5,6502,21061,17355,0
13,2020-05-20 11:18:00,150.55,150.55,150.55,150.55,5264,21739,18169,0
14,2020-05-20 11:25:00,150.6,150.6,150.6,150.6,4246,24044,19842,0
15,2020-05-20 11:27:00,150.6,150.6,150.6,150.6,5484,24110,19792,0
16,2020-05-20 11:56:00,150.6,150.6,150.6,150.6,6784,24101,18824,0
17,2020-05-20 12:07:00,150.9,150.9,150.9,150.9,5713,25926,19466,0
18,2020-05-20 12:09:00,150.75,150.75,150.75,150.75,4600,25770,19507,0
19,2020-05-20 12:18:00,150.65,150.65,150.65,150.65,5948,25918,19994,0
20,2020-05-20 12:30:00,150.1,150.1,149.15,149.15,7323,49638,40240,0
21,2020-05-20 13:04:00,149.45,149.45,149.45,149.45,7750,21002,18826,0
22,2020-05-20 13:35:00,149.15,149.15,149.15,149.15,8438,23103,19625,0
23,2020-05-20 13:36:00,149.15,149.15,149.15,149.15,8011,23113,19625,0
24,2020-05-20 13:46:00,149.6,149.6,149.6,149.6,7556,24087,20189,0
25,2020-05-20 13:57:00,149.55,149.55,149.55,149.55,8020,25992,21331,0
26,2020-05-20 14:21:00,151.0,151.0,151.0,151.0,9668,27451,20764,0
27,2020-05-20 14:40:00,150.6,150.6,150.6,150.6,10570,28624,20256,0
28,2020-05-20 14:41:00,151.45,151.45,151.45,151.45,8937,28680,20256,0
29,2020-05-20 14:52:00,149.9,149.9,149.9,149.9,9028,28062,20697,0
30,2020-05-20 14:56:00,150.0,150.0,150.0,150.0,10814,28316,20793,0
31,2020-05-20 15:00:00,149.8,149.8,149.8,149.8,11010,28285,21056,0
32,2020-05-20 15:14:00,151.25,151.25,151.25,151.25,9950,27683,16419,0
33,2020-05-20 15:16:00,151.3,151.3,151.3,151.3,9818,27597,16297,0
34,2020-05-20 15:21:00,150.55,150.55,150.55,150.55,11919,27205,14713,0
35,2020-05-20 15:24:00,152.0,152.0,152.0,152.0,12616,16194,13530,0
36,2020-05-20 15:25:00,151.55,151.55,151.55,151.55,10681,16066,13460,0
37,2020-05-20 15:29:00,151.1,151.1,151.1,151.1,10741,15863,12963,0
