,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,57.1,57.1,57.1,57.1,0,9523,15608,0
1,2020-05-20 09:08:00,56.55,56.55,56.55,56.55,0,9334,15019,0
2,2020-05-20 09:11:00,56.55,56.55,56.55,56.55,589,9334,15019,0
3,2020-05-20 09:14:00,56.55,56.55,56.55,56.55,589,9334,15019,0
4,2020-05-20 09:16:00,57.1,57.1,57.1,57.1,1731,12228,15074,0
5,2020-05-20 09:17:00,57.1,57.1,57.1,57.1,1799,18387,17058,0
6,2020-05-20 09:18:00,57.3,57.3,57.3,57.3,1342,24795,22680,0
7,2020-05-20 09:34:00,57.3,57.3,57.3,57.3,5764,32429,22925,0
8,2020-05-20 09:37:00,57.45,57.45,57.45,57.45,6620,38274,31935,0
9,2020-05-20 09:39:00,57.35,57.35,57.35,57.35,2562,38189,32251,0
10,2020-05-20 09:42:00,57.35,57.35,57.35,57.35,2188,38185,32347,0
11,2020-05-20 09:45:00,57.3,57.3,57.3,57.3,6690,38387,32042,0
12,2020-05-20 09:50:00,57.4,57.4,57.4,57.4,9468,38234,30209,0
13,2020-05-20 09:53:00,57.7,57.7,57.7,57.7,7588,38865,27767,0
14,2020-05-20 09:54:00,57.4,57.4,57.4,57.4,5582,38717,28148,0
15,2020-05-20 09:56:00,57.65,57.65,57.65,57.65,7591,39394,30385,0
16,2020-05-20 09:59:00,57.85,57.85,57.85,57.85,12441,40867,30320,0
17,2020-05-20 10:00:00,58.1,58.1,58.05,58.05,8550,87017,60176,0
18,2020-05-20 10:01:00,58.35,58.35,58.35,58.35,10270,47245,28082,0
19,2020-05-20 10:05:00,58.2,58.2,58.2,58.2,18263,47123,27870,0
20,2020-05-20 10:06:00,58.55,58.55,58.55,58.55,16968,47771,27420,0
21,2020-05-20 10:08:00,58.25,58.25,58.25,58.25,10888,47402,25717,0
22,2020-05-20 10:10:00,58.45,58.45,58.45,58.45,19059,97442,60469,0
23,2020-05-20 10:16:00,58.05,58.05,58.05,58.05,21773,46062,46976,0
24,2020-05-20 10:18:00,57.75,57.75,57.75,57.75,14912,42927,49279,0
25,2020-05-20 10:22:00,57.3,57.3,57.3,57.3,13823,41776,50281,0
26,2020-05-20 10:31:00,57.6,57.6,57.6,57.6,21839,41407,51214,0
27,2020-05-20 10:35:00,57.4,57.5,57.4,57.5,16589,83570,104018,0
28,2020-05-20 10:40:00,57.45,57.45,57.45,57.45,18787,41447,52450,0
29,2020-05-20 10:44:00,57.5,57.5,57.5,57.5,24337,41206,52302,0
30,2020-05-20 11:00:00,57.6,57.6,57.6,57.6,24785,46537,50339,0
