,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,287.45,287.45,287.45,287.45,0,7300,4898,0
1,2020-05-20 09:16:00,290.0,290.0,290.0,290.0,0,10088,9059,0
2,2020-05-20 09:17:00,290.0,290.0,290.0,290.0,1279,9827,12965,0
3,2020-05-20 09:18:00,289.3,289.3,289.3,289.3,1404,11255,13005,0
4,2020-05-20 09:19:00,290.65,290.65,290.65,290.65,612,12815,14278,0
5,2020-05-20 09:20:00,291.1,291.1,291.1,291.1,894,15017,16278,0
6,2020-05-20 09:21:00,290.35,290.35,290.35,290.35,1759,14943,17415,0
7,2020-05-20 09:24:00,289.7,289.7,289.7,289.7,2031,17919,21254,0
8,2020-05-20 09:26:00,290.2,290.2,290.2,290.2,1596,36543,42982,0
9,2020-05-20 09:27:00,290.2,290.2,290.2,290.2,1596,18426,21223,0
10,2020-05-20 09:28:00,290.8,290.8,290.8,290.8,2054,18370,21411,0
11,2020-05-20 09:34:00,289.9,289.9,289.9,289.9,3813,18046,22463,0
12,2020-05-20 09:43:00,295.0,295.0,295.0,295.0,9828,20131,18851,0
13,2020-05-20 09:53:00,293.1,293.1,293.1,293.1,11282,24448,24505,0
14,2020-05-20 10:05:00,294.65,294.65,294.65,294.65,7079,25890,25742,0
15,2020-05-20 10:19:00,294.0,294.0,294.0,294.0,6470,25472,26711,0
16,2020-05-20 10:30:00,293.25,293.25,293.25,293.25,12112,25397,27818,0
17,2020-05-20 10:32:00,293.0,293.0,293.0,293.0,12760,25258,28032,0
18,2020-05-20 10:36:00,292.55,292.55,292.55,292.55,7172,24958,28820,0
19,2020-05-20 11:04:00,291.35,291.35,291.35,291.35,7776,29439,32306,0
20,2020-05-20 11:15:00,289.2,289.2,289.2,289.2,16433,26708,33125,0
21,2020-05-20 11:19:00,289.95,289.95,289.95,289.95,15894,31459,36134,0
22,2020-05-20 11:22:00,289.95,289.95,289.95,289.95,7261,31592,36242,0
23,2020-05-20 11:43:00,288.75,288.75,288.75,288.75,10307,31915,42273,0
24,2020-05-20 11:54:00,289.4,289.4,289.4,289.4,19465,33964,36481,0
25,2020-05-20 12:03:00,289.8,289.8,289.8,289.8,16485,33904,36580,0
26,2020-05-20 12:47:00,289.85,289.85,289.85,289.85,7552,30795,34696,0
27,2020-05-20 12:58:00,289.85,289.85,289.85,289.85,10661,32513,35740,0
28,2020-05-20 13:14:00,288.95,288.95,288.95,288.95,20140,32114,35815,0
29,2020-05-20 13:17:00,289.95,289.95,289.95,289.95,19532,32979,35754,0
30,2020-05-20 13:34:00,289.5,289.5,289.5,289.5,11536,33447,36218,0
31,2020-05-20 14:02:00,288.85,288.85,288.85,288.85,12715,34994,38221,0
32,2020-05-20 14:05:00,290.0,290.0,290.0,290.0,21723,35570,37341,0
33,2020-05-20 14:07:00,289.95,289.95,289.95,289.95,21526,35635,37280,0
34,2020-05-20 14:14:00,290.0,290.0,290.0,290.0,14889,35511,37395,0
35,2020-05-20 14:59:00,289.4,289.4,289.4,289.4,16942,34455,36861,0
36,2020-05-20 15:00:00,289.7,289.7,289.7,289.7,23679,34337,36774,0
37,2020-05-20 15:01:00,289.85,289.85,289.85,289.85,21748,34488,36559,0
38,2020-05-20 15:25:00,289.0,289.0,289.0,289.0,18170,13279,19083,0
39,2020-05-20 15:29:00,290.0,290.0,290.0,290.0,20951,12825,18773,0
