,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,1822.75,1822.75,1822.75,1822.75,0,3555,1253,0
1,2020-05-20 09:17:00,1823.05,1823.05,1823.05,1823.05,0,8652,4234,0
2,2020-05-20 09:20:00,1834.75,1834.75,1834.75,1834.75,269,14146,11111,0
3,2020-05-20 09:22:00,1845.0,1845.0,1845.0,1845.0,1011,14977,10996,0
4,2020-05-20 09:23:00,1846.95,1846.95,1846.95,1846.95,754,15072,11120,0
5,2020-05-20 09:24:00,1844.0,1847.95,1844.0,1847.95,407,30163,22503,0
6,2020-05-20 09:25:00,1841.15,1841.15,1841.15,1841.15,419,15026,11404,0
7,2020-05-20 09:27:00,1837.05,1837.05,1837.05,1837.05,802,14932,11820,0
8,2020-05-20 09:29:00,1830.5,1830.5,1830.5,1830.5,456,51793,42591,0
9,2020-05-20 09:31:00,1832.3,1832.3,1832.3,1832.3,471,30141,23835,0
10,2020-05-20 09:33:00,1840.35,1840.35,1840.35,1840.35,1398,30550,23350,0
11,2020-05-20 09:34:00,1856.05,1856.05,1856.05,1856.05,2044,31377,22659,0
12,2020-05-20 09:35:00,1857.95,1857.95,1857.95,1857.95,1143,37733,26081,0
13,2020-05-20 09:36:00,1857.95,1857.95,1857.95,1857.95,497,37796,26165,0
14,2020-05-20 09:41:00,1861.95,1861.95,1859.0,1859.0,3038,76292,53173,0
15,2020-05-20 09:42:00,1859.0,1859.0,1859.0,1859.0,3163,38663,26826,0
16,2020-05-20 09:45:00,1862.6,1862.6,1862.6,1862.6,2105,43889,30228,0
17,2020-05-20 09:51:00,1859.0,1859.0,1859.0,1859.0,3956,131596,92949,0
18,2020-05-20 09:55:00,1859.9,1859.9,1859.9,1859.9,4318,43856,31184,0
19,2020-05-20 09:56:00,1859.0,1859.0,1859.0,1859.0,2542,43897,31181,0
20,2020-05-20 10:03:00,1860.05,1860.05,1860.05,1860.05,2340,44715,31660,0
21,2020-05-20 10:04:00,1860.05,1860.05,1860.05,1860.05,4126,44712,31713,0
22,2020-05-20 10:06:00,1859.9,1859.9,1859.9,1859.9,4419,44652,31879,0
23,2020-05-20 10:07:00,1859.95,1859.95,1859.95,1859.95,2913,44779,31933,0
24,2020-05-20 10:08:00,1859.9,1859.9,1859.9,1859.9,4429,89539,63734,0
25,2020-05-20 10:09:00,1860.0,1860.0,1860.0,1860.0,4463,44770,31860,0
26,2020-05-20 10:14:00,1860.15,1860.15,1860.15,1860.15,3130,44812,32012,0
27,2020-05-20 10:16:00,1859.9,1859.9,1859.9,1859.9,3283,44850,32058,0
28,2020-05-20 10:19:00,1859.95,1859.95,1859.95,1859.95,5001,44878,32662,0
29,2020-05-20 10:21:00,1860.05,1860.05,1860.05,1860.05,5475,44894,32075,0
30,2020-05-20 10:24:00,1860.05,1860.05,1860.05,1860.05,3829,44862,32195,0
31,2020-05-20 10:26:00,1862.95,1862.95,1862.95,1862.95,3477,44868,32276,0
32,2020-05-20 10:34:00,1859.9,1859.9,1859.9,1859.9,5601,44926,32403,0
33,2020-05-20 10:37:00,1861.2,1861.3,1861.2,1861.3,4055,90084,64751,0
34,2020-05-20 10:38:00,1861.75,1861.75,1861.2,1861.2,5636,90232,64753,0
35,2020-05-20 10:39:00,1863.35,1863.35,1863.35,1863.35,5647,45075,32383,0
36,2020-05-20 10:41:00,1863.25,1863.25,1863.25,1863.25,4118,45175,32349,0
37,2020-05-20 10:43:00,1863.95,1863.95,1863.95,1863.95,4122,45126,32270,0
38,2020-05-20 10:45:00,1865.75,1865.75,1865.75,1865.75,5773,45152,32055,0
39,2020-05-20 10:52:00,1865.3,1865.3,1865.3,1865.3,5964,45215,32064,0
40,2020-05-20 10:56:00,1866.6,1866.6,1866.6,1866.6,4395,45249,32099,0
41,2020-05-20 10:58:00,1864.0,1864.0,1864.0,1864.0,4214,45187,32205,0
42,2020-05-20 11:00:00,1859.9,1861.9,1859.9,1860.0,6093,179661,129479,0
43,2020-05-20 11:01:00,1860.0,1860.0,1860.0,1860.0,6093,44863,32396,0
44,2020-05-20 11:02:00,1859.9,1859.9,1859.9,1859.9,4287,44846,32425,0
45,2020-05-20 11:06:00,1859.9,1859.9,1859.9,1859.9,4421,41957,30529,0
46,2020-05-20 11:09:00,1859.9,1859.9,1859.9,1859.9,6117,83903,61052,0
47,2020-05-20 11:10:00,1859.9,1859.9,1859.9,1859.9,6122,41965,30528,0
48,2020-05-20 11:11:00,1859.9,1859.9,1859.9,1859.9,4436,41966,30538,0
49,2020-05-20 11:15:00,1859.9,1859.9,1859.9,1859.9,4444,42031,30439,0
50,2020-05-20 11:17:00,1860.0,1860.0,1860.0,1860.0,6144,42032,30437,0
51,2020-05-20 11:24:00,1861.35,1861.35,1861.35,1861.35,6339,45610,32002,0
52,2020-05-20 11:33:00,1860.15,1860.15,1860.15,1860.15,4853,47922,34312,0
53,2020-05-20 11:34:00,1860.15,1860.15,1860.15,1860.15,4658,47919,34336,0
54,2020-05-20 11:35:00,1860.15,1860.15,1860.15,1860.15,6144,47918,34364,0
55,2020-05-20 11:36:00,1861.55,1861.55,1861.55,1861.55,4857,95852,68720,0
56,2020-05-20 11:38:00,1861.5,1861.5,1861.5,1861.5,4858,47959,34330,0
57,2020-05-20 11:39:00,1861.5,1861.5,1861.5,1861.5,7112,47838,34187,0
58,2020-05-20 11:40:00,1860.0,1860.0,1860.0,1860.0,7187,47843,34279,0
59,2020-05-20 11:43:00,1860.0,1860.0,1860.0,1860.0,5026,48088,34370,0
60,2020-05-20 11:47:00,1860.05,1860.05,1860.05,1860.05,5328,48096,34347,0
61,2020-05-20 11:50:00,1860.0,1860.0,1860.0,1860.0,7626,48095,34440,0
62,2020-05-20 11:55:00,1860.05,1860.05,1860.05,1860.05,7333,48094,34434,0
63,2020-05-20 11:57:00,1860.2,1860.2,1860.2,1860.2,5072,48089,34416,0
64,2020-05-20 12:10:00,1860.1,1860.1,1860.1,1860.1,5584,48254,34370,0
65,2020-05-20 12:18:00,1860.1,1860.1,1860.1,1860.1,7866,48244,34390,0
66,2020-05-20 12:21:00,1860.1,1860.1,1860.1,1860.1,7355,48243,34390,0
67,2020-05-20 12:24:00,1861.65,1861.65,1861.65,1861.65,5090,48262,34380,0
68,2020-05-20 12:30:00,1863.0,1863.0,1863.0,1863.0,6464,48398,34250,0
69,2020-05-20 12:31:00,1863.05,1863.05,1863.05,1863.05,8794,48334,34285,0
70,2020-05-20 12:32:00,1863.05,1863.05,1863.05,1863.05,5090,96716,68596,0
71,2020-05-20 12:35:00,1861.1,1861.1,1861.1,1861.1,5142,48333,34374,0
72,2020-05-20 12:38:00,1861.9,1861.9,1861.9,1861.9,8860,48309,34376,0
73,2020-05-20 12:48:00,1861.05,1861.05,1861.05,1861.05,8928,38285,27870,0
74,2020-05-20 12:53:00,1860.05,1860.05,1860.05,1860.05,5838,38205,27799,0
